,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
53,2001,2,5,18,,-192.0,,-225.0,10391.0,,,270.0,,,,50.0,,,,,8,-9999.0,-9999.0
54,2001,2,6,0,,-191.0,,-224.0,10384.0,,,250.0,,,,70.0,,,,,8,-9999.0,-9999.0
55,2001,2,6,6,,-162.0,,-204.0,10366.0,,,260.0,,,,60.0,,,,,8,-9999.0,-9999.0
56,2001,2,6,12,,-162.0,,-204.0,10337.0,,,240.0,,,,70.0,,,,,6,-9999.0,-9999.0
57,2001,2,6,18,,-154.0,,-173.0,10312.0,,,240.0,,,,60.0,,,,,8,-9999.0,-9999.0
58,2001,2,7,0,,-152.0,,-172.0,10308.0,,,270.0,,,,50.0,,,,,8,-9999.0,-9999.0
59,2001,2,7,6,,-143.0,,-178.0,10320.0,,,230.0,,,,40.0,,,,,8,-9999.0,-9999.0
60,2001,2,7,12,,-158.0,,-177.0,10337.0,,,240.0,,,,30.0,,,,,8,-9999.0,-9999.0
61,2001,2,7,18,,-161.0,,-180.0,10340.0,,,260.0,,,,20.0,,,,,8,-9999.0,-9999.0
62,2001,2,8,0,,-169.0,,-203.0,10357.0,,,280.0,,,,50.0,,,,,8,-9999.0,-9999.0
63,2001,2,8,6,,-141.0,,-168.0,10374.0,,,270.0,,,,40.0,,,,,8,-9999.0,-9999.0
64,2001,2,8,12,,-136.0,,-156.0,10384.0,,,240.0,,,,20.0,,,,,8,-9999.0,-9999.0
65,2001,2,8,18,,-145.0,,-165.0,10395.0,,,300.0,,,,20.0,,,,,8,-9999.0,-9999.0
66,2001,2,10,12,,-222.0,,-240.0,10419.0,,,120.0,,,,10.0,,,,,6,-9999.0,-9999.0
67,2001,2,11,6,,-144.0,,-171.0,10404.0,,,260.0,,,,10.0,,,,,8,-9999.0,-9999.0
68,2001,2,11,12,,-163.0,,-189.0,10408.0,,,220.0,,,,10.0,,,,,7,-9999.0,-9999.0
69,2001,2,11,18,,-193.0,,-205.0,10406.0,,,230.0,,,,10.0,,,,,8,-9999.0,-9999.0
