,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2005,1,1,6,,,,68.0,,,,42.0,,9991.0,,,200.0,,,190,-9999.0,-9999.0,-9999.0
2005,1,1,12,,,,55.0,,,,37.0,,9956.0,,,200.0,,,250,-9999.0,-9999.0,-9999.0
2005,1,1,18,,,,48.0,,,,14.0,-9999.0,,,170.0,,,140.0,-9999,-9999.0,-9999.0,
2005,1,2,6,,,,53.0,,,-13.0,,9792.0,,,260.0,,,110.0,-9999,-9999.0,-9999.0,
2005,1,2,18,,,,39.0,,,-15.0,,9856.0,,,270.0,,,240.0,-9999,-9999.0,-9999.0,
2005,1,3,0,,,,31.0,,,,-2.0,,9929.0,,,270.0,,,210,-9999.0,-9999.0,-9999.0
2005,1,3,6,,,,18.0,,,-10.0,10008.0,,,300.0,,,190.0,-9999.0,-9999,-9999.0,,
2005,1,3,12,,,,35.0,,,-41.0,10032.0,,,260.0,,,140.0,-9999.0,-9999,-9999.0,,
2005,1,3,18,,,,28.0,,,,11.0,10025.0,,,220.0,,,110.0,-9999,-9999.0,-9999.0,
2005,1,4,6,,,,80.0,,,,69.0,,9922.0,,,190.0,,,170,-9999.0,-9999.0,-9999.0
2005,1,5,0,,,,60.0,,,,15.0,,9948.0,,,210.0,,,210,-9999.0,-9999.0,-9999.0
2005,1,5,6,,,,57.0,,,,22.0,,9954.0,,,200.0,,,210,-9999.0,-9999.0,-9999.0
2005,1,5,12,,,,62.0,,,,34.0,,9952.0,,,190.0,,,200,-9999.0,-9999.0,-9999.0
2005,1,7,6,,,,70.0,,,,57.0,,9786.0,,,200.0,,,220,-9999.0,-9999.0,-9999.0
2005,1,7,12,,,,70.0,,,,27.0,,9819.0,,,240.0,,,220,-9999.0,-9999.0,-9999.0
2005,1,7,18,,,,67.0,,,,28.0,,9867.0,,,210.0,,,140,-9999.0,-9999.0,-9999.0
2005,1,8,0,,,,74.0,,,,22.0,,9813.0,,,210.0,,,260,-9999.0,-9999.0,-9999.0
2005,1,8,6,,,,44.0,,,,21.0,,9796.0,,,190.0,,,150,-9999.0,-9999.0,-9999.0
2005,1,8,18,,,,48.0,,,,18.0,,9746.0,,,210.0,,,120,-9999.0,-9999.0,-9999.0
2005,1,9,6,,,,38.0,,,,21.0,,9826.0,,,240.0,,,170,-9999.0,-9999.0,-9999.0
2005,1,9,12,,,,52.0,,,,-2.0,,9918.0,,,220.0,,,170,-9999.0,-9999.0,-9999.0
2005,1,9,18,,,,58.0,,,,10.0,,9953.0,,,210.0,,,150,-9999.0,-9999.0,-9999.0
2005,1,10,6,,,,89.0,,,,63.0,,9752.0,,,170.0,,,160,-9999.0,-9999.0,-9999.0
2005,1,10,12,,,,85.0,,,,71.0,,9732.0,,,200.0,,,290,-9999.0,-9999.0,-9999.0
2005,1,10,18,,,,71.0,,,,28.0,,9865.0,,,210.0,,,270,-9999.0,-9999.0,-9999.0
2005,1,11,0,,,,64.0,,,,33.0,,9924.0,,,200.0,,,200,-9999.0,-9999.0,-9999.0
2005,1,11,12,,,,63.0,,,,22.0,10013.0,,,200.0,,,160.0,-9999,-9999.0,-9999.0,
2005,1,11,18,,,,78.0,,,,23.0,,9946.0,,,170.0,,,130,-9999.0,-9999.0,-9999.0
2005,1,12,0,,,,77.0,,,,31.0,,9835.0,,,180.0,,,210,-9999.0,-9999.0,-9999.0
2005,1,12,6,,,,63.0,,,,,9.0,-9999.0,,,180.0,,,230,-9999.0,-9999.0,-9999.0
2005,1,12,12,,,,36.0,,,,12.0,,9676.0,,,170.0,,,150,-9999.0,-9999.0,-9999.0
2005,1,12,18,,,,71.0,,,,58.0,,9633.0,,,230.0,,,280,-9999.0,-9999.0,-9999.0
2005,1,13,0,,,,55.0,,,,37.0,,9829.0,,,350.0,,,140,-9999.0,-9999.0,-9999.0
2005,1,13,6,,,,69.0,,,,40.0,,9930.0,,,300.0,,,100,-9999.0,-9999.0,-9999.0
2005,1,13,12,,,,55.0,,,,30.0,10025.0,,,350.0,,,,90,-9999.0,-9999.0,-9999.0
2005,1,13,18,,,,60.0,,,,18.0,10119.0,,,,10.0,,,110,-9999.0,-9999.0,-9999.0
2005,1,14,0,,,,44.0,,,,,0.0,10185.0,,,150.0,,,120,-9999.0,-9999.0,-9999.0
2005,1,14,6,,,,22.0,,,,-1.0,10224.0,,,,20.0,,,120,-9999.0,-9999.0,-9999.0
2005,1,14,12,,,,29.0,,,-10.0,10254.0,,,210.0,,,,30.0,-9999,-9999.0,-9999.0,
2005,1,14,18,,,,27.0,,,-55.0,10247.0,,,140.0,,,,40.0,-9999,-9999.0,-9999.0,
2005,1,15,0,,,,33.0,,,-57.0,10226.0,,,130.0,,,,30.0,-9999,-9999.0,-9999.0,
2005,1,15,6,,,,48.0,,,,,3.0,10166.0,,,180.0,,,150,-9999.0,-9999.0,-9999.0
2005,1,15,12,,,,54.0,,,,13.0,10122.0,,,170.0,,,190.0,-9999,-9999.0,-9999.0,
2005,1,15,18,,,,72.0,,,,39.0,10081.0,,,180.0,,,240.0,-9999,-9999.0,-9999.0,
2005,1,16,0,,,,82.0,,,,58.0,10043.0,,,180.0,,,210.0,-9999,-9999.0,-9999.0,
