,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,2003,1,1,1,,,,32.0,-9999.0,10112.0,,,170.0,,,,26.0,-9999.0,-9999.0,-9999.0
1,2003,1,1,2,,,,34.0,-9999.0,10104.0,,,190.0,,,,41.0,-9999.0,-9999.0,-9999.0
2,2003,1,1,3,,,,34.0,-9999.0,10104.0,,,190.0,,,,41.0,-9999.0,-9999.0,-9999.0
3,2003,1,1,4,,,,34.0,-9999.0,10104.0,,,190.0,,,,41.0,-9999.0,-9999.0,-9999.0
4,2003,1,1,5,,,,34.0,-9999.0,10104.0,,,190.0,,,,41.0,-9999.0,-9999.0,-9999.0
5,2003,1,1,6,,,,34.0,-9999.0,10104.0,,,190.0,,,,41.0,-9999.0,-9999.0,-9999.0
6,2003,1,1,7,,,,34.0,-9999.0,10104.0,,,190.0,,,,41.0,-9999.0,-9999.0,-9999.0
7,2003,1,1,8,,,,34.0,-9999.0,10104.0,,,190.0,,,,41.0,-9999.0,-9999.0,-9999.0
8,2003,1,1,9,,,,49.0,-9999.0,10000.0,,,150.0,,,129.0,-9999.0,-9999.0,-9999.0,
9,2003,1,1,10,,,,47.0,-9999.0,,9979.0,,,140.0,,,134.0,-9999.0,-9999.0,-9999.0
10,2003,1,1,11,,,,52.0,-9999.0,,9955.0,,,140.0,,,134.0,-9999.0,-9999.0,-9999.0
11,2003,1,1,12,,,,57.0,-9999.0,,9930.0,,,150.0,,,149.0,-9999.0,-9999.0,-9999.0
12,2003,1,1,13,,,,64.0,-9999.0,,9906.0,,,140.0,,,118.0,-9999.0,-9999.0,-9999.0
13,2003,1,4,12,,,,31.0,-9999.0,10126.0,,,320.0,,,,57.0,-9999.0,-9999.0,-9999.0
14,2003,1,4,15,-9999.0,-9999.0,10132.0,,,,30.0,,,,46.0,-9999.0,-9999.0,-9999.0,,
15,2003,1,4,16,,,,25.0,-9999.0,10136.0,,,360.0,,,,51.0,-9999.0,-9999.0,-9999.0
16,2003,1,5,0,,,,29.0,-9999.0,10164.0,,,270.0,,,,26.0,-9999.0,-9999.0,-9999.0
