,1,2,3,4,5,6,7,8,9,10,11,12
0,2003,4,19,15,-9999,-9999,10152,-9999,-9999,-9999,-9999,-9999
1,2003,4,20,15,-9999,-9999,10001,-9999,-9999,-9999,-9999,-9999
2,2003,4,22,15,-9999,-9999,10104,-9999,-9999,-9999,-9999,-9999
3,2003,4,24,15,-9999,-9999,10053,-9999,-9999,-9999,-9999,-9999
4,2003,4,25,15,-9999,-9999,10112,-9999,-9999,-9999,-9999,-9999
5,2003,4,26,15,-9999,-9999,10134,-9999,-9999,-9999,-9999,-9999
6,2003,4,28,15,-9999,-9999,10068,-9999,-9999,-9999,-9999,-9999
7,2003,4,29,6,-9999,-9999,10116,-9999,-9999,-9999,-9999,-9999
8,2003,5,1,15,-9999,-9999,10229,-9999,-9999,-9999,-9999,-9999
9,2003,5,3,6,-9999,-9999,10119,-9999,-9999,-9999,-9999,-9999
10,2003,5,3,15,-9999,-9999,10100,-9999,-9999,-9999,-9999,-9999
11,2003,5,4,15,-9999,-9999,10198,-9999,-9999,-9999,-9999,-9999
12,2003,5,5,15,-9999,-9999,10317,-9999,-9999,-9999,-9999,-9999
13,2003,5,11,15,-9999,-9999,10294,-9999,-9999,-9999,-9999,-9999
14,2003,5,12,15,-9999,-9999,10308,-9999,-9999,-9999,-9999,-9999
15,2003,5,13,15,-9999,-9999,10299,-9999,-9999,-9999,-9999,-9999
16,2003,5,17,15,-9999,-9999,10199,-9999,-9999,-9999,-9999,-9999
17,2003,5,19,15,-9999,-9999,10291,-9999,-9999,-9999,-9999,-9999
18,2003,5,20,15,-9999,-9999,10297,-9999,-9999,-9999,-9999,-9999
19,2003,5,21,6,-9999,-9999,10274,-9999,-9999,-9999,-9999,-9999
20,2003,5,23,15,-9999,-9999,10245,-9999,-9999,-9999,-9999,-9999
21,2003,5,26,15,-9999,-9999,10237,-9999,-9999,-9999,-9999,-9999
22,2003,5,30,15,-9999,-9999,10187,-9999,-9999,-9999,-9999,-9999
23,2003,5,31,15,-9999,-9999,10159,-9999,-9999,-9999,-9999,-9999
24,2003,6,6,15,-9999,-9999,10195,-9999,-9999,-9999,-9999,-9999
25,2003,6,7,15,-9999,-9999,10203,-9999,-9999,-9999,-9999,-9999
26,2003,6,8,15,-9999,-9999,10154,-9999,-9999,-9999,-9999,-9999
27,2003,6,10,15,-9999,-9999,10211,-9999,-9999,-9999,-9999,-9999
28,2003,6,13,6,-9999,-9999,10188,-9999,-9999,-9999,-9999,-9999
29,2003,6,14,12,-9999,-9999,10234,-9999,-9999,-9999,-9999,-9999
30,2003,6,15,6,-9999,-9999,10206,-9999,-9999,-9999,-9999,-9999
31,2003,6,16,6,-9999,-9999,10206,-9999,-9999,-9999,-9999,-9999
32,2003,6,18,15,-9999,-9999,10269,-9999,-9999,-9999,-9999,-9999
33,2003,6,19,6,-9999,-9999,10250,-9999,-9999,-9999,-9999,-9999
34,2003,6,19,15,-9999,-9999,10233,-9999,-9999,-9999,-9999,-9999
35,2003,6,22,6,-9999,-9999,10165,-9999,-9999,-9999,-9999,-9999
36,2003,6,22,12,-9999,-9999,10183,-9999,-9999,-9999,-9999,-9999
37,2003,6,22,15,-9999,-9999,10184,-9999,-9999,-9999,-9999,-9999
38,2003,6,23,6,-9999,-9999,10180,-9999,-9999,-9999,-9999,-9999
39,2003,6,23,12,-9999,-9999,10197,-9999,-9999,-9999,-9999,-9999
40,2003,6,24,15,-9999,-9999,10225,-9999,-9999,-9999,-9999,-9999
41,2003,6,25,6,-9999,-9999,10213,-9999,-9999,-9999,-9999,-9999
42,2003,6,25,12,-9999,-9999,10213,-9999,-9999,-9999,-9999,-9999
43,2003,6,25,15,-9999,-9999,10211,-9999,-9999,-9999,-9999,-9999
44,2003,6,26,15,-9999,-9999,10229,-9999,-9999,-9999,-9999,-9999
45,2003,6,27,12,-9999,-9999,10265,-9999,-9999,-9999,-9999,-9999
46,2003,6,27,15,-9999,-9999,10261,-9999,-9999,-9999,-9999,-9999
47,2003,6,27,19,-9999,-9999,10261,-9999,-9999,-9999,-9999,-9999
48,2003,6,28,6,-9999,-9999,10164,-9999,-9999,-9999,-9999,-9999
49,2003,6,28,12,-9999,-9999,10143,-9999,-9999,-9999,-9999,-9999
50,2003,6,29,12,-9999,-9999,10165,-9999,-9999,-9999,-9999,-9999
51,2003,6,29,15,-9999,-9999,10134,-9999,-9999,-9999,-9999,-9999
52,2003,6,30,12,-9999,-9999,10168,-9999,-9999,-9999,-9999,-9999
53,2003,7,2,6,-9999,-9999,10172,-9999,-9999,-9999,-9999,-9999
54,2003,7,2,12,-9999,-9999,10196,-9999,-9999,-9999,-9999,-9999
55,2003,7,4,6,-9999,-9999,10220,-9999,-9999,-9999,-9999,-9999
56,2003,7,4,15,-9999,-9999,10243,-9999,-9999,-9999,-9999,-9999
57,2003,7,5,15,-9999,-9999,10246,-9999,-9999,-9999,-9999,-9999
58,2003,7,6,6,-9999,-9999,10232,-9999,-9999,-9999,-9999,-9999
59,2003,7,6,12,-9999,-9999,10243,-9999,-9999,-9999,-9999,-9999
60,2003,7,6,15,-9999,-9999,10240,-9999,-9999,-9999,-9999,-9999
61,2003,7,7,6,-9999,-9999,10233,-9999,-9999,-9999,-9999,-9999
62,2003,7,7,15,-9999,-9999,10229,-9999,-9999,-9999,-9999,-9999
63,2003,7,9,12,-9999,-9999,10218,-9999,-9999,-9999,-9999,-9999
64,2003,7,10,12,-9999,-9999,10238,-9999,-9999,-9999,-9999,-9999
65,2003,7,11,6,-9999,-9999,10244,-9999,-9999,-9999,-9999,-9999
66,2003,7,12,15,-9999,-9999,10206,-9999,-9999,-9999,-9999,-9999
67,2003,7,13,6,-9999,-9999,10173,-9999,-9999,-9999,-9999,-9999
68,2003,7,13,12,-9999,-9999,10189,-9999,-9999,-9999,-9999,-9999
69,2003,7,13,15,-9999,-9999,10193,-9999,-9999,-9999,-9999,-9999
70,2003,7,14,15,-9999,-9999,10216,-9999,-9999,-9999,-9999,-9999
71,2003,7,15,12,-9999,-9999,10203,-9999,-9999,-9999,-9999,-9999
72,2003,7,15,15,-9999,-9999,10194,-9999,-9999,-9999,-9999,-9999
73,2003,7,19,12,-9999,-9999,10225,-9999,-9999,-9999,-9999,-9999
74,2003,7,20,6,-9999,-9999,10193,-9999,-9999,-9999,-9999,-9999
75,2003,7,20,12,-9999,-9999,10194,-9999,-9999,-9999,-9999,-9999
76,2003,7,21,6,-9999,-9999,10194,-9999,-9999,-9999,-9999,-9999
77,2003,7,21,15,-9999,-9999,10215,-9999,-9999,-9999,-9999,-9999
78,2003,7,23,15,-9999,-9999,10275,-9999,-9999,-9999,-9999,-9999
79,2003,7,24,12,-9999,-9999,10258,-9999,-9999,-9999,-9999,-9999
80,2003,7,24,15,-9999,-9999,10252,-9999,-9999,-9999,-9999,-9999
81,2003,7,26,6,-9999,-9999,10185,-9999,-9999,-9999,-9999,-9999
82,2003,7,27,15,-9999,-9999,10238,-9999,-9999,-9999,-9999,-9999
83,2003,7,29,15,-9999,-9999,10271,-9999,-9999,-9999,-9999,-9999
84,2003,7,30,15,-9999,-9999,10265,-9999,-9999,-9999,-9999,-9999
85,2003,7,31,6,-9999,-9999,10234,-9999,-9999,-9999,-9999,-9999
86,2003,7,31,15,-9999,-9999,10223,-9999,-9999,-9999,-9999,-9999
87,2003,8,1,15,-9999,-9999,10207,-9999,-9999,-9999,-9999,-9999
88,2003,8,2,12,-9999,-9999,10207,-9999,-9999,-9999,-9999,-9999
89,2003,8,4,15,-9999,-9999,10196,-9999,-9999,-9999,-9999,-9999
90,2003,8,6,6,-9999,-9999,10215,-9999,-9999,-9999,-9999,-9999
91,2003,8,7,6,-9999,-9999,10196,-9999,-9999,-9999,-9999,-9999
92,2003,8,8,15,-9999,-9999,10199,-9999,-9999,-9999,-9999,-9999
93,2003,8,9,6,-9999,-9999,10225,-9999,-9999,-9999,-9999,-9999
94,2003,8,9,12,-9999,-9999,10237,-9999,-9999,-9999,-9999,-9999
95,2003,8,9,15,-9999,-9999,10237,-9999,-9999,-9999,-9999,-9999
96,2003,8,10,6,-9999,-9999,10231,-9999,-9999,-9999,-9999,-9999
97,2003,8,10,12,-9999,-9999,10232,-9999,-9999,-9999,-9999,-9999
98,2003,8,10,15,-9999,-9999,10224,-9999,-9999,-9999,-9999,-9999
99,2003,8,11,6,-9999,-9999,10191,-9999,-9999,-9999,-9999,-9999
100,2003,8,11,15,-9999,-9999,10175,-9999,-9999,-9999,-9999,-9999
101,2003,8,12,6,-9999,-9999,10162,-9999,-9999,-9999,-9999,-9999
102,2003,8,15,12,-9999,-9999,10249,-9999,-9999,-9999,-9999,-9999
103,2003,8,16,6,-9999,-9999,10232,-9999,-9999,-9999,-9999,-9999
104,2003,8,16,12,-9999,-9999,10242,-9999,-9999,-9999,-9999,-9999
105,2003,8,16,15,-9999,-9999,10231,-9999,-9999,-9999,-9999,-9999
106,2003,8,17,6,-9999,-9999,10199,-9999,-9999,-9999,-9999,-9999
107,2003,8,17,12,-9999,-9999,10210,-9999,-9999,-9999,-9999,-9999
108,2003,8,17,15,-9999,-9999,10208,-9999,-9999,-9999,-9999,-9999
109,2003,8,18,6,-9999,-9999,10204,-9999,-9999,-9999,-9999,-9999
110,2003,8,18,15,-9999,-9999,10216,-9999,-9999,-9999,-9999,-9999
111,2003,8,19,6,-9999,-9999,10223,-9999,-9999,-9999,-9999,-9999
112,2003,8,19,15,-9999,-9999,10242,-9999,-9999,-9999,-9999,-9999
113,2003,8,20,15,-9999,-9999,10249,-9999,-9999,-9999,-9999,-9999
114,2003,8,25,15,-9999,-9999,10209,-9999,-9999,-9999,-9999,-9999
115,2003,8,26,15,-9999,-9999,10126,-9999,-9999,-9999,-9999,-9999
116,2003,8,27,15,-9999,-9999,10182,-9999,-9999,-9999,-9999,-9999
117,2003,8,28,6,-9999,-9999,10124,-9999,-9999,-9999,-9999,-9999
118,2003,8,28,15,-9999,-9999,10130,-9999,-9999,-9999,-9999,-9999
119,2003,8,29,15,-9999,-9999,10175,-9999,-9999,-9999,-9999,-9999
120,2003,8,30,12,-9999,-9999,10206,-9999,-9999,-9999,-9999,-9999
121,2003,9,2,6,-9999,-9999,10264,-9999,-9999,-9999,-9999,-9999
122,2003,9,2,15,-9999,-9999,10280,-9999,-9999,-9999,-9999,-9999
123,2003,9,4,6,-9999,-9999,10264,-9999,-9999,-9999,-9999,-9999
124,2003,9,5,15,-9999,-9999,10285,-9999,-9999,-9999,-9999,-9999
125,2003,9,7,15,-9999,-9999,10265,-9999,-9999,-9999,-9999,-9999
126,2003,9,10,15,-9999,-9999,10264,-9999,-9999,-9999,-9999,-9999
127,2003,9,11,15,-9999,-9999,10272,-9999,-9999,-9999,-9999,-9999
128,2003,9,12,15,-9999,-9999,10237,-9999,-9999,-9999,-9999,-9999
129,2003,9,13,12,-9999,-9999,10227,-9999,-9999,-9999,-9999,-9999
130,2003,9,14,12,-9999,-9999,10199,-9999,-9999,-9999,-9999,-9999
131,2003,9,15,15,-9999,-9999,10184,-9999,-9999,-9999,-9999,-9999
132,2003,9,16,15,-9999,-9999,10192,-9999,-9999,-9999,-9999,-9999
133,2003,9,19,15,-9999,-9999,10031,-9999,-9999,-9999,-9999,-9999
134,2003,9,20,12,-9999,-9999,10242,-9999,-9999,-9999,-9999,-9999
135,2003,9,21,12,-9999,-9999,10234,-9999,-9999,-9999,-9999,-9999
136,2003,9,21,15,-9999,-9999,10217,-9999,-9999,-9999,-9999,-9999
137,2003,9,22,15,-9999,-9999,10251,-9999,-9999,-9999,-9999,-9999
138,2003,9,24,15,-9999,-9999,10189,-9999,-9999,-9999,-9999,-9999
139,2003,9,26,6,-9999,-9999,10172,-9999,-9999,-9999,-9999,-9999
140,2003,9,29,12,-9999,-9999,10191,-9999,-9999,-9999,-9999,-9999
141,2003,9,30,12,-9999,-9999,10057,-9999,-9999,-9999,-9999,-9999
142,2003,9,30,15,-9999,-9999,10039,-9999,-9999,-9999,-9999,-9999
143,2003,10,1,15,-9999,-9999,10032,-9999,-9999,-9999,-9999,-9999
144,2003,10,2,15,-9999,-9999,10148,-9999,-9999,-9999,-9999,-9999
145,2003,10,3,12,-9999,-9999,10199,-9999,-9999,-9999,-9999,-9999
146,2003,10,3,15,-9999,-9999,10216,-9999,-9999,-9999,-9999,-9999
147,2003,10,4,15,-9999,-9999,10276,-9999,-9999,-9999,-9999,-9999
148,2003,10,5,6,-9999,-9999,10282,-9999,-9999,-9999,-9999,-9999
149,2003,10,5,15,-9999,-9999,10280,-9999,-9999,-9999,-9999,-9999
150,2003,10,7,12,-9999,-9999,10317,-9999,-9999,-9999,-9999,-9999
151,2003,10,8,6,-9999,-9999,10318,-9999,-9999,-9999,-9999,-9999
152,2003,10,8,15,-9999,-9999,10296,-9999,-9999,-9999,-9999,-9999
153,2003,10,9,15,-9999,-9999,10246,-9999,-9999,-9999,-9999,-9999
154,2003,10,11,6,-9999,-9999,10160,-9999,-9999,-9999,-9999,-9999
155,2003,10,11,15,-9999,-9999,10155,-9999,-9999,-9999,-9999,-9999
156,2003,10,12,12,-9999,-9999,10198,-9999,-9999,-9999,-9999,-9999
157,2003,10,12,15,-9999,-9999,10182,-9999,-9999,-9999,-9999,-9999
158,2003,10,13,15,-9999,-9999,10184,-9999,-9999,-9999,-9999,-9999
159,2003,10,14,1,-9999,-9999,10168,-9999,-9999,-9999,-9999,-9999
160,2003,10,14,6,-9999,-9999,10168,-9999,-9999,-9999,-9999,-9999
161,2003,10,14,15,-9999,-9999,10162,-9999,-9999,-9999,-9999,-9999
162,2003,10,15,6,-9999,-9999,10148,-9999,-9999,-9999,-9999,-9999
163,2003,10,17,15,-9999,-9999,10107,-9999,-9999,-9999,-9999,-9999
164,2003,10,20,15,-9999,-9999,10134,-9999,-9999,-9999,-9999,-9999
165,2003,10,21,15,-9999,-9999,10170,-9999,-9999,-9999,-9999,-9999
166,2003,10,23,6,-9999,-9999,10219,-9999,-9999,-9999,-9999,-9999
167,2003,10,24,6,-9999,-9999,10105,-9999,-9999,-9999,-9999,-9999
168,2003,10,24,15,-9999,-9999,10226,-9999,-9999,-9999,-9999,-9999
169,2003,10,25,6,-9999,-9999,10248,-9999,-9999,-9999,-9999,-9999
170,2003,10,25,15,-9999,-9999,10128,-9999,-9999,-9999,-9999,-9999
171,2003,10,26,15,-9999,-9999,10177,-9999,-9999,-9999,-9999,-9999
