,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
2014,1,5,2,,,270.0,,,230.0,-9999.0,,,180.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,5,3,,,280.0,,,240.0,-9999.0,,,210.0,,,,51.0,-9999.0,-9999.0,-9999.0,,,
2014,1,5,4,,,290.0,,,230.0,-9999.0,,,210.0,,,,51.0,-9999.0,-9999.0,-9999.0,,,
2014,1,5,5,,,290.0,,,230.0,-9999.0,,,210.0,,,,51.0,-9999.0,-9999.0,-9999.0,,,
2014,1,5,6,,,290.0,,,220.0,-9999.0,,,210.0,,,,51.0,-9999.0,-9999.0,-9999.0,,,
2014,1,5,7,,,310.0,,,230.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,,,
2014,1,5,8,,,310.0,,,210.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,,,
2014,1,5,9,,,260.0,,,240.0,-9999.0,,,360.0,,,,41.0,-9999.0,-9999.0,-9999.0,,,
2014,1,5,10,,,260.0,,,240.0,-9999.0,,,,60.0,,,,21.0,-9999.0,-9999.0,-9999.0,,
2014,1,5,11,,,260.0,,,250.0,-9999.0,,,360.0,,,,21.0,-9999.0,-9999.0,-9999.0,,,
2014,1,5,12,,,250.0,,,240.0,-9999.0,,,150.0,,,,31.0,-9999.0,-9999.0,-9999.0,,,
2014,1,5,13,,,250.0,,,230.0,-9999.0,,,180.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,5,14,,,250.0,,,230.0,-9999.0,,,150.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,5,22,,,240.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,5,23,,,240.0,,,230.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,,,
2014,1,6,0,,,250.0,,,230.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,,,
2014,1,6,1,,,260.0,,,230.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,,,
2014,1,6,2,,,270.0,,,240.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,,,
2014,1,6,3,,,280.0,,,240.0,-9999.0,,,360.0,,,,41.0,-9999.0,-9999.0,-9999.0,,,
2014,1,6,4,,,290.0,,,230.0,-9999.0,,,,30.0,,,,41.0,-9999.0,-9999.0,-9999.0,,
2014,1,6,5,,,290.0,,,240.0,-9999.0,,,,60.0,,,,51.0,-9999.0,-9999.0,-9999.0,,
2014,1,6,6,,,260.0,,,240.0,-9999.0,,,270.0,,,,77.0,-9999.0,-9999.0,-9999.0,,,
2014,1,6,7,,,250.0,,,230.0,-9999.0,,,270.0,,,,41.0,-9999.0,-9999.0,-9999.0,,,
2014,1,6,8,,,240.0,,,230.0,-9999.0,,,360.0,,,,31.0,-9999.0,-9999.0,-9999.0,,,
2014,1,6,9,,,230.0,,,230.0,-9999.0,,,,60.0,,,,26.0,-9999.0,-9999.0,-9999.0,,
2014,1,6,10,,,230.0,,,230.0,-9999.0,,,360.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,6,11,,,230.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,6,12,,,230.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,6,13,,,230.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,6,14,,,240.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,7,0,,,240.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,7,1,,,250.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,7,2,,,270.0,,,220.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,7,3,,,270.0,,,240.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,7,5,,,290.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,7,6,,,290.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,7,8,,,300.0,,,240.0,-9999.0,,,250.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,8,0,,,250.0,,,240.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,,,
2014,1,8,4,,,300.0,,,230.0,-9999.0,,,180.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,8,6,,,320.0,,,220.0,-9999.0,,,180.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,8,8,,,320.0,,,230.0,-9999.0,,,150.0,,,,51.0,-9999.0,-9999.0,-9999.0,,,
2014,1,9,1,,,260.0,,,220.0,-9999.0,,,180.0,,,,31.0,-9999.0,-9999.0,-9999.0,,,
2014,1,9,2,,,280.0,,,230.0,-9999.0,,,180.0,,,,62.0,-9999.0,-9999.0,-9999.0,,,
2014,1,9,3,,,290.0,,,220.0,-9999.0,,,180.0,,,,62.0,-9999.0,-9999.0,-9999.0,,,
2014,1,9,7,,,310.0,,,220.0,-9999.0,,,180.0,,,,77.0,-9999.0,-9999.0,-9999.0,,,
2014,1,9,10,,,320.0,,,220.0,-9999.0,,,210.0,,,,51.0,-9999.0,-9999.0,-9999.0,,,
2014,1,9,11,,,290.0,,,230.0,-9999.0,,,180.0,,,,62.0,-9999.0,-9999.0,-9999.0,,,
2014,1,10,0,,,250.0,,,240.0,-9999.0,,,210.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,10,4,,,290.0,,,230.0,-9999.0,,,180.0,,,,51.0,-9999.0,-9999.0,-9999.0,,,
2014,1,10,7,,,320.0,,,230.0,-9999.0,,,210.0,,,,31.0,-9999.0,-9999.0,-9999.0,,,
2014,1,10,8,,,300.0,,,230.0,-9999.0,,,120.0,,,,51.0,-9999.0,-9999.0,-9999.0,,,
2014,1,10,12,,,250.0,,,220.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,11,0,,,250.0,,,240.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,13,0,,,250.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
