,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,2014,1,1,1,,,300,,,240,-9999,,,,70.0,,,,21,-9999,-9999.0,-9999.0
1,2014,1,1,2,,,300,,,250,-9999,,,,50.0,,,,26,-9999,-9999.0,-9999.0
2,2014,1,1,3,,,300,,,250,-9999,,,,50.0,,,,26,-9999,-9999.0,-9999.0
3,2014,1,1,4,,,300,,,240,-9999,,,,20.0,,,,21,-9999,-9999.0,-9999.0
4,2014,1,1,5,,,310,,,250,-9999,,,,10.0,,,,15,-9999,-9999.0,-9999.0
5,2014,1,1,6,,,310,,,250,-9999,,,,20.0,,,,15,-9999,-9999.0,-9999.0
6,2014,1,1,7,,,300,,,260,-9999,,,330.0,,,,15.0,-9999,-9999,-9999.0,
7,2014,1,1,8,,,300,,,260,-9999,,,350.0,,,,31.0,-9999,-9999,-9999.0,
8,2014,1,1,9,,,300,,,260,-9999,,,,10.0,,,,41,-9999,-9999.0,-9999.0
9,2014,1,1,10,,,290,,,260,-9999,,,,40.0,,,,26,-9999,-9999.0,-9999.0
10,2014,1,1,11,,,290,,,250,-9999,,,,30.0,,,,26,-9999,-9999.0,-9999.0
11,2014,1,1,12,,,280,,,250,-9999,,,,70.0,,,,21,-9999,-9999.0,-9999.0
12,2014,1,1,13,,,280,,,250,-9999,,,,70.0,,,,15,-9999,-9999.0,-9999.0
13,2014,1,1,14,,,270,,,250,-9999,,,,70.0,,,,15,-9999,-9999.0,-9999.0
14,2014,1,1,15,,,280,,,250,-9999,,,,80.0,,,,15,-9999,-9999.0,-9999.0
15,2014,1,1,16,,,280,,,250,-9999,,,,70.0,,,,15,-9999,-9999.0,-9999.0
16,2014,1,1,17,,,280,,,250,-9999,,,,80.0,,,,15,-9999,-9999.0,-9999.0
17,2014,1,1,18,,,270,,,250,-9999,,,,80.0,,,,15,-9999,-9999.0,-9999.0
18,2014,1,1,19,,,280,,,250,-9999,,,,70.0,,,,15,-9999,-9999.0,-9999.0
19,2014,1,1,23,,,260,,,240,-9999,,,210.0,,,,,5,-9999,-9999.0,-9999.0
20,2014,1,2,0,,,280,,,250,-9999,,,210.0,,,,10.0,-9999,-9999,-9999.0,
21,2014,1,2,1,,,290,,,260,-9999,,,190.0,,,,21.0,-9999,-9999,-9999.0,
22,2014,1,2,2,,,280,,,250,-9999,,,220.0,,,,21.0,-9999,-9999,-9999.0,
23,2014,1,2,3,,,300,,,260,-9999,,,210.0,,,,10.0,-9999,-9999,-9999.0,
24,2014,1,2,4,,,290,,,260,-9999,,,240.0,,,,15.0,-9999,-9999,-9999.0,
