,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,2012,1,1,23,,,289,,,173.0,10092.0,,,,50.0,,,103.0,-9999.0,-9999.0,-9999.0,,,
1,2012,1,2,23,,,315,,,212.0,10109.0,,,310.0,,,,51.0,-9999.0,-9999.0,-9999.0,,,
2,2012,1,3,23,,,314,,,195.0,10108.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
3,2012,1,9,23,,,251,,,207.0,10138.0,,,230.0,,,103.0,-9999.0,-9999.0,-9999.0,,,,
4,2012,1,11,23,,,297,,,,58.0,10118.0,,,180.0,,,103.0,-9999.0,-9999.0,-9999.0,,,
5,2012,1,12,23,,,301,,,,43.0,10105.0,,,,90.0,,,,77.0,-9999.0,-9999.0,-9999.0,
6,2012,1,17,23,,,339,,,152.0,10085.0,,,310.0,,,,51.0,-9999.0,-9999.0,-9999.0,,,
7,2012,1,18,5,,,401,,,,83.0,10029.0,,,,90.0,,,,77.0,-9999.0,-9999.0,-9999.0,
8,2012,1,18,23,,,341,,,187.0,10078.0,,,310.0,,,,77.0,-9999.0,-9999.0,-9999.0,,,
9,2012,1,28,23,,,304,,,194.0,,9998.0,,,270.0,,,103.0,-9999.0,-9999.0,-9999.0,,,
10,2012,1,29,23,,,319,,,185.0,10011.0,,,310.0,,,,77.0,-9999.0,-9999.0,-9999.0,,,
11,2012,2,11,23,,,290,,,,-4.0,10130.0,,,,90.0,,,,77.0,-9999.0,-9999.0,-9999.0,
12,2012,2,19,23,,,341,,,-44.0,10104.0,,,310.0,,,103.0,-9999.0,-9999.0,-9999.0,,,,
13,2012,2,22,23,,,294,,,150.0,10105.0,,,,50.0,,,103.0,-9999.0,-9999.0,-9999.0,,,
14,2012,2,26,23,,,264,,,189.0,10079.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
15,2012,3,1,23,,,249,,,192.0,10027.0,,,130.0,,,103.0,-9999.0,-9999.0,-9999.0,,,,
16,2012,3,2,5,,,261,,,202.0,10007.0,,,130.0,,,103.0,-9999.0,-9999.0,,,,10.0,
