,,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR,SATELLITE-INFO
2017,1,2,,72.0,-50.0,10206.0,210.0,,26.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,3,,72.0,-44.0,10210.0,210.0,,31.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,4,,67.0,-39.0,10210.0,220.0,,26.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,5,,67.0,-33.0,10206.0,200.0,,21.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,6,,67.0,-33.0,10203.0,210.0,,31.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,7,,61.0,-17.0,10203.0,210.0,,41.0,-9999.0,,-9999.0,,723147-53870-2017
2017,1,8,,56.0,,-6.0,,240.0,,46.0,-9999.0,-1.0,-9999.0,723147-53870-2017
2017,1,9,,50.0,,,-9999.0,,15.0,-9999.0,,-9999.0,,723147-53870-2017
2017,1,10,,44.0,,17.0,,230.0,,15.0,-9999.0,20.0,-9999.0,723147-53870-2017
2017,1,14,,50.0,,33.0,,,-9999.0,,,,,723147-53870-2017
2017,1,11,,94.0,,78.0,,360.0,,31.0,-9999.0,33.0,-9999.0,723147-53870-2017
2017,1,14,,,78.0,10230.0,,30.0,,41.0,-9999.0,10.0,-9999.0,723147-53870-2017
2017,1,15,,,83.0,10236.0,,10.0,,31.0,-9999.0,-1.0,-9999.0,723147-53870-2017
2017,1,10,,94.0,,72.0,,,-9999.0,,,-9999.0,,723147-53870-2017
2017,1,21,,,10074.0,-9999.0,,31.0,,,,,,723147-53870-2017
2017,1,22,,,10072.0,,,,-9999.0,,,-9999.0,,723147-53870-2017
2017,1,23,,,10070.0,,,,-9999.0,,,-9999.0,,723147-53870-2017
2017,1,0,,,10069.0,,,,-9999.0,,,-9999.0,,723147-53870-2017
2017,1,1,,,10064.0,,,,-9999.0,,,-9999.0,,723147-53870-2017
2017,1,2,,,10059.0,,,,-9999.0,,,-9999.0,,723147-53870-2017
2017,1,3,,,10056.0,,,,-9999.0,,,-9999.0,,723147-53870-2017
2017,1,14,,,83.0,10072.0,280.0,,21.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,7,,50.0,-39.0,10119.0,360.0,,26.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,2,,17.0,-11.0,10189.0,,60.0,,41.0,-9999.0,-1.0,-9999.0,723147-53870-2017
2017,1,7,,-6.0,-33.0,10179.0,,30.0,,67.0,-9999.0,25.0,-9999.0,723147-53870-2017
2017,1,8,,,10172.0,,30.0,,72.0,-9999.0,,-9999.0,,723147-53870-2017
2017,1,9,,,10175.0,,20.0,,62.0,-9999.0,,-9999.0,,723147-53870-2017
2017,1,10,,,10170.0,,20.0,,51.0,-9999.0,,3.0,-9999.0,723147-53870-2017
2017,1,11,,,10181.0,,,,-9999.0,,,,,723147-53870-2017
2017,1,13,,,10208.0,,10.0,,62.0,-9999.0,,3.0,-9999.0,723147-53870-2017
2017,1,15,,,10241.0,,10.0,,57.0,-9999.0,,3.0,-9999.0,723147-53870-2017
2017,1,16,,,10242.0,,10.0,,57.0,-9999.0,,-9999.0,,723147-53870-2017
2017,1,17,,,10240.0,,,,-9999.0,,,,,723147-53870-2017
2017,1,7,,,-9999.0,,15.0,,,0.0,,0.0,-9999.0,723147-53870-2017
2017,1,10,,,-9999.0,,15.0,,,0.0,,0.0,-9999.0,723147-53870-2017
2017,1,18,,,-9999.0,,31.0,,,0.0,,0.0,-9999.0,723147-53870-2017
2017,1,4,,50.0,-11.0,10275.0,230.0,,15.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,5,,39.0,-11.0,10273.0,200.0,,15.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,12,,,94.0,10271.0,230.0,,15.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,5,,,94.0,10274.0,200.0,,21.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,23,,,10303.0,,30.0,,15.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,0,,,10307.0,,30.0,,21.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,4,,,10314.0,,40.0,,21.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,5,,,10313.0,,50.0,,31.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,7,,,10309.0,,40.0,,26.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,8,,,10311.0,,40.0,,36.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,9,,,10313.0,,40.0,,41.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,10,,,10314.0,,50.0,,41.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,17,,,39.0,10327.0,,,,,,,,723147-53870-2017
2017,1,18,,,44.0,10314.0,340.0,,21.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,17,,,10252.0,-9999.0,,15.0,,,,,,723147-53870-2017
2017,1,18,,,10243.0,,30.0,,36.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,19,,,10236.0,-9999.0,,21.0,,,,,,723147-53870-2017
2017,1,20,,,10231.0,,,,-9999.0,,,-9999.0,,723147-53870-2017
2017,1,21,,,10233.0,,,,-9999.0,,,-9999.0,,723147-53870-2017
2017,1,22,,,10236.0,,70.0,,26.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,23,,,10240.0,,80.0,,26.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,0,,,10243.0,,,,-9999.0,,,-9999.0,,723147-53870-2017
2017,1,1,,,10250.0,,80.0,,31.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,2,,,89.0,10254.0,100.0,,31.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,19,,,72.0,10272.0,,,,,,,,723147-53870-2017
2017,1,1,,,78.0,10272.0,110.0,,15.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,2,,,78.0,10273.0,,,,,,,,723147-53870-2017
2017,1,3,,,78.0,10266.0,140.0,,15.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,14,,,94.0,10238.0,190.0,,26.0,-9999.0,,0.0,-9999.0,723147-53870-2017
2017,1,15,,,10240.0,,,,-9999.0,,,-9999.0,,723147-53870-2017
2017,1,16,,,10237.0,,,,-9999.0,,,-9999.0,,723147-53870-2017
2017,1,17,,,10227.0,,,,-9999.0,,,-9999.0,,723147-53870-2017
2017,1,18,,,10217.0,,,,-9999.0,,,-9999.0,,723147-53870-2017
2017,1,19,,,10207.0,,,,-9999.0,,,-9999.0,,723147-53870-2017
2017,1,20,,,10200.0,,,,-9999.0,,,-9999.0,,723147-53870-2017
2017,1,7,,,10155.0,,,,-9999.0,,,-9999.0,,723147-53870-2017
2017,1,9,,,10146.0,,,,-9999.0,,,-9999.0,,723147-53870-2017
2017,1,12,,,10152.0,-9999.0,,31.0,,,,,,723147-53870-2017
2017,1,16,,,61.0,10162.0,,,0.0,,,-9999.0,,723147-53870-2017
2017,1,19,,,33.0,10149.0,,,,,,,,723147-53870-2017
