,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR
0,2017,1,1,8,-89,-106,10157,180,21,-9999,0,-9999
1,2017,1,1,9,-111,-122,10156,200,15,-9999,0,-9999
2,2017,1,1,10,-106,-117,10155,180,21,-9999,0,-9999
3,2017,1,1,11,-117,-139,10160,230,15,-9999,0,-9999
4,2017,1,1,12,-139,-156,10165,210,15,-9999,0,-9999
5,2017,1,1,13,-133,-150,10170,180,15,-9999,0,-9999
6,2017,1,1,14,-94,-106,10178,0,0,-9999,0,-9999
7,2017,1,1,15,-78,-106,10188,0,0,-9999,0,-9999
8,2017,1,1,16,-28,-50,10199,220,26,-9999,0,-9999
9,2017,1,1,17,11,-72,10206,240,26,-9999,0,-9999
10,2017,1,1,18,0,-72,10202,260,26,-9999,0,-9999
11,2017,1,1,19,0,-72,10199,280,15,-9999,0,-9999
12,2017,1,1,20,6,-72,10204,0,0,-9999,0,-9999
13,2017,1,1,21,6,-72,10209,0,0,-9999,0,-9999
14,2017,1,1,22,0,-72,10221,180,15,-9999,0,-9999
15,2017,1,1,23,-22,-61,10224,0,0,-9999,0,-9999
16,2017,1,2,0,-28,-61,10230,30,15,-9999,0,-9999
17,2017,1,2,1,-33,-67,10241,70,15,-9999,0,-9999
18,2017,1,2,2,-17,-61,-9999,50,26,-9999,0,-9999
19,2017,1,2,3,-17,-61,10243,50,26,-9999,0,-9999
20,2017,1,2,4,-22,-61,10242,40,36,-9999,0,-9999
21,2017,1,2,5,-33,-67,10243,60,21,-9999,0,-9999
22,2017,1,2,6,-44,-72,10245,60,21,-9999,0,-9999
23,2017,1,2,7,-33,-61,10246,60,26,-9999,0,-9999
24,2017,1,2,8,-28,-61,10252,80,36,-9999,0,-9999
25,2017,1,2,9,-39,-67,10255,70,26,-9999,0,-9999
26,2017,1,2,10,-44,-72,10249,50,31,-9999,0,-9999
27,2017,1,2,11,-39,-61,10247,70,31,-9999,0,-9999
28,2017,1,2,12,-28,-50,10245,50,31,-9999,0,-9999
29,2017,1,2,13,-22,-39,-9999,70,26,-9999,0,-9999
30,2017,1,2,14,-17,-33,10245,50,31,-9999,0,-9999
31,2017,1,2,15,-11,-28,10243,50,31,-9999,-1,-9999
32,2017,1,2,16,-6,-22,10236,40,36,-9999,0,-9999
33,2017,1,2,17,6,-17,10227,-9999,-9999,-9999,0,-9999
34,2017,1,2,18,17,-17,10220,60,41,-9999,0,-9999
35,2017,1,2,19,17,-17,10206,70,51,-9999,0,-9999
36,2017,1,2,20,17,-17,10196,60,57,-9999,0,-9999
37,2017,1,2,21,17,-17,10199,50,46,-9999,0,-9999
38,2017,1,2,22,11,-17,-9999,60,57,-9999,-1,-9999
39,2017,1,2,23,6,-11,10185,70,62,-9999,-1,-9999
40,2017,1,3,0,0,-6,10187,60,46,-9999,-1,-9999
41,2017,1,3,1,0,-6,10182,60,46,-9999,3,-9999
42,2017,1,3,2,0,-6,10178,60,41,-9999,-1,-9999
43,2017,1,3,3,-9999,-9999,-9999,70,51,-9999,-1,-9999
44,2017,1,3,4,0,0,10161,50,46,-9999,-1,-9999
45,2017,1,3,5,6,0,10162,60,41,-9999,3,-9999
46,2017,1,3,6,6,0,10161,60,36,-9999,-1,-9999
