,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR
0,2017,1,2,12,182,23,10071,90,21,2,-9999,-9999
1,2017,1,5,6,105,75,10140,0,0,0,-9999,-9999
2,2017,1,5,12,267,-20,10083,90,21,0,-9999,-9999
3,2017,1,5,18,280,58,10042,360,10,7,-9999,-9999
4,2017,1,6,6,105,76,10129,0,0,0,-9999,-9999
5,2017,1,7,6,110,87,10138,0,0,0,-9999,-9999
6,2017,1,7,18,285,34,10046,90,10,5,-9999,-9999
7,2017,1,8,6,125,94,10138,0,0,0,-9999,-9999
8,2017,1,8,12,278,34,10089,90,21,7,-9999,-9999
9,2017,1,8,18,273,56,10068,0,0,7,-9999,-9999
10,2017,1,9,6,130,112,10141,0,0,7,-9999,-9999
11,2017,1,10,6,175,12,10111,0,0,7,-9999,-9999
12,2017,1,10,12,275,-14,10071,40,51,6,-9999,-9999
13,2017,1,10,18,262,6,10055,140,10,7,-9999,-9999
14,2017,1,11,6,125,15,10120,0,0,7,-9999,-9999
15,2017,1,11,12,268,-42,10071,40,10,7,-9999,-9999
16,2017,1,11,18,255,-20,10052,90,21,7,-9999,-9999
17,2017,1,12,6,110,43,10128,0,0,7,-9999,-9999
18,2017,1,12,12,255,-71,10090,90,196,3,-9999,-9999
19,2017,1,12,18,278,-18,10049,90,10,0,-9999,-9999
20,2017,1,13,18,250,6,10068,90,21,0,-9999,1810
21,2017,1,14,6,95,60,10134,0,0,0,-9999,-9999
22,2017,1,14,12,260,3,10070,90,21,0,-9999,-9999
23,2017,1,15,12,260,44,10072,90,21,4,-9999,-9999
24,2017,1,15,18,275,70,10045,0,0,0,-9999,-9999
25,2017,1,16,18,295,103,10037,0,0,0,-9999,-9999
26,2017,1,17,6,125,90,10127,0,0,0,-9999,-9999
27,2017,1,19,12,285,129,10086,40,31,0,-9999,-9999
28,2017,1,19,18,288,116,10052,90,21,0,-9999,-9999
29,2017,1,20,12,289,2,10076,90,21,0,-9999,1810
30,2017,1,20,18,299,43,10038,40,21,2,-9999,-9999
31,2017,1,21,12,285,-60,10074,90,31,0,-9999,-9999
32,2017,1,22,6,155,64,10120,0,0,5,-9999,-9999
33,2017,1,22,18,280,75,10053,90,10,7,-9999,-9999
34,2017,1,23,6,148,39,10130,0,0,7,-9999,-9999
35,2017,1,25,6,125,54,10143,0,0,7,-9999,-9999
36,2017,1,26,6,120,82,10145,0,0,3,-9999,-9999
37,2017,1,26,12,274,22,10094,90,21,2,-9999,-9999
38,2017,1,27,6,145,36,10152,0,0,5,-9999,-9999
39,2017,1,28,6,140,57,10159,0,0,7,-9999,-9999
40,2017,1,29,12,293,-20,10079,40,21,3,-9999,-9999
41,2017,1,29,18,305,48,10046,360,21,2,-9999,-9999
42,2017,1,30,6,160,9,10124,0,0,6,-9999,-9999
43,2017,1,30,12,290,-24,10084,40,31,0,-9999,-9999
44,2017,1,30,18,315,23,10046,0,0,0,-9999,-9999
45,2017,1,31,6,120,60,10134,0,0,5,-9999,-9999
46,2017,1,31,12,300,-25,10074,90,31,4,-9999,-9999
47,2017,1,31,18,300,43,10046,0,0,0,-9999,-9999
48,2017,2,1,6,118,50,10131,0,0,0,-9999,-9999
49,2017,2,1,12,269,-35,10084,40,21,0,-9999,-9999
50,2017,2,1,18,296,37,10055,40,21,0,-9999,-9999
51,2017,2,2,18,290,3,10055,90,10,7,-9999,-9999
52,2017,2,3,6,170,-3,10125,0,0,5,-9999,-9999
53,2017,2,4,6,165,0,10126,0,0,4,-9999,-9999
54,2017,2,4,12,279,-55,10087,40,21,0,-9999,-9999
55,2017,2,5,6,155,0,10126,0,0,6,-9999,-9999
56,2017,2,5,15,270,-150,10090,90,21,0,-9999,-9999
57,2017,2,5,18,280,-4,10058,90,10,0,-9999,-9999
58,2017,2,6,18,285,-5,10052,0,0,-9999,-9999,-9999
59,2017,2,7,6,155,24,10108,0,0,3,-9999,-9999
60,2017,2,7,18,291,3,10041,360,10,0,-9999,-9999
61,2017,2,8,6,160,42,10112,0,0,0,-9999,-9999
62,2017,2,9,18,295,6,10037,180,10,6,-9999,-9999
63,2017,2,10,6,140,61,10114,0,0,7,-9999,-9999
64,2017,2,10,9,289,-69,10066,90,21,7,-9999,-9999
65,2017,2,10,18,292,21,10039,360,10,7,-9999,-9999
66,2017,2,11,12,295,8,10055,90,21,7,-9999,-9999
67,2017,2,12,18,305,42,10022,180,10,7,-9999,-9999
68,2017,2,13,6,145,61,10112,0,0,7,-9999,-9999
69,2017,2,13,18,307,4,10029,360,10,2,-9999,-9999
70,2017,2,14,6,172,32,10097,0,0,0,-9999,-9999
71,2017,2,14,18,280,136,10058,90,21,7,-9999,-9999
72,2017,2,15,6,170,119,10120,0,0,7,-9999,-9999
73,2017,2,15,12,305,35,10072,90,51,7,-9999,-9999
74,2017,2,16,12,305,25,10069,40,21,5,-9999,-9999
75,2017,2,16,18,320,66,10029,320,10,3,-9999,-9999
76,2017,2,17,6,185,154,10107,0,0,7,-9999,-9999
77,2017,2,18,6,180,138,10121,0,0,7,-9999,-9999
78,2017,2,18,12,307,78,10090,90,41,3,-9999,-9999
79,2017,2,18,18,308,86,10050,190,10,7,-9999,-9999
80,2017,2,18,21,192,142,10128,0,0,7,-9999,-9999
81,2017,2,19,0,192,142,10128,0,0,7,-9999,-9999
82,2017,2,19,12,303,110,10095,360,21,5,-9999,-9999
83,2017,2,20,6,160,76,10117,0,0,7,-9999,-9999
84,2017,2,20,12,305,52,10083,90,41,0,-9999,-9999
85,2017,2,20,18,315,55,10034,90,21,0,-9999,-9999
86,2017,2,21,6,142,80,10119,0,0,7,-9999,-9999
87,2017,2,21,18,308,38,10038,0,0,0,-9999,-9999
88,2017,2,22,18,315,48,-9999,40,10,0,-9999,-9999
89,2017,2,23,6,155,64,10115,0,0,0,-9999,-9999
90,2017,2,24,6,190,63,10112,0,0,7,-9999,-9999
91,2017,2,25,6,178,49,10106,0,0,7,-9999,-9999
92,2017,2,25,12,300,27,10071,40,21,0,-9999,-9999
93,2017,2,25,18,313,46,10033,300,21,2,-9999,-9999
94,2017,2,26,6,180,72,10104,0,0,7,-9999,-9999
95,2017,2,27,6,175,123,10100,0,0,7,-9999,-9999
96,2017,2,28,6,182,92,10093,0,0,7,-9999,-9999
97,2017,2,28,18,-9999,10,10029,30,67,1,-9999,-9999
98,2017,3,1,18,325,-16,10028,40,10,0,-9999,-9999
99,2017,3,2,6,175,-9999,10106,0,0,0,-9999,-9999
100,2017,3,2,18,334,16,10029,90,10,0,-9999,-9999
101,2017,3,3,6,175,151,10121,0,0,7,-9999,-9999
102,2017,3,3,12,315,55,10064,40,21,0,-9999,-9999
103,2017,3,5,6,155,93,10097,0,0,0,-9999,-9999
