,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR
0,2017,1,1,1,-65,-102,10105,350,41,-9999,-9999,-9999
1,2017,1,1,2,-90,-120,10119,360,46,-9999,-9999,-9999
2,2017,1,1,3,-132,-154,10133,350,26,-9999,-9999,-9999
3,2017,1,1,4,-128,-141,10144,360,10,-9999,-9999,-9999
4,2017,1,1,5,-116,-134,10157,350,15,-9999,-9999,-9999
5,2017,1,1,6,-104,-123,10164,340,26,-9999,-9999,0
6,2017,1,1,7,-97,-115,10171,340,41,-9999,-9999,-9999
7,2017,1,1,8,-97,-115,10176,320,31,-9999,-9999,-9999
8,2017,1,1,9,-93,-121,10183,330,57,-9999,-9999,-9999
9,2017,1,1,10,-91,-117,10187,310,41,-9999,-9999,-9999
10,2017,1,1,11,-90,-120,10191,310,51,-9999,-9999,-9999
11,2017,1,1,12,-90,-121,10190,310,46,-9999,-9999,0
12,2017,1,1,13,-88,-121,10196,320,72,-9999,-9999,-9999
13,2017,1,1,14,-108,-132,10202,300,57,-9999,-9999,-9999
14,2017,1,1,15,-92,-124,10211,310,46,-9999,-9999,-9999
15,2017,1,1,16,-99,-131,10219,300,46,-9999,-9999,-9999
16,2017,1,1,17,-118,-157,10227,300,51,-9999,-9999,-9999
17,2017,1,1,18,-113,-160,10230,310,36,-9999,-9999,0
18,2017,1,1,19,-102,-153,10229,320,51,-9999,-9999,-9999
19,2017,1,1,20,-103,-158,10228,310,46,-9999,-9999,-9999
20,2017,1,1,21,-104,-155,10229,320,67,-9999,-9999,-9999
21,2017,1,1,22,-106,-136,10234,350,57,-9999,-9999,-9999
22,2017,1,1,23,-117,-135,10241,10,36,-9999,-9999,-9999
23,2017,1,2,0,-141,-173,10248,360,26,-9999,-9999,0
24,2017,1,2,1,-165,-194,10258,320,21,-9999,-9999,-9999
25,2017,1,2,2,-200,-218,10265,300,15,-9999,-9999,-9999
26,2017,1,2,3,-236,-261,10273,190,15,-9999,-9999,-9999
27,2017,1,2,4,-246,-270,10278,170,21,-9999,-9999,-9999
28,2017,1,2,5,-249,-276,10285,190,10,-9999,-9999,-9999
29,2017,1,2,6,-258,-282,10289,170,15,-9999,-9999,0
30,2017,1,2,7,-261,-288,10290,170,21,-9999,-9999,-9999
31,2017,1,2,8,-258,-286,10292,170,26,-9999,18,-9999
32,2017,1,2,9,-259,-287,10302,170,5,-9999,-9999,-9999
33,2017,1,2,10,-262,-292,10307,170,10,-9999,-9999,-9999
34,2017,1,2,11,-273,-304,10310,170,15,-9999,-9999,-9999
35,2017,1,2,12,-257,-285,10312,180,21,-9999,-9999,20
36,2017,1,2,13,-245,-283,10322,160,15,-9999,2,-9999
37,2017,1,2,14,-225,-250,10330,170,15,-9999,3,-9999
38,2017,1,2,15,-214,-238,10337,170,26,-9999,-9999,-9999
39,2017,1,2,16,-220,-235,10346,200,15,-9999,-9999,-9999
40,2017,1,2,17,-211,-231,10352,80,5,-9999,-9999,-9999
41,2017,1,2,18,-202,-225,10361,110,10,-9999,-9999,5
42,2017,1,2,19,-195,-218,10358,160,15,-9999,-9999,-9999
43,2017,1,2,20,-189,-212,10359,170,10,-9999,-9999,-9999
44,2017,1,2,21,-177,-217,10360,180,10,-9999,-9999,-9999
45,2017,1,2,22,-189,-231,10365,300,10,-9999,-9999,-9999
46,2017,1,2,23,-200,-238,10371,280,10,-9999,-9999,-9999
47,2017,1,3,0,-239,-265,10376,250,10,-9999,-9999,0
48,2017,1,3,1,-262,-286,10382,280,15,-9999,-9999,-9999
49,2017,1,3,2,-256,-280,10378,300,15,-9999,-9999,-9999
50,2017,1,3,3,-246,-271,10379,230,10,-9999,5,-9999
51,2017,1,3,4,-226,-250,10381,360,0,-9999,3,-9999
52,2017,1,3,5,-214,-238,10378,360,0,-9999,4,-9999
53,2017,1,3,6,-211,-234,10378,280,10,-9999,-9999,10
54,2017,1,3,7,-209,-234,10378,40,5,-9999,-9999,-9999
55,2017,1,3,8,-208,-231,10374,290,5,-9999,-9999,-9999
56,2017,1,3,9,-200,-219,10371,210,5,-9999,-9999,-9999
57,2017,1,3,10,-201,-221,10375,230,5,-9999,-9999,-9999
58,2017,1,3,11,-211,-232,10377,250,5,-9999,-9999,-9999
59,2017,1,3,12,-214,-236,10384,360,0,-9999,-9999,0
60,2017,1,3,13,-218,-242,10387,200,10,-9999,-9999,-9999
61,2017,1,3,14,-217,-240,10384,190,15,-9999,-9999,-9999
62,2017,1,3,15,-224,-248,10383,260,5,-9999,-9999,-9999
63,2017,1,3,16,-217,-240,10379,220,10,-9999,-9999,-9999
64,2017,1,3,17,-216,-241,10376,220,15,-9999,-9999,-9999
65,2017,1,3,18,-212,-237,10371,200,15,-9999,-9999,0
66,2017,1,3,19,-203,-230,10363,190,15,-9999,-9999,-9999
67,2017,1,3,20,-198,-224,10356,220,15,-9999,-9999,-9999
68,2017,1,3,21,-188,-217,10348,230,15,-9999,-9999,-9999
69,2017,1,3,22,-189,-215,10346,190,10,-9999,-9999,-9999
70,2017,1,3,23,-193,-223,10342,260,26,-9999,-9999,-9999
71,2017,1,4,0,-179,-201,10334,240,36,-9999,-9999,0
72,2017,1,4,1,-174,-197,10331,250,31,-9999,-9999,-9999
73,2017,1,4,2,-168,-192,10325,270,26,-9999,-9999,-9999
74,2017,1,4,3,-163,-192,10320,290,57,-9999,-9999,-9999
75,2017,1,4,4,-161,-175,10318,300,41,-9999,-9999,-9999
76,2017,1,4,5,-147,-169,10315,320,62,-9999,-9999,-9999
77,2017,1,4,6,-149,-173,10315,320,67,-9999,-9999,0
78,2017,1,4,7,-150,-174,10310,310,51,-9999,-9999,-9999
79,2017,1,4,8,-143,-161,10305,320,62,-9999,-9999,-9999
80,2017,1,4,9,-140,-161,10303,330,62,-9999,-9999,-9999
81,2017,1,4,10,-131,-148,10301,330,72,-9999,-9999,-9999
82,2017,1,4,11,-126,-144,10296,330,82,-9999,-9999,-9999
83,2017,1,4,12,-122,-142,10292,330,67,-9999,-9999,0
84,2017,1,4,13,-122,-142,10291,340,67,-9999,-9999,-9999
85,2017,1,4,14,-119,-141,10291,340,67,-9999,-9999,-9999
86,2017,1,4,15,-117,-138,10290,330,57,-9999,-9999,-9999
87,2017,1,4,16,-114,-137,10289,350,57,-9999,-9999,-9999
88,2017,1,4,17,-110,-135,10291,350,57,-9999,-9999,-9999
