,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR,SATELLITE-INFO
0,1,1,1,,90.0,70.0,-9999.0,,,-9999.0,-9999.0,-9999.0,722953-03183-2017
1,1,1,2,,50.0,30.0,-9999.0,300.0,51.0,,35.0,-9999.0,722953-03183-2017
2,1,1,3,,40.0,20.0,-9999.0,270.0,57.0,,20.0,-9999.0,722953-03183-2017
3,1,1,5,,40.0,10.0,-9999.0,320.0,31.0,,,,722953-03183-2017
4,1,1,6,,50.0,20.0,-9999.0,100.0,26.0,,,,722953-03183-2017
5,1,1,10,,30.0,20.0,-9999.0,310.0,15.0,,,,722953-03183-2017
6,1,1,20,,,-9999.0,,,,-9999.0,-9999.0,,722953-03183-2017
7,1,1,21,,,-9999.0,,,,-9999.0,-9999.0,,722953-03183-2017
8,1,1,22,,,-9999.0,,,,-9999.0,-9999.0,,722953-03183-2017
9,1,1,23,,,-9999.0,,,,-9999.0,-9999.0,,722953-03183-2017
10,1,2,0,,90.0,10.0,-9999.0,270.0,,0.0,-9999.0,-9999.0,722953-03183-2017
11,1,2,1,,70.0,10.0,-9999.0,280.0,,0.0,-9999.0,-9999.0,722953-03183-2017
12,1,2,11,,50.0,-9999.0,,,,0.0,-9999.0,-9999.0,722953-03183-2017
13,1,2,12,,40.0,-9999.0,,,,0.0,-9999.0,-9999.0,722953-03183-2017
14,1,2,13,,50.0,-9999.0,,,,0.0,-9999.0,-9999.0,722953-03183-2017
15,1,2,14,,40.0,-9999.0,,,,0.0,-9999.0,-9999.0,722953-03183-2017
16,1,2,15,,40.0,-9999.0,,,,2.0,-9999.0,-9999.0,722953-03183-2017
17,1,2,16,,50.0,-9999.0,,,,0.0,-9999.0,-9999.0,722953-03183-2017
18,1,2,17,,50.0,-9999.0,,,,0.0,-9999.0,-9999.0,722953-03183-2017
19,1,2,18,,60.0,-9999.0,,,,0.0,-9999.0,-9999.0,722953-03183-2017
20,1,2,21,,90.0,,0.0,,,-9999.0,,,722953-03183-2017
21,1,2,22,,,-9999.0,,,,0.0,-9999.0,-9999.0,722953-03183-2017
22,1,3,21,,,-9999.0,,,,0.0,-9999.0,-9999.0,722953-03183-2017
23,1,3,22,,,-9999.0,,,-9999.0,,,,722953-03183-2017
24,1,3,23,,,-9999.0,,,,2.0,-9999.0,-9999.0,722953-03183-2017
25,1,4,0,,,-9999.0,,,,4.0,-9999.0,-9999.0,722953-03183-2017
26,1,4,5,,70.0,40.0,-9999.0,200.0,57.0,,,,722953-03183-2017
27,1,4,18,,,-9999.0,,,,4.0,-9999.0,-9999.0,722953-03183-2017
28,1,4,19,,,-9999.0,,,-9999.0,,,,722953-03183-2017
29,1,4,20,,,-9999.0,,,-9999.0,,,,722953-03183-2017
30,1,4,21,,,-9999.0,,,-9999.0,,3.0,-9999.0,722953-03183-2017
31,1,4,22,,,-9999.0,,,-9999.0,,3.0,-9999.0,722953-03183-2017
32,1,4,23,,,-9999.0,,,-9999.0,,,,722953-03183-2017
33,1,5,0,,,-9999.0,,,-9999.0,,,,722953-03183-2017
34,1,5,1,,,-9999.0,,,-9999.0,,,,722953-03183-2017
35,1,5,2,,,-9999.0,,,,0.0,-9999.0,-9999.0,722953-03183-2017
36,1,5,3,,,-9999.0,,,-9999.0,,,,722953-03183-2017
37,1,5,4,,,-9999.0,,,-9999.0,,,,722953-03183-2017
38,1,5,5,,,-9999.0,,,-9999.0,,,,722953-03183-2017
39,1,5,6,,,-9999.0,,,-9999.0,,,,722953-03183-2017
40,1,5,7,,,-9999.0,,,,2.0,-9999.0,-9999.0,722953-03183-2017
41,1,5,8,,,-9999.0,,,,2.0,-9999.0,-9999.0,722953-03183-2017
42,1,5,9,,,-9999.0,,,-9999.0,,,,722953-03183-2017
43,1,5,10,,,-9999.0,,,-9999.0,,,,722953-03183-2017
44,1,5,11,,,-9999.0,,,-9999.0,,,,722953-03183-2017
45,1,5,12,,,-9999.0,,,-9999.0,,,,722953-03183-2017
46,1,5,13,,,-9999.0,,,-9999.0,,5.0,-9999.0,722953-03183-2017
47,1,5,14,,,-9999.0,,,-9999.0,,,,722953-03183-2017
48,1,5,15,,,-9999.0,,,-9999.0,,3.0,-9999.0,722953-03183-2017
49,1,5,16,,,-9999.0,,,-9999.0,,,,722953-03183-2017
50,1,5,17,,,-9999.0,,,-9999.0,,,,722953-03183-2017
51,1,5,18,,,-9999.0,,,-9999.0,,,,722953-03183-2017
52,1,5,19,,,-9999.0,,,-9999.0,,3.0,-9999.0,722953-03183-2017
53,1,5,20,,,-9999.0,,,-9999.0,,,,722953-03183-2017
54,1,5,21,,,-9999.0,,,,4.0,-9999.0,-9999.0,722953-03183-2017
55,1,5,22,,,-9999.0,,,-9999.0,,,,722953-03183-2017
56,1,5,23,,,-9999.0,,,-9999.0,,,,722953-03183-2017
57,1,6,0,,,-9999.0,,,-9999.0,,,,722953-03183-2017
58,1,6,1,,,-9999.0,,,,2.0,-9999.0,-9999.0,722953-03183-2017
59,1,6,2,,,-9999.0,,,-9999.0,,,,722953-03183-2017
60,1,6,5,,80.0,30.0,-9999.0,230.0,,0.0,-9999.0,-9999.0,722953-03183-2017
61,1,6,6,,80.0,30.0,-9999.0,,,-9999.0,-9999.0,,722953-03183-2017
62,1,6,7,,70.0,20.0,-9999.0,200.0,62.0,,,,722953-03183-2017
63,1,6,8,,60.0,20.0,-9999.0,240.0,,2.0,-9999.0,-9999.0,722953-03183-2017
64,1,6,14,,10.0,-9999.0,,,,0.0,-9999.0,-9999.0,722953-03183-2017
65,1,6,20,,60.0,-9999.0,-9999.0,,,-9999.0,,,722953-03183-2017
66,1,6,22,,70.0,-9999.0,-9999.0,,,-9999.0,,,722953-03183-2017
67,1,7,2,,50.0,-9999.0,,,,0.0,-9999.0,-9999.0,722953-03183-2017
68,1,7,3,,30.0,-9999.0,,,,0.0,-9999.0,-9999.0,722953-03183-2017
69,1,7,9,,40.0,-9999.0,,,,0.0,-9999.0,-9999.0,722953-03183-2017
70,1,7,16,,10.0,,0.0,,,-9999.0,-9999.0,,722953-03183-2017
71,1,7,18,,20.0,10.0,-9999.0,,,-9999.0,,,722953-03183-2017
72,1,7,19,,20.0,10.0,-9999.0,,,-9999.0,,,722953-03183-2017
73,1,7,23,,30.0,20.0,-9999.0,,,-9999.0,,,722953-03183-2017
74,1,8,0,,30.0,20.0,-9999.0,,,-9999.0,,,722953-03183-2017
75,1,8,2,,30.0,30.0,-9999.0,,,-9999.0,,,722953-03183-2017
76,1,8,4,,40.0,30.0,-9999.0,,,-9999.0,-9999.0,-9999.0,722953-03183-2017
77,1,8,6,,40.0,30.0,-9999.0,,,-9999.0,-9999.0,-9999.0,722953-03183-2017
78,1,8,7,,40.0,40.0,-9999.0,,,-9999.0,-9999.0,-9999.0,722953-03183-2017
79,1,8,8,,40.0,40.0,-9999.0,,,-9999.0,-9999.0,-9999.0,722953-03183-2017
80,1,8,9,,40.0,40.0,-9999.0,,,-9999.0,,,722953-03183-2017
81,1,9,5,,,-9999.0,,,,0.0,-9999.0,-9999.0,722953-03183-2017
82,1,9,6,,,-9999.0,,,,0.0,-9999.0,-9999.0,722953-03183-2017
83,1,9,9,,,-9999.0,,,-9999.0,,,,722953-03183-2017
84,1,9,12,,80.0,80.0,-9999.0,220.0,36.0,,15.0,-9999.0,722953-03183-2017
85,1,9,15,,,-9999.0,,,,4.0,-9999.0,-9999.0,722953-03183-2017
86,1,9,16,,,-9999.0,,,,4.0,-9999.0,-9999.0,722953-03183-2017
87,1,9,17,,,,,,,-9999.0,-9999.0,,722953-03183-2017
88,1,9,18,,,,,,,-9999.0,-9999.0,,722953-03183-2017
89,1,9,19,,,-9999.0,,,,0.0,-9999.0,-9999.0,722953-03183-2017
90,1,9,20,,,-9999.0,,,-9999.0,,,,722953-03183-2017
91,1,9,21,,,-9999.0,,,,0.0,-9999.0,-9999.0,722953-03183-2017
92,1,9,22,,,-9999.0,,,,0.0,-9999.0,-9999.0,722953-03183-2017
93,1,9,23,,,-9999.0,,,,-9999.0,-9999.0,,722953-03183-2017
94,1,10,0,,,-9999.0,,,,-9999.0,-9999.0,,722953-03183-2017
95,1,10,1,,,-9999.0,,,,-9999.0,-9999.0,,722953-03183-2017
96,1,10,10,,90.0,30.0,-9999.0,,,-9999.0,-9999.0,,722953-03183-2017
97,1,10,12,,90.0,30.0,-9999.0,,,-9999.0,-9999.0,,722953-03183-2017
98,1,10,13,,90.0,30.0,-9999.0,190.0,77.0,,,,722953-03183-2017
99,1,10,15,,90.0,30.0,-9999.0,210.0,62.0,,,,722953-03183-2017
100,1,10,16,,,-9999.0,,,-9999.0,,,,722953-03183-2017
101,1,10,17,,,-9999.0,,,-9999.0,,,,722953-03183-2017
102,1,10,18,,,-9999.0,,,,2.0,-9999.0,-9999.0,722953-03183-2017
103,1,10,19,,,-9999.0,,,,-9999.0,-9999.0,,722953-03183-2017
104,1,10,20,,,-9999.0,,,,-9999.0,-9999.0,,722953-03183-2017
105,1,10,21,,,-9999.0,,,,-9999.0,-9999.0,,722953-03183-2017
106,1,10,22,,,-9999.0,,,,-9999.0,-9999.0,,722953-03183-2017
107,1,10,23,,,-9999.0,,,,-9999.0,-9999.0,,722953-03183-2017
108,1,11,0,,,-9999.0,,,,-9999.0,-9999.0,,722953-03183-2017
109,1,11,1,,,-9999.0,,,,0.0,-9999.0,-9999.0,722953-03183-2017
110,1,11,2,,,-9999.0,,,,0.0,-9999.0,-9999.0,722953-03183-2017
111,1,11,3,,,-9999.0,,,,2.0,-9999.0,-9999.0,722953-03183-2017
112,1,11,4,,,-9999.0,,,,4.0,-9999.0,-9999.0,722953-03183-2017
113,1,11,6,,,-9999.0,,,,0.0,-9999.0,-9999.0,722953-03183-2017
114,1,11,7,,,-9999.0,,,,4.0,-9999.0,-9999.0,722953-03183-2017
115,1,11,8,,90.0,60.0,-9999.0,220.0,51.0,,,,722953-03183-2017
116,1,11,9,,90.0,70.0,-9999.0,210.0,88.0,,,,722953-03183-2017
117,1,11,10,,,-9999.0,,,-9999.0,,,,722953-03183-2017
118,1,11,11,,,-9999.0,,,-9999.0,,,,722953-03183-2017
119,1,11,12,,,-9999.0,,,-9999.0,,,,722953-03183-2017
120,1,11,13,,,-9999.0,,,-9999.0,,,,722953-03183-2017
121,1,11,14,,,-9999.0,,,-9999.0,,,,722953-03183-2017
122,1,11,16,,,-9999.0,,,-9999.0,,5.0,-9999.0,722953-03183-2017
123,1,11,17,,,-9999.0,,,-9999.0,,,,722953-03183-2017
124,1,11,18,,,-9999.0,,,,0.0,-9999.0,-9999.0,722953-03183-2017
125,1,11,19,,,-9999.0,,,,-9999.0,-9999.0,,722953-03183-2017
126,1,11,20,,,-9999.0,,,,0.0,-9999.0,-9999.0,722953-03183-2017
127,1,11,22,,,-9999.0,,,-9999.0,,,,722953-03183-2017
128,1,11,23,,,-9999.0,,,-9999.0,,,,722953-03183-2017
129,1,12,1,,,-9999.0,,,-9999.0,,,,722953-03183-2017
130,1,12,9,,80.0,60.0,-9999.0,200.0,31.0,,,,722953-03183-2017
131,1,12,10,,80.0,70.0,-9999.0,200.0,46.0,,,,722953-03183-2017
132,1,12,13,,80.0,50.0,-9999.0,200.0,67.0,,,,722953-03183-2017
133,1,12,14,,80.0,50.0,-9999.0,200.0,46.0,,,,722953-03183-2017
134,1,12,15,,80.0,50.0,-9999.0,200.0,36.0,,,,722953-03183-2017
135,1,12,16,,80.0,40.0,-9999.0,210.0,31.0,,,,722953-03183-2017
136,1,12,17,,90.0,40.0,-9999.0,200.0,51.0,,,,722953-03183-2017
137,1,12,18,,,-9999.0,,,,2.0,-9999.0,-9999.0,722953-03183-2017
138,1,12,19,,,-9999.0,,,,4.0,-9999.0,-9999.0,722953-03183-2017
