,,,,,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR,SATELLITE-INFO
2017,1,1,2,,,6.0,,-61.0,10117.0,,,46.0,,2.0,,0.0,726355-94871-2017
2017,1,1,3,,,6.0,,-61.0,10125.0,,,41.0,,,0.0,,726355-94871-2017
2017,1,1,4,,,0.0,,-67.0,10132.0,,,26.0,,4.0,,0.0,726355-94871-2017
2017,1,1,5,,,6.0,,-61.0,10146.0,,,36.0,,,0.0,,726355-94871-2017
2017,1,1,6,,11.0,,-56.0,10150.0,,280.0,31.0,-9999.0,,0.0,-9999.0,,726355-94871-2017
2017,1,1,7,,-6.0,,-56.0,10155.0,,250.0,26.0,-9999.0,,0.0,-9999.0,,726355-94871-2017
2017,1,1,8,,,,10164.0,,,,-9999.0,,0.0,-9999.0,,,726355-94871-2017
2017,1,1,9,,,,10173.0,,,,,,,,,,726355-94871-2017
2017,1,1,10,,,,10172.0,,,,,,,,,,726355-94871-2017
2017,1,1,11,,,,10183.0,,,,,,,,,,726355-94871-2017
2017,1,1,12,,,,10189.0,,,,,,,,,,726355-94871-2017
2017,1,1,13,,,,10199.0,,,,,,,,,,726355-94871-2017
2017,1,1,14,,,,10205.0,,,,,,,,,,726355-94871-2017
2017,1,1,15,,,,10212.0,,,,,,,,,,726355-94871-2017
2017,1,1,16,,28.0,-9999.0,-9999.0,-9999.0,,,,,,,,,726355-94871-2017
2017,1,1,17,,17.0,,-50.0,10210.0,,230.0,21.0,,0.0,,,-9999.0,726355-94871-2017
2017,1,1,18,,28.0,,-67.0,10207.0,,210.0,26.0,,0.0,,,-9999.0,726355-94871-2017
2017,1,1,19,,44.0,,-67.0,10208.0,,200.0,36.0,,0.0,,,-9999.0,726355-94871-2017
2017,1,1,20,,44.0,,-56.0,10208.0,,200.0,36.0,,0.0,,,-9999.0,726355-94871-2017
2017,1,1,21,,39.0,,-56.0,10213.0,,200.0,46.0,,0.0,,,-9999.0,726355-94871-2017
2017,1,1,22,,28.0,,-61.0,10217.0,,190.0,21.0,,0.0,,,-9999.0,726355-94871-2017
2017,1,2,0,,-6.0,,-61.0,10225.0,,160.0,15.0,,0.0,,,-9999.0,726355-94871-2017
2017,1,2,3,,,,10225.0,,,80.0,15.0,,0.0,,,-9999.0,726355-94871-2017
2017,1,2,4,,,,10225.0,,,,,,,,,,726355-94871-2017
2017,1,2,5,,,,10222.0,,,90.0,21.0,,0.0,,,-9999.0,726355-94871-2017
2017,1,2,6,,,,10217.0,,,90.0,26.0,,0.0,,,-9999.0,726355-94871-2017
2017,1,2,7,,,,10215.0,,,80.0,21.0,,0.0,,,-9999.0,726355-94871-2017
2017,1,2,8,,,,10221.0,,,90.0,21.0,,0.0,,,-9999.0,726355-94871-2017
2017,1,2,9,,,,10223.0,,,80.0,21.0,,0.0,,,-9999.0,726355-94871-2017
2017,1,2,10,,,,10221.0,,,70.0,21.0,,0.0,,,-9999.0,726355-94871-2017
2017,1,2,11,,,,10215.0,,,80.0,31.0,,0.0,,,-9999.0,726355-94871-2017
2017,1,2,12,,,,10216.0,,,90.0,31.0,,0.0,,,-9999.0,726355-94871-2017
2017,1,2,13,,-6.0,,-44.0,10216.0,,,,36.0,,,0.0,,726355-94871-2017
2017,1,2,14,,-6.0,,-44.0,10215.0,,,,36.0,,4.0,,0.0,726355-94871-2017
2017,1,2,15,,11.0,,-28.0,10216.0,,,,41.0,,,0.0,,726355-94871-2017
2017,1,2,16,,44.0,-9999.0,-9999.0,-9999.0,-9999.0,,-9999.0,,,,,,726355-94871-2017
2017,1,2,17,,50.0,,-17.0,10203.0,,110.0,62.0,-9999.0,,0.0,-9999.0,,726355-94871-2017
2017,1,2,18,,56.0,,,-6.0,10190.0,,,57.0,,,0.0,,726355-94871-2017
2017,1,2,19,,56.0,,,-6.0,10172.0,,,62.0,,0.0,,0.0,726355-94871-2017
2017,1,2,20,,61.0,,,-6.0,10171.0,,,41.0,,,0.0,,726355-94871-2017
2017,1,2,21,,44.0,,,,6.0,,,,,,,,726355-94871-2017
2017,1,2,22,,39.0,,,17.0,10175.0,,,,-9999.0,,,,726355-94871-2017
2017,1,2,23,,39.0,,,17.0,10167.0,,,,,,53.0,,726355-94871-2017
2017,1,3,0,,33.0,,,17.0,10153.0,,,,,,43.0,,726355-94871-2017
2017,1,3,1,,39.0,,,22.0,-9999.0,,,,,,,,726355-94871-2017
2017,1,3,2,,39.0,,,22.0,10139.0,,,,,,,,726355-94871-2017
2017,1,3,3,,39.0,,,22.0,10135.0,,,41.0,,-1.0,-9999.0,,726355-94871-2017
2017,1,3,4,,39.0,,,28.0,10129.0,,,21.0,,,0.0,,726355-94871-2017
2017,1,3,5,,44.0,,,28.0,10128.0,,,,-9999.0,,,-9999.0,726355-94871-2017
2017,1,3,6,,39.0,,,28.0,10117.0,,,,,,,,726355-94871-2017
2017,1,3,7,,39.0,,,28.0,10115.0,,,,,,-1.0,,726355-94871-2017
2017,1,3,8,,39.0,,,28.0,10107.0,,,,,,,,726355-94871-2017
2017,1,3,9,,39.0,,,28.0,10101.0,,,,,,,,726355-94871-2017
2017,1,3,10,,39.0,,,28.0,10092.0,,,,,,,,726355-94871-2017
2017,1,3,11,,39.0,,,28.0,10087.0,,,,-9999.0,,,-9999.0,726355-94871-2017
2017,1,3,16,,39.0,-9999.0,-9999.0,-9999.0,,,,,,,,,726355-94871-2017
2017,1,3,17,,44.0,,,39.0,10078.0,,,21.0,,-1.0,-9999.0,,726355-94871-2017
2017,1,3,18,,39.0,,,28.0,-9999.0,,,31.0,,,0.0,-1.0,726355-94871-2017
2017,1,3,19,,44.0,,,33.0,10069.0,,-9999.0,,3.0,-9999.0,,,726355-94871-2017
2017,1,3,20,,44.0,,,28.0,10068.0,,,31.0,,,0.0,,726355-94871-2017
2017,1,3,21,,44.0,,,28.0,-9999.0,,-9999.0,,-9999.0,,,,726355-94871-2017
2017,1,3,22,,39.0,,,28.0,10074.0,,-9999.0,,3.0,-9999.0,,,726355-94871-2017
2017,1,3,23,,39.0,,,22.0,10070.0,,-9999.0,,3.0,-9999.0,,,726355-94871-2017
2017,1,4,0,,39.0,,,11.0,10081.0,,,51.0,,,0.0,,726355-94871-2017
2017,1,4,1,,28.0,,,11.0,10090.0,,,72.0,,-1.0,-9999.0,,726355-94871-2017
2017,1,4,2,,28.0,,,,6.0,,,,,,-1.0,,726355-94871-2017
2017,1,4,3,,22.0,,,,0.0,,,,,,,,726355-94871-2017
2017,1,4,4,,11.0,,-11.0,-9999.0,,290.0,62.0,-9999.0,-1.0,-9999.0,,,726355-94871-2017
2017,1,4,5,,11.0,,-28.0,10095.0,,290.0,67.0,-9999.0,-1.0,-9999.0,,,726355-94871-2017
2017,1,4,6,,-6.0,,-50.0,10102.0,,280.0,88.0,-9999.0,,0.0,,,726355-94871-2017
2017,1,4,7,,,,10110.0,,,,-9999.0,,0.0,-9999.0,,,726355-94871-2017
2017,1,4,8,,,,10122.0,,,,-9999.0,,0.0,-9999.0,,,726355-94871-2017
2017,1,4,9,,,,10130.0,,,,-9999.0,,0.0,-9999.0,,,726355-94871-2017
2017,1,4,10,,,-106.0,,,290.0,,,,-9999.0,,,,726355-94871-2017
2017,1,4,11,,,-111.0,,,290.0,,,,,,,,726355-94871-2017
2017,1,4,12,,,-111.0,,,290.0,,,,,-1.0,,,726355-94871-2017
2017,1,4,13,,,-122.0,,,290.0,,,,,,,,726355-94871-2017
2017,1,4,14,,,-122.0,,,300.0,,,,,,,,726355-94871-2017
2017,1,4,15,,,-117.0,,,280.0,,,,,,,,726355-94871-2017
2017,1,4,16,,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,,,,726355-94871-2017
2017,1,4,17,,,-122.0,,,280.0,,,,,,,,726355-94871-2017
2017,1,4,18,,,-122.0,,,280.0,,,,,,-1.0,,726355-94871-2017
2017,1,4,19,,,-122.0,,,270.0,,,,,,,,726355-94871-2017
2017,1,4,20,,,-122.0,,,270.0,,,,-9999.0,,,,726355-94871-2017
2017,1,4,21,,,-128.0,,,260.0,,,,,,,,726355-94871-2017
2017,1,4,22,,,-128.0,,,290.0,,,,-9999.0,,,,726355-94871-2017
2017,1,4,23,,,-133.0,,,280.0,,,,,,,,726355-94871-2017
2017,1,5,0,,,-128.0,,,280.0,,,,,,,,726355-94871-2017
2017,1,5,1,,,-128.0,,,280.0,,,,-9999.0,,,,726355-94871-2017
2017,1,5,2,,,-133.0,,,290.0,,,,-9999.0,,,,726355-94871-2017
2017,1,5,3,,,-122.0,,,290.0,,,,-9999.0,,,,726355-94871-2017
2017,1,5,4,,,-122.0,,,290.0,,,,-9999.0,,,,726355-94871-2017
2017,1,5,5,,,-122.0,,,280.0,,,,,,,,726355-94871-2017
2017,1,5,6,,,-122.0,,,270.0,,,,,,-1.0,,726355-94871-2017
2017,1,5,7,,,-122.0,,,290.0,,,,,,,,726355-94871-2017
2017,1,5,8,,,-133.0,,,290.0,,,,,,,,726355-94871-2017
2017,1,5,9,,,-133.0,,,280.0,,,,,,,,726355-94871-2017
