,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR,SATELLITE-INFO
56,1,8,3,,45.0,-64.0,10136.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
57,1,8,6,,96.0,-38.0,10140.0,,10.0,3.0,-9999.0,-9999.0,377350-99999-2017
58,1,8,9,,,10117.0,,,,-9999.0,-9999.0,,377350-99999-2017
59,1,8,12,,,10102.0,,,,-9999.0,,,377350-99999-2017
60,1,8,15,,95.0,-14.0,10118.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
61,1,8,18,,59.0,-82.0,10136.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
62,1,8,21,,47.0,-53.0,10138.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
63,1,9,0,,81.0,-47.0,10143.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
64,1,9,3,,37.0,-55.0,10132.0,,,-9999.0,-9999.0,,377350-99999-2017
65,1,9,6,,81.0,-47.0,10143.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
66,1,9,9,,94.0,-50.0,10125.0,,,-9999.0,-9999.0,,377350-99999-2017
67,1,9,12,,,10106.0,,,,-9999.0,-9999.0,,377350-99999-2017
68,1,9,15,,94.0,-50.0,10125.0,,,-9999.0,-9999.0,,377350-99999-2017
69,1,9,18,,84.0,-98.0,10141.0,,10.0,3.0,-9999.0,-9999.0,377350-99999-2017
70,1,9,21,,51.0,-59.0,10154.0,,10.0,3.0,-9999.0,-9999.0,377350-99999-2017
71,1,10,0,,53.0,-64.0,10165.0,,,-9999.0,-9999.0,,377350-99999-2017
72,1,10,3,,22.0,-46.0,10181.0,,,-9999.0,-9999.0,,377350-99999-2017
73,1,10,6,,38.0,-46.0,10210.0,,,-9999.0,-9999.0,,377350-99999-2017
74,1,10,9,,56.0,-11.0,10221.0,,,,6.0,-9999.0,377350-99999-2017
75,1,10,12,,81.0,,,9.0,0.0,,6.0,-9999.0,377350-99999-2017
76,1,10,15,,43.0,,-2.0,10239.0,,,5.0,-9999.0,377350-99999-2017
77,1,10,18,,14.0,,,0.0,,-9999.0,,,377350-99999-2017
78,1,10,21,,17.0,,,3.0,,-9999.0,,,377350-99999-2017
79,1,11,0,,19.0,,,0.0,0.0,,8.0,-9999.0,377350-99999-2017
80,1,11,3,,17.0,,-5.0,10300.0,,,8.0,-9999.0,377350-99999-2017
81,1,11,6,,30.0,,-5.0,10311.0,-9999.0,8.0,-9999.0,-9999.0,377350-99999-2017
82,1,11,9,,38.0,,,1.0,0.0,,8.0,-9999.0,377350-99999-2017
83,1,11,12,,46.0,-11.0,10283.0,,10.0,6.0,-9999.0,-9999.0,377350-99999-2017
84,1,11,15,,42.0,-23.0,10282.0,,10.0,8.0,-9999.0,-9999.0,377350-99999-2017
85,1,11,18,,27.0,-18.0,10281.0,,10.0,8.0,-9999.0,-9999.0,377350-99999-2017
86,1,11,21,,12.0,-26.0,10280.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
87,1,12,0,,,10278.0,,,,-9999.0,,,377350-99999-2017
88,1,12,3,,,10270.0,,,,-9999.0,,,377350-99999-2017
89,1,12,6,,17.0,-45.0,10281.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
90,1,12,9,,51.0,-18.0,10228.0,,30.0,0.0,-9999.0,-9999.0,377350-99999-2017
91,1,12,12,,65.0,-29.0,10253.0,,10.0,6.0,-9999.0,-9999.0,377350-99999-2017
92,1,12,15,,30.0,-28.0,10238.0,,,-9999.0,-9999.0,,377350-99999-2017
93,1,12,18,,-4.0,-25.0,10233.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
94,1,12,21,,-3.0,-27.0,10220.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
95,1,13,0,,-9.0,-34.0,10205.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
96,1,13,3,,-7.0,-38.0,10179.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
97,1,13,6,,-3.0,-41.0,10170.0,,10.0,7.0,-9999.0,-9999.0,377350-99999-2017
98,1,13,9,,52.0,-38.0,10159.0,,10.0,6.0,-9999.0,-9999.0,377350-99999-2017
99,1,13,12,,81.0,-47.0,10132.0,,10.0,7.0,-9999.0,-9999.0,377350-99999-2017
100,1,13,15,,40.0,-25.0,10141.0,,20.0,5.0,-9999.0,-9999.0,377350-99999-2017
101,1,13,18,,12.0,-26.0,10181.0,,10.0,6.0,-9999.0,-9999.0,377350-99999-2017
102,1,13,21,,47.0,-49.0,10197.0,,10.0,6.0,-9999.0,-9999.0,377350-99999-2017
103,1,14,0,,13.0,-50.0,10213.0,,10.0,2.0,-9999.0,-9999.0,377350-99999-2017
104,1,14,3,,,,-48.0,10228.0,,,2.0,-9999.0,377350-99999-2017
105,1,14,6,,28.0,-57.0,10248.0,,,-9999.0,-9999.0,,377350-99999-2017
106,1,14,9,,61.0,-51.0,10239.0,,,-9999.0,-9999.0,,377350-99999-2017
107,1,14,12,,82.0,-98.0,10231.0,,,-9999.0,-9999.0,,377350-99999-2017
108,1,14,15,,36.0,-30.0,10239.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
109,1,14,18,,-4.0,-35.0,10242.0,,,-9999.0,-9999.0,,377350-99999-2017
110,1,14,21,,-3.0,-30.0,10242.0,,,-9999.0,-9999.0,,377350-99999-2017
111,1,15,0,,,10240.0,,,,-9999.0,-9999.0,,377350-99999-2017
112,1,15,3,,,10235.0,,,,-9999.0,,,377350-99999-2017
113,1,15,6,,-4.0,-42.0,10236.0,,,-9999.0,-9999.0,,377350-99999-2017
114,1,15,9,,50.0,-37.0,10221.0,,10.0,5.0,-9999.0,-9999.0,377350-99999-2017
115,1,15,12,,59.0,-31.0,10202.0,,10.0,4.0,-9999.0,-9999.0,377350-99999-2017
116,1,15,15,,15.0,-26.0,10205.0,,,-9999.0,-9999.0,,377350-99999-2017
117,1,15,18,,10.0,-36.0,10219.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
118,1,15,21,,,,-36.0,10222.0,,,6.0,-9999.0,377350-99999-2017
119,1,16,0,,12.0,-30.0,10227.0,,,-9999.0,-9999.0,,377350-99999-2017
120,1,16,3,,,,-38.0,10228.0,-9999.0,0.0,-9999.0,-9999.0,377350-99999-2017
121,1,16,6,,16.0,-42.0,10237.0,,10.0,2.0,-9999.0,-9999.0,377350-99999-2017
122,1,16,9,,56.0,-35.0,10236.0,,,-9999.0,-9999.0,,377350-99999-2017
123,1,16,12,,81.0,-25.0,10222.0,,,,6.0,-9999.0,377350-99999-2017
124,1,16,15,,35.0,-32.0,10226.0,,,-9999.0,-9999.0,,377350-99999-2017
125,1,16,18,,25.0,-34.0,10246.0,,10.0,2.0,-9999.0,-9999.0,377350-99999-2017
126,1,16,21,,-9.0,-34.0,10257.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
127,1,17,0,,,10273.0,,,,-9999.0,-9999.0,,377350-99999-2017
128,1,17,3,,,10283.0,,,,-9999.0,-9999.0,,377350-99999-2017
129,1,17,6,,11.0,-21.0,10286.0,,10.0,7.0,-9999.0,-9999.0,377350-99999-2017
130,1,17,9,,49.0,,-4.0,10281.0,,,1.0,-9999.0,377350-99999-2017
131,1,17,12,,73.0,-22.0,10253.0,,,-9999.0,-9999.0,,377350-99999-2017
132,1,17,15,,25.0,-31.0,10247.0,,,-9999.0,-9999.0,,377350-99999-2017
133,1,17,18,,12.0,-26.0,10260.0,,,-9999.0,-9999.0,,377350-99999-2017
134,1,17,21,,,10268.0,,,,-9999.0,-9999.0,,377350-99999-2017
135,1,18,0,,,10275.0,,,,-9999.0,,,377350-99999-2017
136,1,18,3,,,10285.0,,,-9999.0,,,,377350-99999-2017
137,1,18,6,,-7.0,-22.0,10287.0,,,-9999.0,-9999.0,,377350-99999-2017
138,1,18,12,,30.0,,,1.0,0.0,,8.0,-9999.0,377350-99999-2017
139,1,18,15,,25.0,,-2.0,10275.0,,,8.0,-9999.0,377350-99999-2017
140,1,18,18,,22.0,,-6.0,10281.0,,,8.0,-9999.0,377350-99999-2017
141,1,18,21,,23.0,,-7.0,10280.0,-9999.0,8.0,-9999.0,-9999.0,377350-99999-2017
142,1,19,0,,23.0,,-7.0,10280.0,,,8.0,-9999.0,377350-99999-2017
143,1,19,3,,22.0,-12.0,10276.0,,10.0,8.0,-9999.0,-9999.0,377350-99999-2017
144,1,19,6,,25.0,-14.0,10278.0,,10.0,8.0,-9999.0,-9999.0,377350-99999-2017
145,1,19,9,,43.0,-25.0,10281.0,,10.0,8.0,-9999.0,-9999.0,377350-99999-2017
146,1,19,12,,35.0,,-9.0,10270.0,,,8.0,-9999.0,377350-99999-2017
147,1,19,15,,25.0,,-2.0,10278.0,,,8.0,-9999.0,377350-99999-2017
148,1,19,18,,21.0,,-1.0,10290.0,-9999.0,8.0,-9999.0,-9999.0,377350-99999-2017
149,1,19,21,,17.0,,,1.0,0.0,,8.0,-9999.0,377350-99999-2017
150,1,20,0,,17.0,,,1.0,0.0,,8.0,-9999.0,377350-99999-2017
151,1,20,3,,20.0,,,1.0,0.0,,8.0,-9999.0,377350-99999-2017
152,1,20,6,,20.0,,,1.0,0.0,,8.0,-9999.0,377350-99999-2017
153,1,20,9,,32.0,,,8.0,0.0,,8.0,-9999.0,377350-99999-2017
154,1,20,12,,27.0,,11.0,10281.0,,,8.0,-9999.0,377350-99999-2017
155,1,20,15,,26.0,,10.0,10272.0,-9999.0,8.0,-9999.0,-9999.0,377350-99999-2017
156,1,20,18,,25.0,,,9.0,0.0,,8.0,-9999.0,377350-99999-2017
157,1,21,0,,12.0,,-5.0,10264.0,,,8.0,-9999.0,377350-99999-2017
158,1,21,3,,16.0,,-3.0,10255.0,,,1.0,-9999.0,377350-99999-2017
159,1,21,6,,26.0,,-7.0,10256.0,,,3.0,-9999.0,377350-99999-2017
160,1,21,9,,64.0,,-4.0,10253.0,,,2.0,-9999.0,377350-99999-2017
161,1,21,12,,84.0,-60.0,10230.0,,20.0,3.0,-9999.0,-9999.0,377350-99999-2017
162,1,21,15,,56.0,-39.0,10231.0,,10.0,6.0,-9999.0,-9999.0,377350-99999-2017
163,1,21,18,,42.0,-74.0,10241.0,,40.0,7.0,-9999.0,-9999.0,377350-99999-2017
164,1,21,21,,20.0,-52.0,10251.0,,30.0,4.0,-9999.0,-9999.0,377350-99999-2017
165,1,22,0,,,,-49.0,10250.0,,,2.0,-9999.0,377350-99999-2017
166,1,22,3,,13.0,-66.0,10243.0,,20.0,2.0,-9999.0,-9999.0,377350-99999-2017
