,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR,SATELLITE-INFO
0,1,1,1,,,10314.0,,,,-9999.0,,,153380-99999-2017
1,1,1,2,,,10309.0,,,,-9999.0,,,153380-99999-2017
2,1,1,3,,,10304.0,,,,0.0,,,153380-99999-2017
3,1,1,4,,,10299.0,,,,-9999.0,,,153380-99999-2017
4,1,1,5,,,10297.0,,,,,-9999.0,-9999.0,153380-99999-2017
5,1,1,6,,,10297.0,,,,,-9999.0,-9999.0,153380-99999-2017
6,1,1,7,,,10294.0,,,,,-9999.0,-9999.0,153380-99999-2017
7,1,1,8,,,10294.0,,,,,-9999.0,-9999.0,153380-99999-2017
8,1,1,10,,,10283.0,,,,,-9999.0,,153380-99999-2017
9,1,1,11,,,10276.0,,,,,-9999.0,,153380-99999-2017
10,1,1,12,,-2.0,-39.0,10264.0,,,,-9999.0,-9999.0,153380-99999-2017
11,1,1,14,,10.0,-44.0,10253.0,,,,-9999.0,-9999.0,153380-99999-2017
12,1,1,15,,-5.0,-45.0,10253.0,,,,-9999.0,-9999.0,153380-99999-2017
13,1,1,16,,,10253.0,,,,,-9999.0,-9999.0,153380-99999-2017
14,1,1,17,,,10253.0,,,,,-9999.0,-9999.0,153380-99999-2017
15,1,1,18,,,10257.0,,,,,-9999.0,-9999.0,153380-99999-2017
16,1,1,19,,,10256.0,,,,,-9999.0,-9999.0,153380-99999-2017
17,1,1,20,,,10252.0,,,,,-9999.0,-9999.0,153380-99999-2017
18,1,1,21,,,10251.0,,,,,-9999.0,-9999.0,153380-99999-2017
19,1,1,22,,,10248.0,,,,,-9999.0,-9999.0,153380-99999-2017
20,1,1,23,,,10245.0,,,,,-9999.0,-9999.0,153380-99999-2017
21,1,2,0,,,10239.0,,,,,-9999.0,-9999.0,153380-99999-2017
22,1,2,1,,,10237.0,,,,-9999.0,,,153380-99999-2017
23,1,2,2,,,,,,,-9999.0,,,153380-99999-2017
24,1,2,3,,,,,,,-9999.0,,,153380-99999-2017
25,1,2,4,,,10226.0,,,,-9999.0,,,153380-99999-2017
26,1,2,5,,,10223.0,,,,,-9999.0,-9999.0,153380-99999-2017
27,1,2,6,,,10219.0,,,,,-9999.0,-9999.0,153380-99999-2017
28,1,2,7,,,10218.0,,,,,-9999.0,-9999.0,153380-99999-2017
29,1,2,9,,37.0,-63.0,10209.0,,,,-9999.0,-9999.0,153380-99999-2017
30,1,2,10,,45.0,-68.0,10205.0,,,,-9999.0,-9999.0,153380-99999-2017
31,1,2,11,,52.0,-70.0,10197.0,,,,-9999.0,-9999.0,153380-99999-2017
32,1,2,12,,57.0,-46.0,10190.0,,,,-9999.0,-9999.0,153380-99999-2017
33,1,2,13,,65.0,-51.0,10187.0,,,,-9999.0,-9999.0,153380-99999-2017
34,1,2,14,,55.0,-43.0,10188.0,,,,-9999.0,-9999.0,153380-99999-2017
35,1,2,15,,45.0,-49.0,10187.0,,,,-9999.0,-9999.0,153380-99999-2017
36,1,3,1,,37.0,-72.0,10185.0,,,-9999.0,,,153380-99999-2017
37,1,3,2,,25.0,-56.0,10176.0,,60.0,30.0,,,153380-99999-2017
38,1,3,3,,,,-49.0,10182.0,250.0,20.0,,,153380-99999-2017
39,1,3,4,,,,-51.0,10189.0,,,,,153380-99999-2017
40,1,3,6,,,10209.0,,,,,-9999.0,,153380-99999-2017
41,1,3,7,,,10221.0,,,,,-9999.0,,153380-99999-2017
42,1,3,8,,,10229.0,,,,,-9999.0,,153380-99999-2017
43,1,3,9,,,10243.0,,,,,-9999.0,-9999.0,153380-99999-2017
44,1,3,10,,,10243.0,,,,,-9999.0,-9999.0,153380-99999-2017
45,1,3,11,,,10244.0,,,,,-9999.0,,153380-99999-2017
46,1,3,13,,,10241.0,,,,,-9999.0,,153380-99999-2017
47,1,3,14,,,10238.0,,,,,-9999.0,,153380-99999-2017
48,1,3,15,,,10242.0,,,,,-9999.0,,153380-99999-2017
49,1,3,16,,,10243.0,,,,,-9999.0,-9999.0,153380-99999-2017
50,1,3,17,,,10243.0,,,,,-9999.0,-9999.0,153380-99999-2017
51,1,3,18,,,10247.0,,,,,-9999.0,-9999.0,153380-99999-2017
52,1,3,19,,,10248.0,,,,,-9999.0,-9999.0,153380-99999-2017
53,1,3,20,,,10248.0,,,,,-9999.0,-9999.0,153380-99999-2017
54,1,3,21,,,10249.0,,,,,-9999.0,-9999.0,153380-99999-2017
55,1,3,22,,,10248.0,,,,,-9999.0,-9999.0,153380-99999-2017
56,1,3,23,,,10242.0,,,,,-9999.0,-9999.0,153380-99999-2017
57,1,4,0,,,10236.0,,,,,-9999.0,,153380-99999-2017
58,1,4,1,,,10232.0,,,,0.0,,,153380-99999-2017
59,1,4,2,,,10221.0,,,,-9999.0,,,153380-99999-2017
60,1,4,3,,,10211.0,,,,-9999.0,,,153380-99999-2017
61,1,4,4,,,10204.0,,,,-9999.0,,,153380-99999-2017
62,1,4,5,,,10194.0,,,,,-9999.0,-9999.0,153380-99999-2017
63,1,4,6,,,10182.0,,,,,-9999.0,-9999.0,153380-99999-2017
64,1,4,7,,,10173.0,,,,,-9999.0,-9999.0,153380-99999-2017
65,1,4,8,,,10163.0,,,,,-9999.0,-9999.0,153380-99999-2017
66,1,4,10,,15.0,-45.0,10143.0,,,,-9999.0,-9999.0,153380-99999-2017
67,1,4,11,,22.0,-50.0,10128.0,,,,-9999.0,-9999.0,153380-99999-2017
68,1,4,12,,40.0,-62.0,10116.0,,,,-9999.0,-9999.0,153380-99999-2017
