,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,2017,1,1,4,,,100.0,,,,50.0,-9999.0,,,,,0.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0
1,2017,1,1,6,,,100.0,,,,90.0,-9999.0,,,,,0.0,,,,,0.0,,,,,4.0,-9999.0,-9999.0
2,2017,1,1,7,,,110.0,,,110.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0,,,,,
3,2017,1,1,8,,,120.0,,,120.0,-9999.0,,,100.0,,,,31.0,-9999.0,-9999.0,-9999.0,,,,,,,,
4,2017,1,1,9,,,120.0,,,120.0,-9999.0,,,,90.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,,,,,
5,2017,1,1,10,,,130.0,,,120.0,-9999.0,,,110.0,,,,21.0,-9999.0,-9999.0,-9999.0,,,,,,,,
6,2017,1,1,11,,,130.0,,,120.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0,,,,,
7,2017,1,1,12,,,130.0,,,130.0,-9999.0,,,100.0,,,,15.0,-9999.0,-9999.0,-9999.0,,,,,,,,
8,2017,1,1,13,,,130.0,,,130.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0,,,,,
9,2017,1,1,14,,,130.0,,,130.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,,,,,3.0,-9999.0,
10,2017,1,1,15,,,130.0,,,130.0,-9999.0,,,,90.0,,,,21.0,-9999.0,,,,,3.0,-9999.0,,,
11,2017,1,1,16,,,150.0,,,140.0,-9999.0,,,120.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,,,,,,
12,2017,1,1,17,,,150.0,,,150.0,-9999.0,,,150.0,,,,41.0,-9999.0,-9999.0,-9999.0,,,,,,,,
13,2017,1,1,18,,,150.0,,,150.0,-9999.0,,,150.0,,,,41.0,-9999.0,-9999.0,-9999.0,,,,,,,,
14,2017,1,1,19,,,150.0,,,150.0,-9999.0,,,140.0,,,,31.0,-9999.0,-9999.0,-9999.0,,,,,,,,
15,2017,1,1,20,,,160.0,,,150.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0,,,,,
16,2017,1,1,21,,,170.0,,,160.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0,,,,,
17,2017,1,1,22,,,170.0,,,160.0,-9999.0,,,,60.0,,,,15.0,-9999.0,-9999.0,-9999.0,,,,,,,
18,2017,1,1,23,,,170.0,,,160.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0,,,,,
19,2017,1,2,0,,,160.0,,,150.0,-9999.0,,,,50.0,,,,31.0,-9999.0,-9999.0,-9999.0,,,,,,,
20,2017,1,2,1,,,160.0,,,150.0,-9999.0,,,,60.0,,,,21.0,-9999.0,-9999.0,-9999.0,,,,,,,
21,2017,1,2,2,,,150.0,,,150.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0,,,,,
22,2017,1,2,3,,,160.0,,,150.0,-9999.0,,,120.0,,,,31.0,-9999.0,-9999.0,-9999.0,,,,,,,,
23,2017,1,2,4,,,160.0,,,150.0,-9999.0,,,120.0,,,,36.0,-9999.0,-9999.0,-9999.0,,,,,,,,
24,2017,1,2,5,,,150.0,,,150.0,-9999.0,,,120.0,,,,41.0,-9999.0,-9999.0,-9999.0,,,,,,,,
25,2017,1,2,6,,,150.0,,,150.0,-9999.0,,,110.0,,,,31.0,-9999.0,-9999.0,-9999.0,,,,,,,,
26,2017,1,2,7,,,150.0,,,150.0,-9999.0,,,100.0,,,,21.0,-9999.0,-9999.0,-9999.0,,,,,,,,
27,2017,1,2,8,,,160.0,,,150.0,-9999.0,,,110.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,,,,,,
28,2017,1,2,9,,,160.0,,,160.0,-9999.0,,,100.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,,,,,,
29,2017,1,2,10,,,160.0,,,160.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0,,,,,
30,2017,1,2,11,,,160.0,,,160.0,-9999.0,,,100.0,,,,21.0,-9999.0,-9999.0,-9999.0,,,,,,,,
31,2017,1,2,12,,,160.0,,,160.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0,,,,,
