,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR
0,2017,1,5,4,222,195,-9999,160,51,0,-9999,0
1,2017,1,5,22,220,175,-9999,50,26,0,-9999,-9999
2,2017,1,6,4,255,214,-9999,130,51,1,-9999,0
3,2017,1,9,22,188,145,-9999,0,0,8,-9999,-9999
4,2017,1,10,22,172,144,-9999,270,62,8,-9999,-9999
5,2017,1,11,22,187,116,-9999,270,31,4,-9999,-9999
6,2017,1,12,22,203,156,-9999,310,26,8,-9999,-9999
7,2017,1,13,4,210,210,-9999,270,41,8,-9999,90
8,2017,1,13,22,170,119,-9999,270,103,8,-9999,-9999
9,2017,1,14,22,163,105,-9999,230,51,8,-9999,-9999
10,2017,1,15,4,187,104,-9999,250,77,8,-9999,0
11,2017,1,19,22,180,168,-9999,270,77,8,-9999,-9999
12,2017,1,20,4,197,160,-9999,250,62,6,-9999,4
13,2017,1,22,22,225,187,-9999,310,26,8,-9999,-9999
14,2017,1,23,4,345,173,-9999,20,26,6,-9999,0
15,2017,1,23,22,198,111,-9999,230,103,3,-9999,-9999
16,2017,1,25,22,170,156,-9999,180,26,8,-9999,-9999
17,2017,1,26,22,171,130,-9999,0,0,8,-9999,-9999
18,2017,1,27,4,200,134,-9999,130,31,0,-9999,0
19,2017,1,27,22,201,178,-9999,360,31,3,-9999,-9999
20,2017,1,28,4,202,162,-9999,180,62,3,-9999,0
21,2017,1,28,22,185,158,-9999,130,15,3,-9999,-9999
22,2017,1,31,22,174,94,-9999,130,10,6,-9999,-9999
23,2017,2,1,4,180,116,-9999,230,41,8,-9999,-9999
24,2017,2,1,22,173,151,-9999,270,26,1,-9999,-9999
25,2017,2,2,22,195,140,-9999,310,15,1,-9999,-9999
26,2017,2,28,22,185,185,-9999,110,15,0,-9999,-9999
27,2017,3,1,4,210,181,-9999,130,41,0,-9999,0
28,2017,3,2,22,185,177,-9999,160,51,8,-9999,-9999
29,2017,3,9,22,195,170,-9999,270,21,3,-9999,-9999
30,2017,3,10,22,180,158,-9999,0,0,8,-9999,-9999
31,2017,3,11,22,190,160,-9999,90,62,2,-9999,-9999
32,2017,3,19,22,213,162,-9999,0,0,7,-9999,-9999
33,2017,3,20,22,198,185,-9999,0,0,8,-9999,-9999
34,2017,3,21,4,204,182,-9999,180,41,8,-9999,20
35,2017,3,21,22,179,166,-9999,130,129,8,-9999,-9999
36,2017,3,22,4,202,164,-9999,110,77,2,-9999,4
37,2017,3,22,22,176,150,-9999,130,93,0,-9999,-9999
38,2017,3,26,22,258,164,-9999,20,51,7,-9999,-9999
39,2017,3,28,22,178,165,-9999,340,26,7,-9999,-9999
40,2017,3,29,4,218,137,-9999,250,26,7,-9999,0
