,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR
0,2017,1,1,7,28,10,10258,170,10,7,-9999,-9999
1,2017,1,1,8,31,10,10261,170,10,7,-9999,-9999
2,2017,1,1,9,37,20,10261,160,10,7,-9999,-9999
3,2017,1,1,10,40,20,10253,220,10,7,-9999,-9999
4,2017,1,1,11,44,10,10246,290,5,7,-9999,-9999
5,2017,1,1,12,46,20,10241,170,10,7,-9999,0
6,2017,1,1,13,48,10,10240,170,10,6,-9999,-9999
7,2017,1,1,14,43,0,10239,180,10,4,-9999,-9999
8,2017,1,1,15,33,0,10238,170,5,5,-9999,-9999
9,2017,1,1,16,26,0,10239,140,5,5,-9999,-9999
10,2017,1,1,17,20,0,10238,210,5,5,-9999,-9999
11,2017,1,1,18,19,0,10240,190,5,5,-9999,-9999
12,2017,1,2,5,10,-60,-9999,150,82,-9999,-9999,-9999
13,2017,1,2,6,13,-40,10232,170,36,0,-9999,-9999
14,2017,1,2,7,18,-30,10232,160,31,0,-9999,-9999
15,2017,1,2,8,24,-30,10232,160,31,0,-9999,-9999
16,2017,1,2,9,35,-30,10229,170,36,0,-9999,-9999
17,2017,1,2,10,44,-20,10223,160,31,0,-9999,-9999
18,2017,1,2,11,48,-20,10216,160,41,0,-9999,-9999
19,2017,1,2,12,48,-20,10212,160,36,0,-9999,0
20,2017,1,2,13,46,-20,10213,160,31,0,-9999,-9999
21,2017,1,2,14,41,-20,10212,170,31,0,-9999,-9999
22,2017,1,2,15,34,-20,10210,160,26,0,-9999,-9999
23,2017,1,2,16,30,-20,10210,160,31,0,-9999,-9999
24,2017,1,2,17,28,-20,10212,150,31,0,-9999,-9999
25,2017,1,2,18,26,-20,10210,150,31,0,-9999,-9999
26,2017,1,2,21,20,-30,10212,160,41,3,-9999,-9999
27,2017,1,3,0,15,-30,10208,160,36,0,-9999,0
28,2017,1,3,3,19,-40,10203,150,36,4,-9999,-9999
29,2017,1,3,5,20,-70,-9999,170,72,-9999,-9999,-9999
30,2017,1,3,6,12,-40,10210,160,36,0,-9999,-9999
31,2017,1,3,7,21,-30,10213,150,36,2,-9999,-9999
32,2017,1,3,8,29,-40,10214,170,46,3,-9999,-9999
33,2017,1,3,9,42,-30,10212,170,41,3,-9999,-9999
34,2017,1,3,10,55,-20,10201,160,26,3,-9999,-9999
35,2017,1,3,11,63,-20,10196,160,36,3,-9999,-9999
36,2017,1,3,12,60,-20,10193,170,36,5,-9999,0
37,2017,1,3,13,62,-10,10195,170,31,7,-9999,-9999
38,2017,1,3,14,63,-10,10194,160,31,4,-9999,-9999
39,2017,1,3,15,53,-10,10194,160,36,3,-9999,-9999
40,2017,1,3,16,49,-10,10200,170,21,4,-9999,-9999
41,2017,1,3,17,52,-10,10202,160,31,3,-9999,-9999
42,2017,1,3,18,53,-10,10200,160,31,4,-9999,-9999
43,2017,1,3,21,48,-10,10202,150,31,6,-9999,-9999
44,2017,1,4,0,44,-20,10194,160,31,3,-9999,0
45,2017,1,4,3,46,-20,10186,160,36,5,-9999,-9999
46,2017,1,4,5,50,-30,-9999,160,57,-9999,-9999,-9999
47,2017,1,4,6,39,-20,10180,150,31,4,-9999,-9999
48,2017,1,4,7,47,-20,10178,160,41,4,-9999,-9999
49,2017,1,4,8,55,-10,10177,160,41,5,-9999,-9999
50,2017,1,4,9,63,0,10175,160,36,5,-9999,-9999
51,2017,1,4,10,83,0,10168,150,26,5,-9999,-9999
52,2017,1,4,11,91,0,10162,160,21,5,-9999,-9999
53,2017,1,4,12,89,0,10152,150,26,5,-9999,0
54,2017,1,4,13,89,0,10143,160,31,4,-9999,-9999
55,2017,1,4,14,85,0,10140,160,36,4,-9999,-9999
56,2017,1,4,15,80,0,10137,160,41,3,-9999,-9999
57,2017,1,4,16,78,0,10135,160,26,3,-9999,-9999
58,2017,1,4,17,80,0,10132,150,26,3,-9999,-9999
59,2017,1,4,18,79,0,10129,160,31,3,-9999,-9999
60,2017,1,4,21,87,0,10108,160,46,3,-9999,-9999
61,2017,1,5,0,89,10,10093,160,26,3,-9999,0
62,2017,1,5,3,88,30,10081,160,31,4,-9999,-9999
63,2017,1,5,5,100,20,-9999,150,62,-9999,-9999,-9999
64,2017,1,5,6,102,40,10071,140,26,6,-9999,-9999
65,2017,1,5,7,111,50,10074,160,26,6,-9999,-9999
66,2017,1,5,8,100,60,10077,160,21,6,-9999,-9999
67,2017,1,5,9,93,70,10084,300,10,6,-9999,-9999
68,2017,1,5,10,93,80,10081,330,10,6,-9999,-9999
69,2017,1,5,11,93,80,10077,140,15,6,-9999,-9999
70,2017,1,5,12,100,80,10075,190,10,6,-9999,60
71,2017,1,5,13,120,80,10074,170,21,4,-9999,-9999
72,2017,1,5,14,111,80,10077,160,15,4,-9999,-9999
73,2017,1,5,15,100,80,10074,160,36,6,-9999,-9999
74,2017,1,5,16,103,70,10077,160,26,6,-9999,-9999
75,2017,1,5,17,105,70,10073,170,31,6,-9999,-9999
76,2017,1,5,18,99,70,10069,160,26,6,-9999,-9999
77,2017,1,5,21,92,60,10063,270,5,6,-9999,-9999
78,2017,1,6,0,107,60,10053,150,10,6,-9999,2
79,2017,1,6,3,104,70,10036,300,5,6,-9999,-9999
80,2017,1,6,5,110,40,-9999,160,31,-9999,-9999,-9999
81,2017,1,6,6,107,70,10026,130,5,5,-9999,-9999
82,2017,1,6,7,131,50,10026,160,15,6,-9999,-9999
83,2017,1,6,8,142,50,10024,360,10,6,-9999,-9999
84,2017,1,6,9,155,40,10022,170,15,6,-9999,-9999
85,2017,1,6,10,156,50,10018,90,5,6,-9999,-9999
86,2017,1,6,11,104,80,10025,300,21,6,-9999,-9999
87,2017,1,6,12,101,80,10035,40,5,7,-9999,0
88,2017,1,6,13,89,70,10045,280,21,7,-9999,-9999
89,2017,1,6,14,56,30,10053,350,15,7,-9999,-9999
90,2017,1,6,15,42,20,10057,360,21,7,-9999,-9999
91,2017,1,6,16,34,20,10075,10,15,7,-9999,-9999
92,2017,1,6,17,30,10,10086,350,26,7,-9999,-9999
93,2017,1,6,18,16,10,10099,350,21,8,-9999,-9999
94,2017,1,6,21,0,0,10114,20,10,8,-9999,-9999
95,2017,1,7,0,0,0,10104,10,21,8,-9999,80
96,2017,1,7,3,-3,-8,10093,340,21,8,-9999,-9999
97,2017,1,7,6,-9,-10,10107,350,26,8,-9999,-9999
98,2017,1,7,7,-11,-11,10108,10,26,8,-9999,-9999
99,2017,1,7,8,-11,-11,10114,10,15,8,-9999,-9999
100,2017,1,7,9,-11,-12,10118,360,26,8,-9999,-9999
101,2017,1,7,10,-11,-12,10120,360,31,8,-9999,-9999
102,2017,1,7,11,-16,-20,10121,360,15,8,-9999,-9999
103,2017,1,7,12,-24,-27,10130,340,21,8,-9999,30
104,2017,1,7,13,-29,-30,10139,350,26,8,-9999,-9999
105,2017,1,7,14,-31,-34,10148,340,26,8,-9999,-9999
106,2017,1,7,15,-28,-30,10153,350,21,8,-9999,-9999
107,2017,1,7,16,-33,-40,10162,350,21,8,-9999,-9999
108,2017,1,7,17,-32,-40,10169,20,10,7,-9999,-9999
109,2017,1,7,18,-31,-40,10173,10,15,7,-9999,-9999
110,2017,1,7,21,-31,-40,10182,30,10,7,-9999,-9999
111,2017,1,8,0,-33,-50,10169,120,5,6,-9999,2
112,2017,1,8,3,-31,-40,10160,120,5,6,-9999,-9999
113,2017,1,8,6,-28,-40,10155,90,10,6,-9999,-9999
114,2017,1,8,7,-26,-40,10158,110,5,8,-9999,-9999
115,2017,1,8,8,-21,-30,10159,140,10,8,-9999,-9999
116,2017,1,8,9,-15,-30,10155,120,10,8,-9999,-9999
117,2017,1,8,10,-6,-30,10147,40,10,7,-9999,-9999
118,2017,1,8,11,-1,-30,10140,60,10,7,-9999,-9999
119,2017,1,8,12,0,-30,10139,40,10,7,-9999,2
120,2017,1,8,13,-12,-20,10138,110,15,8,-9999,-9999
121,2017,1,8,14,-14,-20,10137,80,10,8,-9999,-9999
122,2017,1,8,15,-14,-19,10143,60,5,8,-9999,-9999
123,2017,1,8,16,-15,-20,10148,90,10,8,-9999,-9999
124,2017,1,8,17,-9,-20,10147,30,21,8,-9999,-9999
125,2017,1,8,18,-8,-19,10148,30,15,7,-9999,-9999
126,2017,1,8,21,-12,-20,10151,120,5,7,-9999,-9999
127,2017,1,9,0,-8,-19,10147,60,15,8,-9999,4
128,2017,1,9,3,-9,-10,10143,30,15,8,-9999,-9999
129,2017,1,9,5,-10,-30,-9999,40,26,-9999,-9999,-9999
130,2017,1,9,6,-9,-10,10154,60,5,8,-9999,-9999
131,2017,1,9,7,-7,-10,10157,0,0,8,-9999,-9999
132,2017,1,9,8,-3,-10,10159,60,5,8,-9999,-9999
133,2017,1,9,9,-1,-1,10161,150,10,8,-9999,-9999
134,2017,1,9,10,7,0,10158,190,5,8,-9999,-9999
135,2017,1,9,11,16,0,10160,350,5,8,-9999,-9999
136,2017,1,9,12,17,-10,10158,60,5,6,-9999,20
137,2017,1,9,13,12,-10,10163,110,5,7,-9999,-9999
138,2017,1,9,14,11,-10,10169,10,5,7,-9999,-9999
139,2017,1,9,15,3,0,10172,340,21,8,-9999,-9999
140,2017,1,9,16,5,-10,10178,360,5,8,-9999,-9999
141,2017,1,9,17,6,0,10183,70,5,8,-9999,-9999
142,2017,1,9,18,5,0,10186,140,10,7,-9999,-9999
143,2017,1,9,21,-19,-40,10191,140,15,4,-9999,-9999
144,2017,1,10,0,-13,-30,10179,130,10,3,-9999,0
145,2017,1,10,3,-3,-30,10167,90,21,7,-9999,-9999
146,2017,1,10,5,0,-60,-9999,80,51,-9999,-9999,-9999
147,2017,1,10,6,-5,-40,10149,100,15,7,-9999,-9999
148,2017,1,10,7,3,-30,10144,110,15,7,-9999,-9999
149,2017,1,10,8,11,-30,10140,90,15,7,-9999,-9999
150,2017,1,10,9,10,0,10133,100,31,8,-9999,-9999
151,2017,1,10,10,3,0,10112,90,21,8,-9999,-9999
152,2017,1,10,11,17,0,10085,100,21,8,-9999,-9999
153,2017,1,10,12,23,0,10069,80,15,8,-9999,2
154,2017,1,10,13,33,-10,10056,80,26,7,-9999,-9999
155,2017,1,10,14,37,-10,10050,80,21,7,-9999,-9999
156,2017,1,10,15,47,0,10043,80,26,6,-9999,-9999
157,2017,1,10,16,54,0,10043,70,26,5,-9999,-9999
158,2017,1,10,17,55,0,10049,70,21,5,-9999,-9999
159,2017,1,10,18,52,10,10061,160,5,6,-9999,-9999
160,2017,1,10,21,39,10,10098,230,10,4,-9999,-9999
161,2017,1,11,0,40,0,10125,230,5,3,-9999,0
162,2017,1,11,3,57,-20,10154,190,21,3,-9999,-9999
