,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR,SATELLITE-INFO
0,1,1,1,,,-9999.0,,,-9999.0,-9999.0,,,874180-99999-2017
1,1,1,2,,,-9999.0,,,-9999.0,-9999.0,,,874180-99999-2017
2,1,1,3,,,10034.0,,,,,,1.0,874180-99999-2017
3,1,1,4,,,-9999.0,,,-9999.0,-9999.0,,,874180-99999-2017
4,1,1,5,,,-9999.0,,,-9999.0,-9999.0,,,874180-99999-2017
5,1,1,6,,,97.0,10057.0,,,,,,874180-99999-2017
6,1,1,7,,,90.0,-9999.0,,-9999.0,-9999.0,-9999.0,,874180-99999-2017
7,1,1,8,,,90.0,-9999.0,,,,,,874180-99999-2017
8,1,1,9,,,10088.0,,,,,,6.0,874180-99999-2017
9,1,1,10,,,-9999.0,,,-9999.0,-9999.0,,,874180-99999-2017
10,1,1,11,,,60.0,-9999.0,,-9999.0,-9999.0,-9999.0,,874180-99999-2017
11,1,1,12,,,53.0,10134.0,,,,,,874180-99999-2017
12,1,1,13,,,60.0,-9999.0,,-9999.0,-9999.0,-9999.0,,874180-99999-2017
13,1,1,14,,,60.0,-9999.0,,31.0,-9999.0,-9999.0,-9999.0,874180-99999-2017
14,1,1,15,,,47.0,10121.0,,,,,,874180-99999-2017
15,1,1,16,,,70.0,-9999.0,,-9999.0,-9999.0,-9999.0,,874180-99999-2017
16,1,1,17,,,60.0,-9999.0,,46.0,-9999.0,-9999.0,-9999.0,874180-99999-2017
17,1,1,19,,,60.0,-9999.0,,26.0,-9999.0,-9999.0,-9999.0,874180-99999-2017
18,1,1,20,,,70.0,-9999.0,,26.0,-9999.0,-9999.0,-9999.0,874180-99999-2017
19,1,1,22,,,70.0,-9999.0,,21.0,-9999.0,-9999.0,-9999.0,874180-99999-2017
20,1,1,23,,,80.0,-9999.0,,15.0,-9999.0,-9999.0,-9999.0,874180-99999-2017
21,1,2,0,,,-9999.0,,,,0.0,-9999.0,-9999.0,874180-99999-2017
22,1,2,1,,,-9999.0,,,-9999.0,-9999.0,,,874180-99999-2017
23,1,2,2,,,80.0,-9999.0,,-9999.0,-9999.0,-9999.0,,874180-99999-2017
