,,,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR,SATELLITE-INFO
2017,1,4,,11.0,-78.0,10253.0,360.0,46.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,4,,11.0,-83.0,10251.0,,,41.0,,,0.0,,,723403-13963-2017
2017,1,4,,28.0,-89.0,10241.0,,,,-9999.0,,,,,723403-13963-2017
2017,1,4,,39.0,-89.0,10230.0,,,41.0,,,0.0,,,723403-13963-2017
2017,1,4,,39.0,10217.0,,60.0,51.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,4,,44.0,-89.0,10214.0,,,31.0,,,0.0,,,723403-13963-2017
2017,1,4,,33.0,-89.0,10207.0,100.0,36.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,4,,22.0,-78.0,10205.0,100.0,41.0,,4.0,,,0.0,-9999.0,723403-13963-2017
2017,1,5,,,10199.0,,50.0,26.0,,0.0,,,0.0,-9999.0,723403-13963-2017
2017,1,5,,,10186.0,,90.0,15.0,,0.0,,,0.0,-9999.0,723403-13963-2017
2017,1,5,,,10180.0,,70.0,26.0,,4.0,,,0.0,-9999.0,723403-13963-2017
2017,1,5,,,10184.0,,40.0,26.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,5,,,10183.0,,30.0,26.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,5,,-6.0,-50.0,10176.0,,,36.0,,,0.0,,,723403-13963-2017
2017,1,5,,-6.0,-44.0,10176.0,,,31.0,,,0.0,,,723403-13963-2017
2017,1,5,,-6.0,-44.0,10176.0,,,31.0,,,0.0,,,723403-13963-2017
2017,1,5,,-6.0,-39.0,10167.0,,,26.0,,,0.0,,,723403-13963-2017
2017,1,5,,-6.0,-33.0,10161.0,,,21.0,,,0.0,,,723403-13963-2017
2017,1,5,,-6.0,-39.0,10169.0,,,31.0,,,0.0,,,723403-13963-2017
2017,1,5,,-6.0,-44.0,10172.0,,,31.0,,,0.0,,,723403-13963-2017
2017,1,5,,-6.0,-33.0,10172.0,,,21.0,,,0.0,,,723403-13963-2017
2017,1,5,,,,-39.0,,,,,,,,,723403-13963-2017
2017,1,5,,,,-33.0,,,,,,,,,723403-13963-2017
2017,1,5,,17.0,-33.0,10173.0,,,31.0,,,0.0,,,723403-13963-2017
2017,1,5,,17.0,-39.0,10174.0,,,31.0,,,0.0,,,723403-13963-2017
2017,1,5,,11.0,-39.0,10169.0,,,41.0,,,0.0,,,723403-13963-2017
2017,1,5,,22.0,-39.0,10175.0,340.0,36.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,5,,22.0,-33.0,10171.0,350.0,41.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,5,,22.0,-39.0,10171.0,,,26.0,,,0.0,,,723403-13963-2017
2017,1,5,,17.0,-44.0,10181.0,,,46.0,,,0.0,,,723403-13963-2017
2017,1,6,,11.0,-61.0,10193.0,,,62.0,,,0.0,,,723403-13963-2017
2017,1,6,,,,-67.0,,,,,,,,,723403-13963-2017
2017,1,6,,,,-61.0,,,,,,,,,723403-13963-2017
2017,1,6,,-6.0,-61.0,10213.0,,,57.0,,,0.0,,,723403-13963-2017
2017,1,6,,,10215.0,,10.0,51.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,6,,,10223.0,,10.0,46.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,6,,,10226.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,6,,,10223.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,6,,,10229.0,,,-9999.0,,-9999.0,,,,,723403-13963-2017
2017,1,6,,,10237.0,,10.0,62.0,-9999.0,-1.0,-9999.0,,,,723403-13963-2017
2017,1,6,,,10238.0,,,-9999.0,,-9999.0,,,,,723403-13963-2017
2017,1,6,,,10252.0,,,-9999.0,,-9999.0,,,,,723403-13963-2017
2017,1,6,,,10263.0,,,-9999.0,,3.0,-9999.0,,,,723403-13963-2017
2017,1,6,,,-9999.0,,10.0,41.0,-9999.0,-1.0,-9999.0,,,,723403-13963-2017
2017,1,6,,,10269.0,,,-9999.0,,-9999.0,,,,,723403-13963-2017
2017,1,6,,,,,,,,,,,,,723403-13963-2017
2017,1,6,,,,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,6,,,10282.0,,,-9999.0,,-9999.0,,,,,723403-13963-2017
2017,1,6,,,,,,-9999.0,,0.0,,,3.0,,723403-13963-2017
2017,1,6,,,,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,6,,,,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,6,,,,,,,,-9999.0,,,,,723403-13963-2017
2017,1,6,,,,,,,,-9999.0,,,,,723403-13963-2017
2017,1,6,,,,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,7,,,,,,,,-9999.0,,,,,723403-13963-2017
2017,1,7,,,,,,,,,,,,,723403-13963-2017
2017,1,7,,,,,,,,,,,,,723403-13963-2017
2017,1,7,,,,,,,,-9999.0,,,,,723403-13963-2017
2017,1,7,,,,,,,,,,,,,723403-13963-2017
2017,1,7,,,,,,,,,,,,,723403-13963-2017
2017,1,7,,,,,,,,,,,,,723403-13963-2017
2017,1,7,,,,,,,,,,,,,723403-13963-2017
2017,1,7,,,,,,,,,,,,,723403-13963-2017
2017,1,7,,-144.0,,340.0,,,,,,0.0,,,723403-13963-2017
2017,1,7,,-144.0,,340.0,,,,,,0.0,,,723403-13963-2017
2017,1,7,,-139.0,,330.0,,,,,,0.0,,,723403-13963-2017
2017,1,7,,-144.0,,330.0,,,,,,0.0,,,723403-13963-2017
2017,1,7,,,,,,,,,,,,,723403-13963-2017
2017,1,7,,,,,,,,,,,,,723403-13963-2017
2017,1,7,,,,,,,,,,,,,723403-13963-2017
2017,1,7,,,,,,,,,,,,,723403-13963-2017
2017,1,7,,,,,,,,,,,,,723403-13963-2017
2017,1,7,,,,,,,,,,,,,723403-13963-2017
2017,1,7,,,,,,,,,,,,,723403-13963-2017
2017,1,7,,,,,,,,,,,,,723403-13963-2017
2017,1,7,,,,,,,,,,,,,723403-13963-2017
2017,1,7,,,,,,,,,,,,,723403-13963-2017
2017,1,8,,,10419.0,,,,,,,,-9999.0,,723403-13963-2017
2017,1,8,,,10430.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,8,,,10435.0,,,,,,,,,,723403-13963-2017
2017,1,8,,,10438.0,,,,,,,,,,723403-13963-2017
2017,1,8,,,10430.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,8,,,10418.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,8,,,10403.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,8,,,,-78.0,,,41.0,,,0.0,,,723403-13963-2017
2017,1,8,,,,-78.0,,,46.0,,,0.0,,,723403-13963-2017
2017,1,8,,,10373.0,,,,,,,,-9999.0,,723403-13963-2017
2017,1,9,,,10371.0,,,,,,,,-9999.0,,723403-13963-2017
2017,1,9,,,10369.0,,,,,,,,-9999.0,,723403-13963-2017
2017,1,9,,,10371.0,,,,,,,,-9999.0,,723403-13963-2017
2017,1,9,,,10364.0,,,,,,,,-9999.0,,723403-13963-2017
2017,1,9,,,10363.0,,,,,,,,-9999.0,,723403-13963-2017
2017,1,9,,,10348.0,,,,,,,,-9999.0,,723403-13963-2017
2017,1,9,,,10345.0,,,,,,,,-9999.0,,723403-13963-2017
2017,1,9,,,10337.0,,,,,,,,-9999.0,,723403-13963-2017
2017,1,9,,,10332.0,,,,,,,,-9999.0,,723403-13963-2017
2017,1,9,,,10334.0,,,,,,,,-9999.0,,723403-13963-2017
2017,1,9,,,10336.0,,,,,,,,-9999.0,,723403-13963-2017
2017,1,9,,17.0,-61.0,10337.0,180.0,31.0,,4.0,,,0.0,-9999.0,723403-13963-2017
2017,1,9,,50.0,-44.0,10323.0,190.0,41.0,,4.0,,,0.0,-9999.0,723403-13963-2017
2017,1,9,,72.0,-22.0,10309.0,190.0,36.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,9,,78.0,-17.0,10287.0,170.0,51.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,9,,78.0,-11.0,10274.0,120.0,41.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,9,,67.0,,-6.0,,,46.0,,,0.0,,,723403-13963-2017
2017,1,9,,67.0,,,,,,,,,,,723403-13963-2017
2017,1,9,,61.0,,11.0,,,36.0,,,0.0,,,723403-13963-2017
2017,1,10,,56.0,,11.0,,,41.0,,,0.0,,,723403-13963-2017
