,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR
0,2017,1,1,12,324,117,10117,100,41,0,-9999,-9999
1,2017,1,1,15,358,107,10058,80,31,3,-9999,-9999
2,2017,1,1,18,344,109,10084,360,21,4,-9999,-9999
3,2017,1,2,0,230,166,10116,100,31,0,-9999,-9999
4,2017,1,2,8,210,160,-9999,100,31,0,-9999,-9999
5,2017,1,2,9,226,130,10123,80,21,5,-9999,-9999
6,2017,1,2,12,320,120,10115,120,41,4,-9999,-9999
7,2017,1,2,15,353,76,10079,80,51,4,-9999,-9999
8,2017,1,2,17,360,70,-9999,360,41,0,-9999,-9999
9,2017,1,2,18,335,101,10077,100,41,4,-9999,-9999
10,2017,1,2,21,293,80,10098,360,21,2,-9999,-9999
11,2017,1,3,0,250,148,10107,0,0,0,-9999,-9999
12,2017,1,3,6,190,132,10105,0,0,0,-9999,-9999
13,2017,1,3,8,180,100,-9999,40,21,0,-9999,-9999
14,2017,1,3,9,226,66,10129,20,31,0,-9999,-9999
15,2017,1,3,12,324,90,10126,120,41,0,-9999,-9999
16,2017,1,3,15,355,87,10087,160,21,0,-9999,-9999
17,2017,1,3,18,340,107,10094,60,21,0,-9999,-9999
18,2017,1,3,21,275,98,10109,40,21,0,-9999,-9999
19,2017,1,3,22,260,100,-9999,0,0,-9999,-9999,-9999
20,2017,1,4,0,248,74,10128,0,0,0,-9999,-9999
21,2017,1,4,6,193,70,10127,0,0,0,-9999,-9999
22,2017,1,4,9,243,42,10144,100,41,1,-9999,-9999
23,2017,1,4,12,305,51,10134,120,41,0,-9999,-9999
24,2017,1,4,15,343,60,10102,100,31,2,-9999,-9999
25,2017,1,4,18,330,27,-9999,80,31,4,-9999,-9999
26,2017,1,4,21,255,45,10110,140,21,0,-9999,-9999
27,2017,1,5,0,212,47,10132,120,21,2,-9999,-9999
28,2017,1,5,6,166,-13,10110,0,0,0,-9999,-9999
29,2017,1,5,9,215,-9,10127,100,31,0,-9999,-9999
30,2017,1,5,10,240,-10,-9999,80,31,-9999,-9999,-9999
31,2017,1,5,12,296,49,10123,140,31,0,-9999,-9999
32,2017,1,5,15,336,92,10087,80,21,3,-9999,-9999
33,2017,1,5,18,330,72,10083,40,21,4,-9999,-9999
34,2017,1,5,21,250,64,10100,0,0,0,-9999,-9999
35,2017,1,6,0,225,71,10098,0,0,3,-9999,-9999
36,2017,1,6,6,168,103,10098,0,0,0,-9999,-9999
37,2017,1,6,9,214,44,10123,100,21,3,-9999,-9999
38,2017,1,6,12,312,52,10107,120,31,5,-9999,-9999
39,2017,1,6,15,350,62,10075,180,10,3,-9999,-9999
40,2017,1,6,18,340,91,10073,120,10,0,-9999,-9999
41,2017,1,6,21,265,120,10095,0,0,0,-9999,-9999
42,2017,1,7,0,235,88,10098,120,21,0,-9999,-9999
43,2017,1,7,6,183,86,10094,0,0,0,-9999,-9999
44,2017,1,7,9,227,96,10122,0,0,0,-9999,-9999
45,2017,1,7,12,328,86,10107,100,21,3,-9999,-9999
46,2017,1,7,15,370,87,10073,140,41,5,-9999,-9999
47,2017,1,7,18,352,107,10075,140,31,6,-9999,-9999
48,2017,1,7,21,280,106,10089,0,0,3,-9999,-9999
49,2017,1,8,0,250,121,10107,0,0,2,-9999,-9999
50,2017,1,8,6,194,115,10106,80,10,0,-9999,-9999
51,2017,1,8,8,180,110,-9999,0,0,-9999,-9999,-9999
52,2017,1,8,9,218,92,10130,0,0,4,-9999,-9999
53,2017,1,8,12,314,115,10117,360,31,6,-9999,-9999
54,2017,1,8,15,348,100,10086,80,10,6,-9999,-9999
55,2017,1,8,18,345,113,10088,360,31,6,-9999,-9999
56,2017,1,8,21,292,112,10106,0,0,7,-9999,-9999
57,2017,1,9,0,255,90,10118,0,0,5,-9999,-9999
58,2017,1,9,3,233,88,10110,180,21,5,-9999,-9999
59,2017,1,9,6,212,97,10117,0,0,4,-9999,-9999
60,2017,1,9,7,210,90,-9999,0,0,-9999,-9999,-9999
61,2017,1,9,8,200,90,-9999,360,10,-9999,-9999,-9999
62,2017,1,9,9,230,112,10120,0,0,6,-9999,-9999
63,2017,1,9,12,336,66,10112,40,41,6,-9999,-9999
64,2017,1,9,15,364,71,10074,100,51,6,-9999,-9999
65,2017,1,9,18,335,79,10078,360,31,7,-9999,-9999
66,2017,1,10,0,255,66,10096,360,21,7,-9999,-9999
67,2017,1,10,3,231,72,10094,0,0,7,-9999,-9999
68,2017,1,10,6,215,82,10100,0,0,5,-9999,-9999
69,2017,1,10,9,235,31,10125,360,51,6,-9999,-9999
70,2017,1,10,10,260,20,-9999,300,21,-9999,-9999,-9999
71,2017,1,10,12,320,24,10116,120,41,6,-9999,-9999
72,2017,1,10,15,320,27,10084,20,62,5,-9999,-9999
73,2017,1,10,18,328,56,10088,360,41,7,-9999,-9999
74,2017,1,10,21,265,1,10111,20,31,6,-9999,-9999
75,2017,1,11,3,212,39,10102,20,21,7,-9999,-9999
76,2017,1,11,6,180,5,10103,40,10,3,-9999,-9999
77,2017,1,11,8,190,30,-9999,0,0,-9999,-9999,-9999
78,2017,1,11,9,233,3,10125,80,10,5,-9999,-9999
79,2017,1,11,12,280,-13,10121,80,41,6,-9999,-9999
80,2017,1,11,15,315,20,10077,120,31,6,-9999,-9999
81,2017,1,11,18,308,41,10088,360,41,7,-9999,-9999
82,2017,1,11,21,244,75,10100,360,21,6,-9999,-9999
83,2017,1,12,0,202,29,10100,360,21,6,-9999,-9999
84,2017,1,12,6,160,-3,10090,40,21,3,-9999,-9999
85,2017,1,12,8,170,20,-9999,360,21,-9999,-9999,-9999
86,2017,1,12,9,196,6,10124,80,21,3,-9999,-9999
87,2017,1,12,12,293,-13,10123,80,51,2,-9999,-9999
88,2017,1,12,15,326,-20,10096,100,41,0,-9999,-9999
89,2017,1,12,18,318,-7,10088,40,31,0,-9999,-9999
90,2017,1,12,21,244,41,10101,360,21,0,-9999,-9999
91,2017,1,13,0,225,45,10112,40,21,0,-9999,-9999
92,2017,1,13,6,163,25,10111,40,10,0,-9999,-9999
93,2017,1,13,9,226,-23,10130,80,41,0,-9999,-9999
94,2017,1,13,12,296,-42,10121,80,51,0,-9999,-9999
95,2017,1,13,15,320,-11,10090,100,41,0,-9999,-9999
96,2017,1,13,18,307,0,10092,40,41,0,-9999,-9999
97,2017,1,13,21,242,44,10108,20,10,0,-9999,-9999
98,2017,1,14,0,216,42,10117,0,0,0,-9999,-9999
99,2017,1,14,6,192,23,10095,80,31,0,-9999,-9999
100,2017,1,14,9,215,10,10113,80,62,0,-9999,-9999
101,2017,1,14,12,296,40,10098,80,31,0,-9999,-9999
102,2017,1,14,15,334,74,10069,80,31,0,-9999,-9999
103,2017,1,14,18,326,71,10068,360,21,0,-9999,-9999
104,2017,1,15,8,200,90,-9999,80,31,-9999,-9999,-9999
105,2017,1,15,9,206,86,10107,0,0,6,-9999,-9999
106,2017,1,15,12,300,70,10098,120,21,5,-9999,-9999
107,2017,1,15,15,354,70,10065,100,31,5,-9999,-9999
108,2017,1,15,18,339,81,10073,360,31,6,-9999,-9999
109,2017,1,16,9,224,106,10106,180,21,0,-9999,-9999
110,2017,1,16,12,320,77,10096,140,31,0,-9999,-9999
111,2017,1,16,18,350,106,10059,0,0,0,-9999,-9999
112,2017,1,16,21,274,108,10084,0,0,0,-9999,-9999
113,2017,1,17,0,260,88,10091,0,0,0,-9999,-9999
114,2017,1,17,6,164,162,10110,20,21,7,-9999,-9999
115,2017,1,17,7,190,100,-9999,0,0,0,-9999,-9999
116,2017,1,17,9,240,108,10102,0,0,5,-9999,-9999
