,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR
0,2017,1,1,1,42,14,10178,330,98,-9999,-9999,-9999
1,2017,1,1,2,37,18,10184,340,72,-9999,-9999,-9999
2,2017,1,1,3,42,-3,10187,330,98,-9999,-9999,-9999
3,2017,1,1,4,35,15,10187,310,93,-9999,-9999,-9999
4,2017,1,1,5,45,8,10185,340,123,-9999,-9999,-9999
5,2017,1,1,6,45,6,10190,340,98,-9999,-9999,-9999
6,2017,1,1,7,32,17,10199,360,139,-9999,-9999,-9999
7,2017,1,1,8,40,23,10204,10,165,-9999,-9999,-9999
8,2017,1,1,9,51,28,10218,10,139,-9999,-9999,-9999
9,2017,1,1,10,37,28,10237,20,159,-9999,-9999,-9999
10,2017,1,1,11,52,22,10246,20,144,-9999,-9999,-9999
11,2017,1,1,12,57,7,10257,20,123,-9999,-9999,40
12,2017,1,1,13,60,7,10266,20,123,-9999,-9999,-9999
13,2017,1,1,14,55,-1,10273,20,118,-9999,-9999,-9999
14,2017,1,1,15,52,-3,10282,20,123,-9999,-9999,-9999
15,2017,1,1,16,51,-17,10293,10,113,-9999,-9999,-9999
16,2017,1,1,17,40,1,10301,340,67,-9999,-9999,-9999
17,2017,1,1,18,41,-4,10301,340,67,-9999,-9999,-9999
18,2017,1,1,19,42,-14,10303,340,67,-9999,-9999,-9999
19,2017,1,1,20,35,-4,10304,310,57,-9999,-9999,-9999
20,2017,1,1,21,37,3,10305,330,62,-9999,-9999,-9999
21,2017,1,1,22,27,8,10305,330,82,-9999,-9999,-9999
22,2017,1,1,23,27,10,10299,310,51,-9999,-9999,-9999
23,2017,1,2,0,32,12,10295,320,72,-9999,-9999,6
24,2017,1,2,1,26,9,10294,290,36,-9999,-9999,-9999
25,2017,1,2,2,30,13,10290,300,36,-9999,-9999,-9999
26,2017,1,2,3,35,-1,10286,300,57,-9999,-9999,-9999
27,2017,1,2,4,35,7,10278,300,72,-9999,-9999,-9999
28,2017,1,2,5,37,-1,10271,300,46,-9999,-9999,-9999
29,2017,1,2,6,36,7,10261,270,46,-9999,-9999,-9999
30,2017,1,2,7,32,19,10255,280,57,-9999,-9999,-9999
31,2017,1,2,8,45,14,10252,310,77,-9999,-9999,-9999
32,2017,1,2,9,47,23,10254,330,77,-9999,-9999,-9999
33,2017,1,2,10,50,10,10255,320,67,-9999,-9999,-9999
34,2017,1,2,11,42,15,10255,290,36,-9999,-9999,-9999
35,2017,1,2,12,50,18,10250,290,36,-9999,-9999,6
36,2017,1,2,13,47,28,10243,300,51,-9999,-9999,-9999
37,2017,1,2,14,55,34,10237,300,57,-9999,-9999,-9999
38,2017,1,2,15,55,32,10233,290,72,-9999,-9999,-9999
39,2017,1,2,16,52,36,10231,280,36,-9999,-9999,-9999
40,2017,1,2,17,57,41,10224,280,67,-9999,-9999,-9999
41,2017,1,2,18,51,36,10224,270,46,-9999,-9999,-9999
42,2017,1,2,19,57,47,10217,290,87,-9999,-9999,-9999
43,2017,1,2,20,60,44,10205,280,82,-9999,-9999,-9999
44,2017,1,2,21,62,50,10197,280,103,-9999,-9999,-9999
45,2017,1,2,22,67,59,10198,280,93,-9999,-9999,-9999
46,2017,1,2,23,71,62,10185,280,113,-9999,-9999,-9999
47,2017,1,3,0,77,67,10177,280,129,-9999,-9999,2
48,2017,1,3,1,80,67,10170,280,129,-9999,-9999,-9999
49,2017,1,3,2,81,74,10159,280,139,-9999,-9999,-9999
50,2017,1,3,3,85,75,10153,280,159,-9999,-9999,-9999
51,2017,1,3,4,86,78,10150,280,144,-9999,-9999,-9999
52,2017,1,3,5,86,80,10141,280,149,-9999,-9999,-9999
53,2017,1,3,6,85,80,10137,280,159,-9999,-9999,-9999
54,2017,1,3,7,86,82,10133,280,154,-9999,-9999,-9999
55,2017,1,3,8,85,80,10131,280,134,-9999,-9999,-9999
56,2017,1,3,9,81,73,10136,290,134,-9999,-9999,-9999
57,2017,1,3,10,82,73,10131,290,98,-9999,-9999,-9999
58,2017,1,3,11,76,59,10131,280,103,-9999,-9999,-9999
59,2017,1,3,12,82,56,10128,290,118,-9999,-9999,40
60,2017,1,3,13,80,54,10129,300,108,-9999,-9999,-9999
61,2017,1,3,14,70,51,10134,310,118,-9999,-9999,-9999
62,2017,1,3,15,71,29,10131,300,98,-9999,-9999,-9999
63,2017,1,3,16,67,34,10135,300,98,-9999,-9999,-9999
64,2017,1,3,17,65,33,10144,310,82,-9999,-9999,-9999
65,2017,1,3,18,57,9,10155,330,129,-9999,-9999,-9999
66,2017,1,3,19,51,-3,10162,310,103,-9999,-9999,-9999
67,2017,1,3,20,50,-17,10169,320,118,-9999,-9999,-9999
68,2017,1,3,21,50,-19,10179,320,108,-9999,-9999,-9999
69,2017,1,3,22,47,-29,10186,310,108,-9999,-9999,-9999
70,2017,1,3,23,45,-23,10186,310,98,-9999,-9999,-9999
71,2017,1,4,0,46,-3,10192,320,103,-9999,-9999,-9999
72,2017,1,4,1,45,1,10197,330,118,-9999,-9999,-9999
73,2017,1,4,2,36,13,10203,320,93,-9999,-9999,-9999
74,2017,1,4,3,41,-6,10208,320,113,-9999,-9999,-9999
75,2017,1,4,4,41,2,10214,320,103,-9999,-9999,-9999
76,2017,1,4,5,35,4,10222,320,113,-9999,-9999,-9999
77,2017,1,4,6,37,-16,10229,340,134,-9999,-9999,-9999
78,2017,1,4,7,37,-13,10236,350,123,-9999,-9999,-9999
79,2017,1,4,8,21,0,10245,340,108,-9999,-9999,-9999
80,2017,1,4,9,30,-11,10254,350,113,-9999,-9999,-9999
81,2017,1,4,10,30,-15,10260,340,113,-9999,-9999,-9999
82,2017,1,4,11,31,-25,10266,340,108,-9999,-9999,-9999
83,2017,1,4,12,31,-11,10270,340,108,-9999,-9999,-9999
84,2017,1,4,13,30,-5,10274,340,103,-9999,-9999,-9999
85,2017,1,4,14,26,1,10280,320,77,-9999,-9999,-9999
86,2017,1,4,15,27,-2,10284,340,87,-9999,-9999,-9999
87,2017,1,4,16,30,-12,10286,340,93,-9999,-9999,-9999
88,2017,1,4,17,36,-15,10290,350,72,-9999,-9999,-9999
89,2017,1,4,18,35,-28,10295,340,72,-9999,-9999,-9999
90,2017,1,4,19,32,-20,10298,350,57,-9999,-9999,-9999
91,2017,1,4,20,32,-11,10304,330,41,-9999,-9999,-9999
92,2017,1,4,21,35,-17,10308,340,51,-9999,-9999,-9999
93,2017,1,4,22,35,-21,10312,10,46,-9999,-9999,-9999
94,2017,1,4,23,35,-26,10313,350,41,-9999,-9999,-9999
95,2017,1,5,0,25,-7,10313,250,21,-9999,-9999,-9999
96,2017,1,5,1,21,2,10317,250,26,-9999,-9999,-9999
97,2017,1,5,2,22,1,10318,260,21,-9999,-9999,-9999
98,2017,1,5,3,22,-6,10318,230,21,-9999,-9999,-9999
99,2017,1,5,4,26,-14,10315,210,26,-9999,-9999,-9999
100,2017,1,5,5,27,-18,10314,140,26,-9999,-9999,-9999
101,2017,1,5,6,30,-18,10312,160,31,-9999,-9999,-9999
102,2017,1,5,7,26,-19,10310,200,26,-9999,-9999,-9999
103,2017,1,5,8,32,-16,10310,200,41,-9999,-9999,-9999
104,2017,1,5,9,31,-11,10309,200,31,-9999,-9999,-9999
105,2017,1,5,10,36,-9,10304,190,57,-9999,-9999,-9999
106,2017,1,5,11,37,0,10299,190,51,-9999,-9999,-9999
107,2017,1,5,12,40,-2,10290,190,77,-9999,-9999,-9999
108,2017,1,5,13,40,-6,10280,180,93,-9999,-9999,-9999
109,2017,1,5,14,35,-3,10279,200,62,-9999,-9999,-9999
110,2017,1,5,15,30,-4,10273,190,72,-9999,-9999,-9999
111,2017,1,5,16,27,0,10268,190,57,-9999,-9999,-9999
112,2017,1,5,17,30,-3,10256,200,77,-9999,-9999,-9999
113,2017,1,5,18,30,-1,10254,190,67,-9999,-9999,-9999
114,2017,1,5,19,36,0,10246,200,77,-9999,-9999,-9999
115,2017,1,5,20,37,2,10240,190,72,-9999,-9999,-9999
