,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR
0,2017,1,2,1,266,116,-9999,90,26,0,-9999,-9999
1,2017,1,3,7,401,22,-9999,200,103,0,-9999,-9999
2,2017,1,4,1,356,135,-9999,50,26,1,-9999,-9999
3,2017,1,4,7,395,62,-9999,230,26,2,-9999,-9999
4,2017,1,5,1,222,179,-9999,270,5,8,-9999,-9999
5,2017,1,5,7,241,158,-9999,270,51,1,-9999,-9999
6,2017,1,6,1,192,95,-9999,270,51,8,-9999,-9999
7,2017,1,6,7,236,110,-9999,230,103,8,-9999,-9999
8,2017,1,7,1,191,107,-9999,180,10,0,-9999,-9999
9,2017,1,8,1,242,115,-9999,90,15,0,-9999,-9999
10,2017,1,9,1,261,110,-9999,90,10,0,-9999,-9999
11,2017,1,9,7,356,69,-9999,20,10,0,-9999,-9999
12,2017,1,10,1,291,118,-9999,70,10,0,-9999,-9999
13,2017,1,10,7,365,140,-9999,230,51,0,-9999,-9999
14,2017,1,11,1,321,161,-9999,90,5,0,-9999,-9999
15,2017,1,11,7,322,150,-9999,230,77,2,-9999,-9999
16,2017,1,12,1,222,103,-9999,270,129,4,-9999,-9999
17,2017,1,12,7,232,113,-9999,230,103,3,-9999,-9999
18,2017,1,13,1,181,83,-9999,360,0,0,-9999,-9999
19,2017,1,13,7,271,113,-9999,160,129,0,-9999,-9999
20,2017,1,14,1,247,105,-9999,50,10,0,-9999,-9999
21,2017,1,15,1,292,125,-9999,50,15,0,-9999,-9999
22,2017,1,16,1,231,146,-9999,230,51,3,-9999,-9999
23,2017,1,16,7,266,139,-9999,230,103,2,-9999,-9999
24,2017,1,17,1,216,99,-9999,90,77,0,-9999,-9999
25,2017,1,17,7,301,95,-9999,230,26,0,-9999,0
26,2017,1,18,1,232,124,-9999,50,103,1,-9999,-9999
27,2017,1,18,7,331,66,-9999,130,10,6,-9999,-9999
28,2017,1,19,1,211,111,-9999,230,129,7,-9999,-9999
29,2017,1,19,7,241,128,-9999,270,103,1,-9999,-9999
30,2017,1,20,1,217,93,-9999,90,26,0,-9999,-9999
31,2017,1,20,7,262,123,-9999,180,26,0,-9999,-9999
32,2017,1,22,1,206,119,-9999,180,26,1,-9999,-9999
33,2017,1,23,1,211,111,-9999,180,26,4,-9999,-9999
34,2017,1,23,7,252,107,-9999,230,51,0,-9999,-9999
35,2017,1,24,1,231,103,-9999,50,77,0,-9999,-9999
36,2017,1,24,7,337,74,-9999,90,51,0,-9999,-9999
37,2017,1,25,1,301,107,-9999,130,77,0,-9999,-9999
38,2017,1,25,7,390,74,-9999,200,41,0,-9999,-9999
39,2017,1,26,1,331,61,-9999,20,15,0,-9999,-9999
40,2017,1,27,1,291,141,-9999,230,26,3,-9999,-9999
41,2017,1,27,7,355,179,-9999,230,77,0,-9999,0
42,2017,1,28,1,266,140,-9999,90,31,3,-9999,-9999
43,2017,1,29,1,237,-9999,-9999,360,5,8,-9999,-9999
44,2017,1,30,1,181,163,-9999,50,26,8,-9999,-9999
45,2017,1,30,7,206,189,-9999,90,10,8,-9999,100
46,2017,1,31,1,181,172,-9999,160,26,8,-9999,-9999
47,2017,1,31,7,205,193,-9999,180,51,8,-9999,10
48,2017,2,1,1,222,175,-9999,160,41,1,-9999,-9999
49,2017,2,1,7,292,191,-9999,50,26,2,-9999,-9999
50,2017,2,2,1,221,185,-9999,50,51,8,-9999,-9999
51,2017,2,2,7,312,204,-9999,50,62,2,-9999,-9999
52,2017,2,3,1,271,210,-9999,270,5,4,-9999,-9999
53,2017,2,3,7,322,180,-9999,230,77,1,-9999,-9999
54,2017,2,4,1,221,153,-9999,230,21,0,-9999,-9999
55,2017,2,5,1,221,133,-9999,90,31,1,-9999,-9999
56,2017,2,6,1,231,136,-9999,50,51,0,-9999,-9999
57,2017,2,6,7,331,131,-9999,230,5,1,-9999,-9999
58,2017,2,8,1,191,96,-9999,230,77,4,-9999,-9999
59,2017,2,8,7,266,63,-9999,130,62,2,-9999,-9999
