,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,2017,1,1,2,,,161.0,,,,78.0,10084.0,,,340.0,,,,26.0,,,,,2.0,,,,-1.0,-9999.0,
1,2017,1,1,3,,,150.0,,,,83.0,10100.0,,,310.0,,,,57.0,-9999.0,,,,,0.0,-9999.0,,,,
2,2017,1,1,4,,,128.0,,,100.0,10102.0,,,290.0,,,,21.0,-9999.0,,,,-1.0,-9999.0,,,,,,
3,2017,1,1,5,,,122.0,,,106.0,10102.0,,,,,0.0,,,,,0.0,-9999.0,,,,-1.0,-9999.0,,,
4,2017,1,1,7,,,100.0,,,,89.0,10095.0,,,260.0,,,,15.0,,,,,4.0,,,,,0.0,-9999.0
5,2017,1,1,9,,,100.0,,,,89.0,10092.0,,,210.0,,,,36.0,-9999.0,,,,,0.0,-9999.0,,,,
6,2017,1,1,15,,,106.0,,,,72.0,10103.0,,,220.0,,,,51.0,,,,,0.0,,,,,0.0,-9999.0
7,2017,1,1,16,,,144.0,,,,78.0,10100.0,,,210.0,,,,41.0,,,,,0.0,,,,,0.0,-9999.0
8,2017,1,1,17,,,172.0,,,,67.0,10097.0,,,230.0,,,,41.0,,,,,0.0,,,,,0.0,-9999.0
9,2017,1,1,18,,,194.0,,,,67.0,10086.0,,,180.0,,,,41.0,,,,,0.0,,,,,0.0,-9999.0
10,2017,1,1,19,,,206.0,,,,67.0,10067.0,,,190.0,,,,88.0,,,,,2.0,,,,,0.0,-9999.0
11,2017,1,1,20,,,217.0,,,,44.0,10050.0,,,200.0,,,,62.0,,,,,0.0,,,,,0.0,-9999.0
12,2017,1,1,21,,,228.0,,,,33.0,10038.0,,,230.0,,,,67.0,,,,,0.0,,,,,0.0,-9999.0
13,2017,1,1,22,,,222.0,,,,33.0,10032.0,,,200.0,,,,67.0,,,,,0.0,,,,,0.0,-9999.0
