,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,2002,1,1,3,,,-37.0,,,-89.0,10039.0,,,290.0,,,,70.0,-9999.0,-9999.0,-9999.0,,,
1,2002,1,1,21,,,-21.0,,,-34.0,10049.0,,,200.0,,,120.0,-9999.0,-9999.0,-9999.0,,,,
2,2002,1,2,3,,,,21.0,,,,11.0,,9957.0,,,220.0,,,120.0,-9999.0,-9999.0,-9999.0,
3,2002,1,3,18,,,-15.0,,,-43.0,10011.0,,,270.0,,,110.0,,,,,2.0,-9999.0,-9999.0
4,2002,1,3,21,,,,,9.0,,,-29.0,10037.0,,,260.0,,,140.0,-9999.0,-9999.0,-9999.0,,
5,2002,1,4,3,,,,31.0,,,,,0.0,10091.0,,,250.0,,,120.0,-9999.0,-9999.0,-9999.0,
6,2002,1,4,21,,,,13.0,,,,-2.0,10111.0,,,150.0,,,,20.0,-9999.0,-9999.0,-9999.0,
7,2002,1,5,3,,,,21.0,,,,17.0,10055.0,,,200.0,,,,30.0,-9999.0,-9999.0,-9999.0,
8,2002,1,5,21,,,,16.0,,,,-9.0,10033.0,,,260.0,,,,60.0,-9999.0,-9999.0,-9999.0,
9,2002,1,6,3,,,,,4.0,,,,-2.0,10016.0,,,160.0,,,,50.0,-9999.0,-9999.0,-9999.0
10,2002,1,7,3,,,,15.0,,,,,5.0,,9664.0,,,220.0,,,210.0,-9999.0,-9999.0,-9999.0
11,2002,1,7,21,,,,13.0,,,-20.0,,9762.0,,,230.0,,,170.0,-9999.0,-9999.0,-9999.0,,
12,2002,1,8,3,,,-19.0,,,-71.0,,9764.0,,,240.0,,,170.0,-9999.0,-9999.0,-9999.0,,,
13,2002,1,8,21,,,-25.0,,,-69.0,,9902.0,,,260.0,,,110.0,-9999.0,-9999.0,-9999.0,,,
14,2002,1,9,3,,,,10.0,,,-18.0,,9926.0,,,260.0,,,120.0,-9999.0,-9999.0,-9999.0,,
15,2002,1,9,21,,,,13.0,,,-34.0,,9759.0,,,260.0,,,100.0,-9999.0,-9999.0,-9999.0,,
16,2002,1,10,3,,,-34.0,,,-47.0,,9797.0,,,280.0,,,,50.0,-9999.0,-9999.0,-9999.0,,
17,2002,1,10,21,,,-31.0,,,-45.0,,9861.0,,,140.0,,,,50.0,-9999.0,-9999.0,-9999.0,,
18,2002,1,11,3,,,-13.0,,,-23.0,,9857.0,,,270.0,,,120.0,-9999.0,-9999.0,-9999.0,,,
19,2002,1,11,21,,,-28.0,,,-45.0,,9992.0,,,230.0,,,,20.0,-9999.0,-9999.0,-9999.0,,
20,2002,1,12,3,,,,-3.0,,,-12.0,,9960.0,,,220.0,,,110.0,-9999.0,-9999.0,-9999.0,,
21,2002,1,12,21,,,-86.0,,-127.0,-9999.0,,,360.0,,,,50.0,-9999.0,-9999.0,-9999.0,,,,
22,2002,1,13,0,,,-91.0,,-140.0,10036.0,,,360.0,,,,70.0,,,,,2.0,-9999.0,-9999.0
23,2002,1,13,3,,,-89.0,,-141.0,10059.0,,,360.0,,,,70.0,-9999.0,-9999.0,-9999.0,,,,
24,2002,1,13,6,,,-91.0,,-142.0,10067.0,,,360.0,,,,70.0,,,,,2.0,-9999.0,-9999.0
25,2002,1,13,15,,,-84.0,,-122.0,10053.0,,,360.0,,,110.0,,,,,7.0,-9999.0,-9999.0,
26,2002,1,13,18,,,-74.0,,-102.0,10041.0,,,,10.0,,,120.0,,,,,7.0,-9999.0,-9999.0
27,2002,1,13,21,,,-64.0,,,-86.0,10042.0,,,,10.0,,,140.0,-9999.0,-9999.0,-9999.0,,,
28,2002,1,14,3,,,-48.0,,,-74.0,10072.0,,,360.0,,,,90.0,-9999.0,-9999.0,-9999.0,,,
29,2002,1,14,15,,,-39.0,,,-73.0,10073.0,,,100.0,,,140.0,,,,,7.0,-9999.0,-9999.0
30,2002,1,14,21,,,-30.0,,,-38.0,10033.0,,,,90.0,,,,90.0,-9999.0,-9999.0,-9999.0,,
31,2002,1,15,3,,,,-4.0,,,-31.0,,9977.0,,,,70.0,,,130.0,-9999.0,-9999.0,-9999.0,
32,2002,1,15,21,,,,,5.0,,,-15.0,,9998.0,,,100.0,,,100.0,-9999.0,-9999.0,-9999.0,
33,2002,1,16,3,,,,-9.0,,,-13.0,10015.0,,,100.0,,,,60.0,-9999.0,-9999.0,-9999.0,,
34,2002,1,16,21,,,-33.0,,,-45.0,10028.0,,,310.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,
35,2002,1,17,3,,,,-9.0,,,-14.0,10022.0,,,100.0,,,,70.0,-9999.0,-9999.0,-9999.0,,
36,2002,1,18,3,,,,12.0,,,,-5.0,,9972.0,,,100.0,,,,60.0,-9999.0,-9999.0,-9999.0
