,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
50,2004,2,5,6,,,283,,,240.0,10064.0,,,,40.0,,,,51.0,,,,,2.0,-9999.0,,,,,0.0
51,2004,2,6,6,,,276,,,250.0,10054.0,,,110.0,,,,67.0,,,,,7.0,-9999.0,,,,41.0,,
52,2004,2,6,18,,,280,,,250.0,10072.0,,,110.0,,,,62.0,,,,,3.0,-9999.0,,,,,0.0,
53,2004,2,11,6,,,278,,,230.0,10088.0,,,,90.0,,,,77.0,,,,,2.0,-9999.0,,,,,0.0
54,2004,2,12,6,,,274,,,240.0,10083.0,,,100.0,,,,41.0,,,,,3.0,-9999.0,,,,,0.0,
55,2004,2,13,18,,,275,,,240.0,10092.0,,,,70.0,,,,31.0,,,,,1.0,-9999.0,,,,,0.0
56,2004,2,14,6,,,278,,,240.0,10063.0,,,,90.0,,,,41.0,,,,,4.0,-9999.0,,,,,0.0
57,2004,2,14,18,,,273,,,240.0,10093.0,,,,90.0,,,,21.0,,,,,3.0,-9999.0,,,,,0.0
58,2004,2,15,6,,,277,,,230.0,10072.0,,,100.0,,,,31.0,,,,,2.0,-9999.0,,,,,0.0,
59,2004,2,16,18,,,274,,,240.0,10095.0,,,,90.0,,,,21.0,,,,,1.0,-9999.0,-9999.0,,,,
60,2004,2,17,6,,,280,,,240.0,10086.0,,,100.0,,,,31.0,,,,,3.0,-9999.0,,,,,0.0,
61,2004,2,20,18,,,276,,,250.0,10097.0,,,100.0,,,,31.0,,,,,2.0,-9999.0,,,,,0.0,
62,2004,2,21,6,,,283,,,250.0,10083.0,-9999.0,,,,10.0,,,,,2.0,-9999.0,,,,,0.0,,,
63,2004,2,23,6,,,277,,,250.0,10086.0,,,,80.0,,,,26.0,,,,,8.0,-9999.0,,,,,0.0
64,2004,2,24,6,,,282,,,250.0,10084.0,,,,80.0,,,,26.0,,,,,3.0,-9999.0,,,,,0.0
65,2004,2,24,18,,,280,,,240.0,10096.0,,,,90.0,,,,21.0,,,,,2.0,-9999.0,,,,,0.0
66,2004,2,25,6,,,281,,,240.0,10078.0,,,,80.0,,,,51.0,,,,,1.0,-9999.0,,,,,0.0
67,2004,2,25,18,,,278,,,250.0,10087.0,,,,80.0,,,,62.0,,,,,5.0,-9999.0,,,,,0.0
68,2004,2,26,6,,,278,,,240.0,10069.0,,,,90.0,,,,72.0,,,,,6.0,-9999.0,,,,,0.0
69,2004,2,26,18,,,277,,,240.0,10095.0,,,100.0,,,,31.0,,,,,6.0,-9999.0,,,,,0.0,
70,2004,2,27,6,,,283,,,240.0,10071.0,,,,80.0,,,,31.0,,,,,4.0,-9999.0,,,,,0.0
71,2004,2,28,6,,,288,,,250.0,10069.0,,,,90.0,,,,41.0,,,,,2.0,-9999.0,,,,,0.0
72,2004,2,29,18,,,280,,,250.0,10071.0,-9999.0,,,,10.0,,,,,3.0,-9999.0,,,,,0.0,,,
73,2004,3,1,6,,,280,,,250.0,10064.0,,,360.0,,,,72.0,,,,,7.0,-9999.0,,,,,0.0,
74,2004,3,1,18,,,275,,,260.0,10072.0,,,,20.0,,,,51.0,,,,,7.0,-9999.0,,,,,0.0
75,2004,3,2,6,,,280,,,240.0,10063.0,,,,30.0,,,,57.0,,,,,6.0,-9999.0,,,,,0.0
76,2004,3,4,18,,,279,,,250.0,10080.0,,,,70.0,,,,21.0,,,,,4.0,-9999.0,,,,,0.0
77,2004,3,5,6,,,278,,,240.0,10069.0,,,,70.0,,,,26.0,,,,,8.0,-9999.0,,,,,0.0
78,2004,3,5,18,,,281,,,250.0,10071.0,,,,90.0,,,,72.0,,,,,4.0,-9999.0,,,,,0.0
79,2004,3,6,18,,,281,,,250.0,10076.0,,,,90.0,,,,41.0,,,,,3.0,-9999.0,,,,,0.0
80,2004,3,7,6,,,277,,,260.0,10063.0,,,,80.0,,,,62.0,,,,,6.0,-9999.0,,,,10.0,
81,2004,3,9,6,,,283,,,250.0,10066.0,,,110.0,,,,72.0,,,,,3.0,-9999.0,-9999.0,,,,,
82,2004,3,11,18,,,277,,,250.0,10083.0,,,,70.0,,,,21.0,,,,,5.0,-9999.0,,,,,0.0
83,2004,3,12,6,,,284,,,250.0,10072.0,-9999.0,,,,15.0,,,,,3.0,-9999.0,,,,,0.0,,,
84,2004,3,12,18,,,276,,,250.0,10085.0,,,,70.0,,,,31.0,,,,,3.0,-9999.0,,,,,0.0
85,2004,3,13,6,,,284,,,250.0,10070.0,-9999.0,,,,10.0,,,,,3.0,-9999.0,,,,,0.0,,,
86,2004,3,14,6,,,280,,,250.0,10043.0,,,100.0,,,129.0,,,,,6.0,-9999.0,,,,,0.0,,
87,2004,3,14,18,,,276,,,250.0,10068.0,,,,80.0,,,,51.0,,,,,3.0,-9999.0,,,,,0.0
88,2004,3,15,6,,,284,,,260.0,10046.0,,,,90.0,,,,82.0,,,,,7.0,-9999.0,-9999.0,,,,
89,2004,3,15,18,,,280,,,250.0,10066.0,,,,80.0,,,,31.0,,,,,5.0,-9999.0,,,,,0.0
90,2004,3,16,18,,,275,,,250.0,10066.0,,,,70.0,,,,31.0,,,,,3.0,-9999.0,,,,,0.0
91,2004,3,17,6,,,279,,,240.0,10059.0,,,,70.0,,,,67.0,,,,,4.0,-9999.0,,,,,0.0
92,2004,3,18,6,,,276,,,250.0,10049.0,,,,80.0,,,,51.0,,,,,6.0,-9999.0,-9999.0,,,,
93,2004,3,19,6,,,286,,,250.0,10037.0,,,,70.0,,,,62.0,,,,,7.0,-9999.0,,,,,0.0
94,2004,3,19,18,,,284,,,250.0,10058.0,,,,70.0,,,,41.0,,,,,3.0,-9999.0,,,,,0.0
95,2004,3,20,6,,,283,,,260.0,10040.0,,,100.0,,,,41.0,,,,,4.0,-9999.0,-9999.0,,,,,
96,2004,3,21,6,,,282,,,260.0,10045.0,,,100.0,,,,31.0,,,,,2.0,-9999.0,,,,,0.0,
97,2004,3,22,6,,,279,,,260.0,10061.0,,,,90.0,,,,31.0,,,,,4.0,-9999.0,,,,,0.0
98,2004,3,22,18,,,270,,,260.0,10077.0,,,,80.0,,,,31.0,,,,,6.0,-9999.0,,,,,5.0
99,2004,3,23,6,,,280,,,250.0,10068.0,,,,80.0,,,,21.0,,,,,2.0,-9999.0,,,,,0.0
100,2004,3,24,6,,,277,,,250.0,10076.0,-9999.0,,,,15.0,,,,,6.0,-9999.0,,,,,0.0,,,
101,2004,3,24,18,,,276,,,240.0,10090.0,,,,50.0,,,,31.0,,,,,2.0,-9999.0,,,,,0.0
102,2004,3,26,18,,,271,,,250.0,10122.0,,,,,0.0,,,,,0.0,,,,,7.0,-9999.0,-9999.0,,
103,2004,3,27,18,,,282,,,250.0,10116.0,,,,70.0,,,,41.0,,,,,3.0,-9999.0,,,,,0.0
104,2004,3,28,6,,,273,,,250.0,10103.0,,,,80.0,,,,21.0,,,,,6.0,-9999.0,,,,,0.0
