,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2010,1,7,14,,-110.0,,-140.0,-9999.0,-9999.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,,
2010,1,7,15,,,-90.0,,-130.0,-9999.0,,,,40.0,,,,26.0,-9999.0,-9999.0,-9999.0
2010,1,7,16,,,-90.0,,-140.0,-9999.0,,,,40.0,,,,31.0,-9999.0,-9999.0,-9999.0
2010,1,7,17,,,-80.0,,-140.0,-9999.0,-9999.0,,,,15.0,-9999.0,-9999.0,-9999.0,,,
2010,1,7,18,,-100.0,,-150.0,-9999.0,,,330.0,,,,15.0,-9999.0,-9999.0,-9999.0,,
2010,1,7,20,,-110.0,,-160.0,-9999.0,,,,40.0,,,,15.0,-9999.0,-9999.0,-9999.0,
2010,1,7,21,,,-90.0,,-140.0,-9999.0,-9999.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,
2010,1,8,2,,,-90.0,,-160.0,-9999.0,,,,50.0,,,,26.0,-9999.0,-9999.0,-9999.0
2010,1,8,3,,,-80.0,,-120.0,-9999.0,-9999.0,,,,21.0,-9999.0,-9999.0,-9999.0,,,
2010,1,8,4,,,-80.0,,-130.0,-9999.0,,,360.0,,,,15.0,-9999.0,-9999.0,-9999.0,
2010,1,8,20,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,
2010,1,9,9,,,,40.0,,,,20.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,9,10,,,,20.0,,,,10.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,9,11,,,,10.0,,,,10.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,9,13,,,,10.0,,,,10.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,9,14,,,,10.0,,,,,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,
2010,1,10,8,,,,20.0,,,,10.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,10,15,,,,40.0,,,,30.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,10,16,,,,40.0,,,,30.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,10,17,,,,40.0,,,,40.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,10,18,,,,40.0,,,,40.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,10,19,,,,40.0,,,,40.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,10,20,,,,40.0,,,,40.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,10,21,,,,40.0,,,,40.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,10,22,,,,50.0,,,,50.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,11,5,,,,50.0,,,,40.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,11,6,,,,50.0,,,,50.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,11,7,,,,50.0,,,,50.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,11,8,,,,50.0,,,,50.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,11,9,,,,50.0,,,,50.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,11,10,,,,50.0,,,,50.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,11,11,,,,50.0,,,,50.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,11,12,,,,50.0,,,,50.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,11,13,,,,50.0,,,,50.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,11,14,,,,40.0,,,,40.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,11,15,,,,50.0,,,,50.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,12,5,,,,30.0,,,,30.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,12,6,,,,30.0,,,,30.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
2010,1,12,7,,,,30.0,,,,30.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
