,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
49,2013,1,3,8,,,,80.0,,,,60.0,-9999.0,,,270.0,,,170.0,,,,,2.0,-9999.0,-9999.0,
50,2013,1,3,9,,,,80.0,,,,60.0,-9999.0,,,280.0,,,180.0,,,,,2.0,-9999.0,-9999.0,
51,2013,1,3,10,,,,80.0,,,,50.0,-9999.0,,,280.0,,,190.0,,,,,2.0,-9999.0,-9999.0,
52,2013,1,3,11,,,,80.0,,,,40.0,-9999.0,,,280.0,,,175.0,-9999.0,-9999.0,-9999.0,,,,,
53,2013,1,3,12,,,,80.0,,,,50.0,-9999.0,,,290.0,,,180.0,-9999.0,-9999.0,-9999.0,,,,,
54,2013,1,3,13,,,,80.0,,,,50.0,-9999.0,,,290.0,,,170.0,-9999.0,-9999.0,-9999.0,,,,,
55,2013,1,3,14,,,,80.0,,,,50.0,-9999.0,,,280.0,,,159.0,,,,,2.0,-9999.0,-9999.0,
56,2013,1,3,15,,,,80.0,,,,50.0,-9999.0,,,280.0,,,154.0,-9999.0,-9999.0,-9999.0,,,,,
57,2013,1,3,16,,,,80.0,,,,50.0,-9999.0,,,270.0,,,149.0,,,,,2.0,-9999.0,-9999.0,
58,2013,1,3,17,,,,80.0,,,,50.0,-9999.0,,,270.0,,,134.0,,,,,2.0,-9999.0,-9999.0,
59,2013,1,3,18,,,,80.0,,,,60.0,-9999.0,,,270.0,,,129.0,,,,,2.0,-9999.0,-9999.0,
60,2013,1,3,19,,,,80.0,,,,60.0,-9999.0,,,260.0,,,134.0,,,,,2.0,-9999.0,-9999.0,
61,2013,1,3,20,,,,80.0,,,,60.0,-9999.0,,,260.0,,,118.0,,,,,7.0,-9999.0,-9999.0,
62,2013,1,3,21,,,,80.0,,,,70.0,-9999.0,,,260.0,,,139.0,,,,,8.0,-9999.0,-9999.0,
63,2013,1,3,22,,,,80.0,,,,60.0,-9999.0,,,260.0,,,129.0,,,,,8.0,-9999.0,-9999.0,
64,2013,1,3,23,,,,80.0,,,,60.0,-9999.0,,,230.0,,,,98.0,,,,,7.0,-9999.0,-9999.0
65,2013,1,4,0,,,,80.0,,,,60.0,-9999.0,,,210.0,,,,93.0,,,,,7.0,-9999.0,-9999.0
66,2013,1,4,1,,,,80.0,,,,70.0,-9999.0,,,230.0,,,129.0,,,,,8.0,-9999.0,-9999.0,
67,2013,1,4,2,,,,80.0,,,,70.0,-9999.0,,,240.0,,,144.0,,,,,0.0,-9999.0,-9999.0,
68,2013,1,4,3,,,,90.0,,,,80.0,-9999.0,,,260.0,,,180.0,,,,,8.0,-9999.0,-9999.0,
69,2013,1,4,4,,,,90.0,,,,90.0,-9999.0,,,270.0,,,175.0,,,,,8.0,-9999.0,-9999.0,
70,2013,1,4,5,,,,90.0,,,,90.0,-9999.0,,,270.0,,,165.0,,,,,8.0,-9999.0,-9999.0,
71,2013,1,4,6,,,,90.0,,,,80.0,-9999.0,,,270.0,,,159.0,,,,,8.0,-9999.0,-9999.0,
72,2013,1,4,7,,,,90.0,,,,80.0,-9999.0,,,270.0,,,139.0,,,,,7.0,-9999.0,-9999.0,
