,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
2007,1,1,3,,,,40.0,,,,,7.0,,9792.0,,,220.0,,,,30.0,,,,,7.0,-9999.0,-9999.0
2007,1,1,6,,,,49.0,,,,,1.0,,9775.0,,,170.0,,,,40.0,,,,,7.0,-9999.0,-9999.0
2007,1,1,9,,,,49.0,,,,-7.0,,9776.0,,,180.0,,,,60.0,,,,,7.0,-9999.0,-9999.0,
2007,1,1,12,,,,52.0,,,-26.0,,9776.0,,,160.0,,,,60.0,,,,,5.0,-9999.0,-9999.0,,
2007,1,1,15,,,,45.0,,,-37.0,,9741.0,,,210.0,,,,30.0,,,,,5.0,-9999.0,-9999.0,,
2007,1,1,18,,,,46.0,,,-39.0,,9745.0,,,160.0,,,,50.0,,,,,5.0,-9999.0,-9999.0,,
2007,1,1,21,,,,48.0,,,-44.0,,9747.0,,,160.0,,,,60.0,,,,,7.0,-9999.0,-9999.0,,
2007,1,2,0,,,,46.0,,,-36.0,,9749.0,,,160.0,,,,20.0,,,,,4.0,-9999.0,-9999.0,,
2007,1,2,3,,,,42.0,,,-28.0,,9748.0,,,160.0,,,,40.0,,,,,4.0,-9999.0,-9999.0,,
2007,1,2,6,,,,44.0,,,-41.0,,9748.0,,,150.0,,,,30.0,,,,,6.0,-9999.0,-9999.0,,
2007,1,2,9,,,,16.0,,,-53.0,,9758.0,,,220.0,,,,20.0,,,,,2.0,-9999.0,-9999.0,,
2007,1,2,12,,,,14.0,,,-55.0,,9766.0,,,310.0,,,,20.0,,,,,2.0,-9999.0,-9999.0,,
2007,1,2,15,,,,,0.0,,,-43.0,,9784.0,,,290.0,,,,10.0,,,,,2.0,-9999.0,-9999.0,
2007,1,2,18,,,,-7.0,,,-29.0,,9799.0,,,210.0,,,,30.0,,,,,6.0,-9999.0,-9999.0,,
2007,1,2,21,,,,17.0,,,-22.0,,9833.0,,,200.0,,,,30.0,,,,,7.0,-9999.0,-9999.0,,
2007,1,3,6,,,,17.0,,,,,2.0,,9899.0,,,250.0,,,,20.0,,,,,8.0,-9999.0,-9999.0
2007,1,3,9,,,,12.0,,,-33.0,,9921.0,,,250.0,,,,20.0,,,,,6.0,-9999.0,-9999.0,,
2007,1,3,12,,,,-3.0,,,-18.0,,9934.0,,,140.0,,,,20.0,,,,,6.0,-9999.0,-9999.0,,
2007,1,3,15,,,,-4.0,,,-26.0,,9930.0,-9999.0,-9999.0,,,,,4.0,-9999.0,-9999.0,,,,,,,
2007,1,3,18,,,-10.0,,,-21.0,,9921.0,,,,,0.0,,,,,0.0,,,,,3.0,-9999.0,-9999.0
2007,1,3,21,,,-35.0,,,-45.0,,9903.0,,,,,0.0,,,,,0.0,,,,,3.0,-9999.0,-9999.0
