,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,2008,1,1,1,,,,16.0,,,,-8.0,10086.0,,,200.0,,,,80.0,-9999.0,-9999.0,-9999.0,,,,,,,
1,2008,1,1,2,,,,16.0,,,,-4.0,10087.0,,,210.0,,,,90.0,-9999.0,-9999.0,-9999.0,,,,,,,
2,2008,1,1,3,,,,19.0,,,,-1.0,10089.0,,,200.0,,,,90.0,-9999.0,-9999.0,-9999.0,,,,,,,
3,2008,1,1,4,,,,15.0,,,,,0.0,10091.0,,,200.0,,,,80.0,-9999.0,-9999.0,-9999.0,,,,,,
4,2008,1,1,5,,,,16.0,,,,,1.0,10090.0,,,200.0,,,,70.0,-9999.0,-9999.0,-9999.0,,,,,,
5,2008,1,1,6,,,,18.0,,,,,2.0,10082.0,,,180.0,,,,90.0,,,,,8.0,-9999.0,-9999.0,,
6,2008,1,1,7,,,,22.0,,,,,2.0,10077.0,,,170.0,,,130.0,-9999.0,-9999.0,-9999.0,,,,,,,
7,2008,1,1,8,,,,23.0,,,,,4.0,10069.0,,,170.0,,,130.0,-9999.0,-9999.0,-9999.0,,,,,,,
8,2008,1,1,9,,,,26.0,,,,,6.0,10068.0,,,170.0,,,140.0,,,,,8.0,-9999.0,-9999.0,,,
9,2008,1,1,10,,,,26.0,,,,,5.0,10065.0,,,170.0,,,140.0,-9999.0,-9999.0,-9999.0,,,,,,,
10,2008,1,1,11,,,,25.0,,,,,3.0,10060.0,,,170.0,,,130.0,-9999.0,-9999.0,-9999.0,,,,,,,
11,2008,1,1,12,,,,25.0,,,,,3.0,10053.0,,,170.0,,,130.0,,,,,8.0,-9999.0,,,,-1.0
12,2008,1,1,13,,,,24.0,,,,,1.0,10045.0,,,170.0,,,130.0,-9999.0,-9999.0,-9999.0,,,,,,,
13,2008,1,1,14,,,,23.0,,,,,4.0,10039.0,,,160.0,,,140.0,-9999.0,-9999.0,-9999.0,,,,,,,
14,2008,1,1,15,,,,24.0,,,,,6.0,10032.0,,,160.0,,,140.0,,,,,8.0,-9999.0,-9999.0,,,
15,2008,1,1,16,,,,23.0,,,,,6.0,10023.0,,,170.0,,,130.0,-9999.0,-9999.0,-9999.0,,,,,,,
16,2008,1,1,17,,,,25.0,,,,,7.0,10014.0,,,160.0,,,140.0,-9999.0,-9999.0,-9999.0,,,,,,,
17,2008,1,1,18,,,,25.0,,,,,7.0,10006.0,,,160.0,,,150.0,,,,,8.0,-9999.0,-9999.0,,,
18,2008,1,1,19,,,,24.0,,,,,9.0,10002.0,,,170.0,,,130.0,-9999.0,-9999.0,-9999.0,,,,,,,
19,2008,1,1,20,,,,25.0,,,,12.0,,9998.0,,,180.0,,,130.0,-9999.0,-9999.0,-9999.0,,,,,,,
20,2008,1,1,21,,,,27.0,,,,13.0,,9992.0,,,180.0,,,140.0,-9999.0,-9999.0,-9999.0,,,,,,,
