,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,2000,1,1,1,,,-10.0,,,-60.0,-9999.0,,,330.0,,,,36.0,,,,,8.0,-9999.0,-9999.0,,
1,2000,1,1,2,,,-10.0,,,-60.0,-9999.0,,,,20.0,,,,46.0,,,,,8.0,-9999.0,-9999.0,
2,2000,1,1,3,,,-20.0,,,-70.0,-9999.0,,,,20.0,,,,31.0,,,,,8.0,-9999.0,-9999.0,
3,2000,1,1,4,,,-20.0,,,-70.0,-9999.0,,,,30.0,,,,15.0,,,,,8.0,-9999.0,-9999.0,
4,2000,1,1,5,,,-30.0,,,-70.0,-9999.0,,,,20.0,,,,26.0,,,,,8.0,-9999.0,-9999.0,
5,2000,1,1,6,,,-30.0,,,-70.0,-9999.0,,,,50.0,,,,26.0,,,,,8.0,-9999.0,-9999.0,
6,2000,1,1,7,,,-30.0,,,-70.0,-9999.0,,,,90.0,,,,26.0,,,,,8.0,-9999.0,-9999.0,
7,2000,1,1,9,,,-30.0,,,-70.0,-9999.0,,,110.0,,,,21.0,,,,,8.0,-9999.0,-9999.0,,
8,2000,1,1,10,,,-30.0,,,-70.0,-9999.0,,,100.0,,,,26.0,,,,,8.0,-9999.0,-9999.0,,
9,2000,1,1,11,,,-30.0,,,-60.0,-9999.0,,,120.0,,,,26.0,,,,,8.0,-9999.0,-9999.0,,
10,2000,1,1,12,,,-30.0,,,-60.0,-9999.0,,,150.0,,,,46.0,,,,,8.0,-9999.0,-9999.0,,
11,2000,1,1,13,,,-30.0,,,-60.0,-9999.0,,,150.0,,,,46.0,,,,,8.0,-9999.0,-9999.0,,
12,2000,1,1,14,,,-30.0,,,-50.0,-9999.0,,,170.0,,,,67.0,,,,,8.0,-9999.0,-9999.0,,
13,2000,1,1,15,,,-20.0,,,-50.0,-9999.0,,,170.0,,,,82.0,,,,,8.0,-9999.0,-9999.0,,
14,2000,1,1,16,,,-20.0,,,-60.0,-9999.0,,,180.0,,,,57.0,,,,,8.0,-9999.0,-9999.0,,
15,2000,1,1,17,,,-20.0,,,-60.0,-9999.0,,,180.0,,,,82.0,,,,,7.0,-9999.0,-9999.0,,
16,2000,1,1,18,,,,10.0,,,-50.0,-9999.0,,,200.0,,,,72.0,,,,,0.0,-9999.0,-9999.0,
17,2000,1,1,19,,,,30.0,,,-50.0,-9999.0,,,190.0,,,,77.0,,,,,0.0,-9999.0,-9999.0,
18,2000,1,1,20,,,,40.0,,,-40.0,-9999.0,,,200.0,,,,62.0,,,,,0.0,-9999.0,-9999.0,
19,2000,1,1,21,,,,50.0,,,-40.0,-9999.0,,,210.0,,,,67.0,,,,,0.0,-9999.0,-9999.0,
20,2000,1,1,22,,,,50.0,,,-40.0,-9999.0,,,200.0,,,,41.0,,,,,0.0,-9999.0,-9999.0,
21,2000,1,1,23,,,,30.0,,,-30.0,-9999.0,,,220.0,,,,31.0,,,,,0.0,-9999.0,-9999.0,
22,2000,1,2,0,,,-10.0,,,-60.0,-9999.0,,,240.0,,,,41.0,,,,,0.0,-9999.0,-9999.0,,
23,2000,1,2,1,,,-10.0,,,-60.0,-9999.0,,,260.0,,,,41.0,,,,,0.0,-9999.0,-9999.0,,
24,2000,1,2,2,,,-20.0,,,-60.0,-9999.0,,,320.0,,,,36.0,,,,,0.0,-9999.0,-9999.0,,
25,2000,1,2,3,,,-20.0,,,-60.0,-9999.0,,,310.0,,,,57.0,,,,,0.0,-9999.0,-9999.0,,
26,2000,1,2,4,,,-30.0,,,-60.0,-9999.0,,,330.0,,,,41.0,,,,,0.0,-9999.0,-9999.0,,
27,2000,1,2,5,,,-60.0,,,-70.0,-9999.0,,,310.0,,,,26.0,,,,,0.0,-9999.0,-9999.0,,
28,2000,1,2,6,,,-50.0,,,-70.0,-9999.0,,,320.0,,,,36.0,,,,,7.0,-9999.0,-9999.0,,
29,2000,1,2,7,,,-30.0,,,-40.0,-9999.0,,,350.0,,,,26.0,,,,,8.0,-9999.0,-9999.0,,
30,2000,1,2,8,,,-40.0,,,-60.0,-9999.0,,,340.0,,,,51.0,,,,,8.0,-9999.0,-9999.0,,
31,2000,1,2,9,,,-40.0,,,-60.0,-9999.0,,,320.0,,,,36.0,,,,,8.0,-9999.0,-9999.0,,
32,2000,1,2,10,,,-50.0,,,-70.0,-9999.0,,,360.0,,,,51.0,,,,,8.0,-9999.0,-9999.0,,
33,2000,1,2,11,,,-60.0,,,-80.0,-9999.0,,,,10.0,,,,41.0,,,,,8.0,-9999.0,-9999.0,
34,2000,1,2,12,,,-60.0,,,-80.0,-9999.0,,,,20.0,,,,46.0,,,,,8.0,-9999.0,-9999.0,
35,2000,1,2,13,,,-70.0,,,-80.0,-9999.0,,,,10.0,,,,36.0,,,,,8.0,-9999.0,-9999.0,
36,2000,1,2,14,,,-70.0,,,-90.0,-9999.0,,,,20.0,,,,41.0,,,,,8.0,-9999.0,-9999.0,
37,2000,1,2,15,,,-80.0,,-100.0,-9999.0,,,,40.0,,,,57.0,,,,,8.0,-9999.0,-9999.0,,
38,2000,1,2,16,,,-80.0,,-110.0,-9999.0,,,,20.0,,,,51.0,,,,,8.0,-9999.0,-9999.0,,
39,2000,1,2,17,,,-80.0,,-110.0,-9999.0,,,,20.0,,,,46.0,,,,,8.0,-9999.0,-9999.0,,
40,2000,1,2,18,,,-80.0,,,-90.0,-9999.0,,,,60.0,,,,31.0,,,,,8.0,-9999.0,-9999.0,
41,2000,1,2,19,,,-70.0,,,-90.0,-9999.0,,,,60.0,,,,46.0,,,,,8.0,-9999.0,-9999.0,
42,2000,1,2,20,,,-60.0,,,-90.0,-9999.0,,,,60.0,,,,36.0,,,,,8.0,-9999.0,-9999.0,
43,2000,1,2,21,,,-60.0,,,-80.0,-9999.0,,,,50.0,,,,31.0,,,,,8.0,-9999.0,-9999.0,
44,2000,1,2,22,,,-70.0,,,-80.0,-9999.0,,,,50.0,,,,51.0,,,,,8.0,-9999.0,-9999.0,
45,2000,1,2,23,,,-80.0,,-100.0,-9999.0,,,,20.0,,,,67.0,,,,,8.0,-9999.0,-9999.0,,
46,2000,1,3,1,,-110.0,,-120.0,-9999.0,,,,40.0,,,,36.0,,,,,8.0,-9999.0,-9999.0,,,
47,2000,1,3,2,,-120.0,,-130.0,-9999.0,,,,20.0,,,,51.0,,,,,8.0,-9999.0,-9999.0,,,
48,2000,1,3,3,,-120.0,,-130.0,-9999.0,,,360.0,,,,41.0,,,,,8.0,-9999.0,-9999.0,,,,
49,2000,1,3,4,,-120.0,,-140.0,-9999.0,,,350.0,,,,46.0,,,,,8.0,-9999.0,-9999.0,,,,
50,2000,1,3,5,,-120.0,,-140.0,-9999.0,,,340.0,,,,36.0,,,,,8.0,-9999.0,-9999.0,,,,
51,2000,1,3,6,,-130.0,,-170.0,-9999.0,,,310.0,,,,57.0,,,,,8.0,-9999.0,-9999.0,,,,
52,2000,1,3,7,,-140.0,,-170.0,-9999.0,,,310.0,,,,46.0,,,,,8.0,-9999.0,-9999.0,,,,
53,2000,1,3,8,,-180.0,,-210.0,-9999.0,,,300.0,,,,46.0,,,,,4.0,-9999.0,-9999.0,,,,
54,2000,1,3,9,,-190.0,,-210.0,-9999.0,,,280.0,,,,31.0,,,,,0.0,-9999.0,-9999.0,,,,
55,2000,1,3,10,,-210.0,,-240.0,-9999.0,,,300.0,,,,51.0,,,,,2.0,-9999.0,-9999.0,,,,
56,2000,1,3,11,,-210.0,,-260.0,-9999.0,,,300.0,,,,57.0,,,,,0.0,-9999.0,-9999.0,,,,
57,2000,1,3,13,,-180.0,,-260.0,-9999.0,,,300.0,,,,51.0,,,,,8.0,-9999.0,-9999.0,,,,
58,2000,1,3,14,,-210.0,,-280.0,-9999.0,,,310.0,,,,46.0,,,,,4.0,-9999.0,-9999.0,,,,
