,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
57,2015,1,3,10,,-345,-9999,-9999.0,,,,50.0,,,,57,-9999.0,-9999.0,-9999.0
58,2015,1,3,11,,-345,-9999,-9999.0,,,,50.0,,,,46,-9999.0,-9999.0,-9999.0
59,2015,1,3,12,-9999.0,-9999,-9999,,,,,0.0,-9999.0,-9999.0,-9999.0,-9999,,,
60,2015,1,3,13,,-345,-9999,-9999.0,,,,50.0,,,,21,-9999.0,-9999.0,-9999.0
61,2015,1,3,14,,-345,-9999,-9999.0,,,,50.0,,,,21,-9999.0,-9999.0,-9999.0
62,2015,1,3,15,,-345,-9999,-9999.0,,,,,0.0,-9999.0,-9999.0,-9999,-9999.0,,
63,2015,1,3,16,,-345,-9999,-9999.0,,,,80.0,,,,26,-9999.0,-9999.0,-9999.0
64,2015,1,3,17,,-345,-9999,-9999.0,,,,80.0,,,,26,-9999.0,-9999.0,-9999.0
65,2015,1,3,18,,-345,-9999,-9999.0,,,,90.0,,,,26,-9999.0,-9999.0,-9999.0
66,2015,1,3,19,,-345,-9999,-9999.0,,,,90.0,,,,15,-9999.0,-9999.0,-9999.0
67,2015,1,3,20,,-345,-9999,-9999.0,,,,80.0,,,,15,-9999.0,-9999.0,-9999.0
68,2015,1,3,21,,-345,-9999,-9999.0,,,,80.0,,,,15,-9999.0,-9999.0,-9999.0
69,2015,1,3,22,,-345,-9999,-9999.0,,,,20.0,,,,15,-9999.0,-9999.0,-9999.0
70,2015,1,3,23,,-345,-9999,-9999.0,,,,70.0,,,,15,-9999.0,-9999.0,-9999.0
71,2015,1,4,0,,-345,-9999,-9999.0,,,,70.0,,,,15,-9999.0,-9999.0,-9999.0
72,2015,1,4,1,,-345,-9999,-9999.0,,,,70.0,,,,15,-9999.0,-9999.0,-9999.0
73,2015,1,4,2,,-345,-9999,-9999.0,,,,70.0,,,,15,-9999.0,-9999.0,-9999.0
74,2015,1,4,3,,-345,-9999,-9999.0,,,,70.0,,,,21,-9999.0,-9999.0,-9999.0
75,2015,1,4,4,,-344,-9999,-9999.0,,,,70.0,,,,31,-9999.0,-9999.0,-9999.0
76,2015,1,4,5,,-344,-9999,-9999.0,,,,80.0,,,,31,-9999.0,-9999.0,-9999.0
77,2015,1,4,6,,-344,-9999,-9999.0,,,,80.0,,,,21,-9999.0,-9999.0,-9999.0
78,2015,1,4,7,,-344,-9999,-9999.0,,,,80.0,,,,21,-9999.0,-9999.0,-9999.0
79,2015,1,4,8,,-344,-9999,-9999.0,,,,70.0,,,,21,-9999.0,-9999.0,-9999.0
80,2015,1,4,9,,-344,-9999,-9999.0,,,,70.0,,,,15,-9999.0,-9999.0,-9999.0
81,2015,1,4,10,,-344,-9999,-9999.0,,,,70.0,,,,15,-9999.0,-9999.0,-9999.0
82,2015,1,4,11,,-344,-9999,-9999.0,,,,80.0,,,,15,-9999.0,-9999.0,-9999.0
