,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
54,2006,1,9,2,,,275.0,,,221.0,10091.0,,,,90.0,,,,31,-9999.0,-9999.0,-9999.0
55,2006,1,9,5,,,293.0,,,217.0,10073.0,,,,20.0,,,,51,-9999.0,-9999.0,-9999.0
56,2006,1,9,8,,,278.0,,,226.0,10087.0,,,,30.0,,,,46,-9999.0,-9999.0,-9999.0
57,2006,1,9,11,,,265.0,,,212.0,10106.0,,,160.0,,,,26.0,-9999,-9999.0,-9999.0,
58,2006,1,9,14,,,251.0,,,215.0,10102.0,,,150.0,,,,15.0,-9999,-9999.0,-9999.0,
59,2006,1,9,20,,,233.0,,,227.0,10115.0,,,200.0,,,,21.0,-9999,-9999.0,-9999.0,
60,2006,1,9,23,,,280.0,,,238.0,10129.0,,,,70.0,,,,26,-9999.0,-9999.0,-9999.0
61,2006,1,10,2,,,301.0,,,216.0,10121.0,,,,80.0,,,,46,-9999.0,-9999.0,-9999.0
62,2006,1,10,5,,,297.0,,,224.0,10111.0,,,,60.0,,,,57,-9999.0,-9999.0,-9999.0
63,2006,1,10,8,,,281.0,,,224.0,10115.0,,,,90.0,,,,41,-9999.0,-9999.0,-9999.0
64,2006,1,10,14,,,275.0,,,222.0,10123.0,,,100.0,,,,57.0,-9999,-9999.0,-9999.0,
65,2006,1,10,17,,,262.0,,,225.0,10115.0,,,140.0,,,,31.0,-9999,-9999.0,-9999.0,
66,2006,1,10,23,,,289.0,,,223.0,10132.0,,,100.0,,,,67.0,-9999,-9999.0,-9999.0,
67,2006,1,11,2,,,272.0,,,243.0,10125.0,,,110.0,,,,46.0,-9999,-9999.0,-9999.0,
68,2006,1,11,8,,,283.0,,,235.0,10114.0,,,,80.0,,,,51,-9999.0,-9999.0,-9999.0
69,2006,1,11,11,,,276.0,,,241.0,10127.0,,,,80.0,,,,41,-9999.0,-9999.0,-9999.0
70,2006,1,11,14,,,262.0,,,249.0,10125.0,,,210.0,,,,21.0,-9999,-9999.0,-9999.0,
71,2006,1,11,20,,,249.0,,,240.0,10123.0,,,200.0,,,,26.0,-9999,-9999.0,-9999.0,
72,2006,1,11,23,,,283.0,,,225.0,10130.0,,,100.0,,,,62.0,-9999,-9999.0,-9999.0,
73,2006,1,12,2,,,295.0,,,205.0,10125.0,,,,70.0,,,,67,-9999.0,-9999.0,-9999.0
